geneID	ChIP_region	ChIP_factor	ChIP_direction	Gd7	Toll10b	Toll9
FBgn0002931	Region24	Toll9	Down	3.69441231668994	-1.17122195963809	-3.77226710484929
FBgn0003963	Region112	Gd7	Up	2.14637577766813	-2.1288928088821	-0.20733108332873
FBgn0003963	Region115	Gd7	Up	2.74938282722785	-1.38218328429662	-2.10788498331027
FBgn0003963	Region116	Gd7	Up	5.1923401362948	-3.03226967972817	-3.40279238651332
FBgn0031375	Region339	Toll10b	Down	2.8840620508076	-3.15197739687443	0.120622436791896
FBgn0000490	Region408	Gd7	Up	3.2342091483651	-2.61893596372367	-1.11921102474258
FBgn0004567	Region613	Toll9	Up	-1.16652501775957	-0.969375601227845	3.02572657184143
FBgn0031645	Region783	Toll10b	Up	-2.15282098341604	3.62741260219805	-1.83617525079699
FBgn0031738	Region926	Toll9	Down	-0.348359708246618	1.60136440126488	-1.68678199822337
FBgn0031745	Region944	Gd7	Up	3.30159931798864	-2.14594981800919	-1.86525335370875
FBgn0284084	Region1185	Toll9	Up	-1.79951514955721	0.510488888103223	1.919637981871
FBgn0284084	Region1187	Toll9	Up	-1.96718365028753	0.635827627130071	1.99195247187889
FBgn0029123	Region1409	Toll9	Up	-0.364803663932269	-1.70534054959606	2.86714719406518
FBgn0029123	Region1413	Toll9	Up	-1.16725532110763	-0.484666780875247	2.36276603148849
FBgn0029123	Region1414	Toll9	Up	-2.10035318124862	0.350997241651411	2.57596612828926
FBgn0029123	Region1415	Toll9	Up	-0.949855962592503	-0.781224535611719	2.45263451440571
FBgn0029123	Region1419	Toll9	Up	-0.953584252936921	-0.71268424241786	2.36416430577812
FBgn0029123	Region1421	Toll9	Up	-1.30832608999784	-0.15303571041806	2.1137619950199
FBgn0261648	Region1801	Gd7	Up	3.25280954819148	-2.32877009203847	-1.54379235439896
FBgn0261648	Region1813	Gd7	Up	2.33962961231075	-2.16847396705191	-0.434364949642806
FBgn0085424	Region1946	Toll9	Up	-2.98361360143336	-0.0254198892555815	4.3771157809039
FBgn0085424	Region1952	Toll9	Up	-1.48812576033143	0.0649933538392315	2.07675149496137
FBgn0023407	Region2066	Gd7	Up	2.19770141841201	-1.00592266697245	-1.8204343798187
FBgn0023407	Region2072	Gd7	Up	4.30628321465954	-2.8646311869639	-2.34289790269598
FBgn0023407	Region2075	Gd7	Up	5.82566646819607	-2.7051085565296	-4.77271501219858
FBgn0023407	Region2081	Gd7	Up	3.36411149443124	-1.80544579720809	-2.42270340123166
FBgn0028509	Region2115	Toll9	Up	-1.69160287919498	0.441820231798429	1.85665674510223
FBgn0028509	Region2117	Toll9	Up	-1.51532888449749	-0.0545326873724322	2.28008623374446
FBgn0028509	Region2125	Toll9	Up	-1.23245259214578	-0.708478175082168	2.76426167651575
FBgn0001983	Region2343	Gd7	Down	-2.35034297563818	1.77139014608414	0.993939129024062
FBgn0001983	Region2347	Gd7	Down	-2.48341438183811	1.93312557915533	0.966040301951015
FBgn0015609	Region2577	Toll10b	Up	-2.18771280703689	2.62300301539094	-0.409410596642368
FBgn0015609	Region2582	Toll10b	Up	-1.90574792209237	3.42229864988644	-1.9147660739787
FBgn0015609	Region2585	Toll10b	Up	-3.09250794928975	4.62897833230069	-1.840661367556
FBgn0015609	Region2587	Toll10b	Up	-1.53051821955432	2.25970808786834	-0.868185239730124
FBgn0032682	Region2636	Toll10b	Down	1.73290369399933	-2.32211442487154	0.659130557986692
FBgn0032693	Region2671	Toll10b	Up	-1.8850485535679	3.27768401865075	-1.74677773586713
FBgn0032693	Region2672	Toll10b	Up	-2.97360827884825	3.77596300558305	-0.845123292155212
FBgn0003896	Region2722	Gd7	Up	2.16388608049978	-1.12052552579424	-1.61422083524538
FBgn0003896	Region2723	Gd7	Up	3.12262770347874	-2.0783924016107	-1.69733142340899
FBgn0003896	Region2730	Gd7	Up	6.26101268526129	-4.50943280400586	-2.93448805016633
FBgn0003896	Region2732	Gd7	Up	8.46916808632482	-5.85320675457841	-4.30729997988042
FBgn0015380	Region2799	Toll9	Up	-1.19736508941184	-0.555528607196551	2.50366384651988
FBgn0051687	Region3003	Toll9	Down	-0.356854802507658	3.15129865980833	-3.79773984715893
FBgn0051687	Region3007	Toll9	Down	0.317715397532603	1.19094094372349	-2.09391777596844
FBgn0051687	Region3008	Toll9	Down	-0.425898363993155	2.61324154249019	-2.96014768865386
FBgn0051687	Region3011	Toll9	Down	-0.144316020511988	1.97863589236724	-2.50058353167514
FBgn0039994	Region3951	Toll9	Up	-0.911244179900355	-0.519295450353482	2.03761180075267
FBgn0003460	Region4415	Gd7	Up	3.47992357723261	-2.56003730726572	-1.55750672139386
FBgn0003460	Region4427	Gd7	Up	3.87996880603109	-2.89505810915217	-1.68076523238412
FBgn0024189	Region4633	Toll10b	Up	-1.81944765427857	1.99641593572719	-0.0869878625600451
FBgn0024189	Region4635	Toll10b	Up	-2.07468603698533	2.76864730651975	-0.77343187643657
FBgn0024189	Region4636	Toll10b	Up	-3.55609909291727	5.21179077455943	-1.96437979368133
FBgn0004360	Region4744	Gd7	Up	4.44110526751954	-3.55646157068329	-1.59134711548793
FBgn0011656	Region4812	Toll10b	Up	-0.656610639856951	1.82970876003163	-1.55097844805625
FBgn0011656	Region4813	Toll10b	Up	-3.61999304327969	7.18974824346923	-4.58107860774918
FBgn0011656	Region4814	Toll10b	Up	-1.99065114450486	3.81409763718298	-2.32794185293178
FBgn0011656	Region4815	Toll10b	Up	-1.9073133629529	2.64053035584282	-0.841509834805072
FBgn0262169	Region4840	Toll9	Up	-1.37807722013606	-0.596129002457046	2.82228891623547
FBgn0033483	Region4846	Gd7	Up	7.27994486270293	-5.9918127265175	-2.38664584916913
FBgn0033483	Region4847	Gd7	Up	3.8777951711489	-2.48053300340513	-2.24547749482804
FBgn0033483	Region4848	Gd7	Up	2.73289041789121	-1.74588902642065	-1.5856261574215
FBgn0263102	Region4944	Gd7	Up	3.02601635709497	-2.41977898487284	-1.08904506094717
FBgn0003396	Region5027	Gd7	Up	2.9489144417886	-1.25781716444249	-2.56865381613922
FBgn0003396	Region5029	Gd7	Up	2.98628548660029	-2.27378457918259	-1.23122554126196
FBgn0003396	Region5030	Gd7	Up	5.25051990157829	-2.14226380618008	-4.70672329322524
FBgn0003396	Region5035	Gd7	Up	3.0841020903618	-1.95900945528019	-1.80480983143953
FBgn0033638	Region5137	Toll10b	Up	-0.909120890025953	2.21969353294862	-1.71773691720151
FBgn0033652	Region5160	Toll9	Up	-0.167107272658161	-1.85608849562221	2.78593987132905
FBgn0033652	Region5161	Toll9	Up	-1.57349625235485	0.101109554531413	2.15152088079348
FBgn0033652	Region5162	Toll9	Up	-0.77205499764839	-0.722508737089781	2.11342922938783
FBgn0033652	Region5163	Toll9	Up	-1.39903066777091	-0.22729287110831	2.34749970662883
FBgn0033652	Region5166	Toll9	Up	-1.54902494011414	-0.0570236037459053	2.33253921713158
FBgn0003326	Region5312	Toll9	Up	-0.14923312469457	-1.76814561598952	2.63944946736367
FBgn0003326	Region5313	Toll9	Up	-0.449259136098759	-1.4894638421733	2.6943232474077
FBgn0003326	Region5314	Toll9	Up	-1.46565592003379	-0.200491294440037	2.40774814586754
FBgn0003326	Region5316	Toll9	Up	-2.83515276257278	0.699180219856061	3.16838804600338
FBgn0003326	Region5317	Toll9	Up	-2.78502296028929	0.48287028888017	3.39176238246833
FBgn0003326	Region5320	Toll9	Up	-2.49804487073373	0.556227389092261	2.8736051310706
FBgn0284250	Region5651	Gd7	Up	3.34189251525995	-2.6713668084011	-1.20410399477933
FBgn0027596	Region5723	Toll9	Down	1.55965066580062	-0.329588516367805	-1.81836715641486
FBgn0265991	Region5857	Toll10b	Up	-1.06044317094595	2.31248249906876	-1.62462106043931
FBgn0034083	Region5932	Gd7	Down	-1.88351921554027	0.888978385078184	1.52338683033961
FBgn0264273	Region5970	Gd7	Up	5.01174264763107	-2.39994440528458	-4.00620391125396
FBgn0040505	Region6005	Gd7	Up	1.91018035194997	-1.0323334425969	-1.36580067489016
FBgn0040505	Region6006	Gd7	Up	4.08183693150308	-2.53167857300975	-2.47236931059195
FBgn0259211	Region6164	Toll10b	Down	1.25214408132123	-2.13225459714035	1.09872142696912
FBgn0259211	Region6169	Toll10b	Down	0.606745370150066	-1.97595773990913	1.82390412363321
FBgn0050115	Region6297	Toll10b	Up	-1.12916905594206	2.36682494784873	-1.59904482437889
FBgn0050115	Region6298	Toll10b	Up	-2.01320050641167	5.02833901297453	-3.9585653169169
FBgn0050115	Region6304	Toll10b	Up	-0.569805731347835	1.80505783856981	-1.64354223308896
FBgn0023214	Region6325	Toll10b	Up	-1.61555972055056	2.93784458005306	-1.67342580398208
FBgn0034501	Region6574	Gd7	Up	3.23663998677702	-1.96968133745059	-2.01219058737351
FBgn0011674	Region6633	Toll9	Up	-1.58388957233415	0.201344823715461	2.02933051645977
FBgn0034590	Region6708	Gd7	Up	1.99809398013379	-1.19753073024696	-1.26743757136247
FBgn0000395	Region6755	Gd7	Up	3.35802252510776	-2.22778080696676	-1.83526678612577
FBgn0000395	Region6756	Gd7	Up	2.19450877881573	-1.8200543833029	-0.700473907182228
FBgn0000395	Region6757	Gd7	Up	5.00082612517615	-3.66665303805112	-2.2549977173395
FBgn0000395	Region6758	Gd7	Up	2.03437034989663	-1.01732832019096	-1.56710049258984
FBgn0000395	Region6760	Gd7	Up	2.17523104510635	-1.44973456190297	-1.17973448821657
FBgn0003900	Region7057	Toll10b	Up	-1.3619610359109	3.55118005532145	-2.88274287600757
FBgn0003900	Region7058	Toll10b	Up	-1.37645254883451	2.47991234662865	-1.39407661920573
FBgn0003900	Region7059	Toll10b	Up	-0.82832282684492	2.17920455816291	-1.77986123005648
FBgn0003900	Region7060	Toll10b	Up	-1.41164014089603	2.42047034748325	-1.26143315153221
FBgn0085400	Region7089	Toll9	Down	0.00651875601790726	1.3844184554382	-1.90606150837313
FBgn0000157	Region7380	Gd7	Up	3.81766151877884	-2.48321578578539	-2.15428491267518
FBgn0001148	Region7447	Gd7	Down	-2.17182583815944	1.66067969650881	0.885795827191801
FBgn0001148	Region7449	Gd7	Down	-1.95155578110102	0.774122477302356	1.77975193265275
FBgn0001148	Region7454	Gd7	Down	-2.62881993072311	1.39037293586221	1.92120078293932
FBgn0052475	Region7510	Toll10b	Down	3.59507257779081	-6.58870091144071	3.79394683035683
FBgn0052475	Region7511	Toll10b	Down	3.39204839101696	-7.18840505561259	4.91098463722799
FBgn0052475	Region7515	Toll10b	Down	1.04812467715992	-2.05735030682002	1.29303261510196
FBgn0262139	Region7599	Toll9	Up	-0.236083571682103	-1.14355769334842	1.91020009009281
FBgn0000575	Region7707	Toll9	Down	3.29692754872352	-0.760351695101459	-3.75664447089739
FBgn0025525	Region7785	Toll10b	Up	-0.88031951907931	1.89122634555643	-1.30967256767913
FBgn0004635	Region7849	Toll10b	Up	-1.41728822883591	2.18090139021935	-0.925017243292552
FBgn0035257	Region7906	Gd7	Up	3.53509789895755	-1.99724148288413	-2.40880447999637
FBgn0035257	Region7908	Gd7	Up	2.69395234387766	-0.918841313544873	-2.66196460396946
FBgn0052485	Region8105	Gd7	Up	2.43406411675139	-2.02525672223208	-0.768002500419801
FBgn0014388	Region8184	Toll10b	Up	-2.27984686062688	3.76458164708255	-1.83921807150939
FBgn0004880	Region8283	Gd7	Down	-2.20489639224525	1.76696408203486	0.788322515016641
FBgn0035558	Region8390	Toll10b	Up	-1.64657637226678	3.53146326162109	-2.44150848601257
FBgn0268063	Region8755	Toll10b	Up	-1.64539006540397	2.81298045276386	-1.45895458723733
FBgn0268063	Region8757	Toll10b	Up	-1.39259198052574	2.77947718074115	-1.7809743298592
FBgn0262579	Region8832	Gd7	Up	2.51142304577747	-1.38563415475434	-1.75683554752905
FBgn0262579	Region8833	Gd7	Up	4.99291318299661	-3.93969123893921	-1.86943463238472
FBgn0262719	Region8893	Gd7	Up	2.08390988623114	-0.995682288782024	-1.66885317711201
FBgn0262719	Region8894	Gd7	Up	3.39137427025066	-1.63438353578152	-2.69672663507078
FBgn0262719	Region8896	Gd7	Up	2.36567743523378	-1.11721095245107	-1.91244474178694
FBgn0262719	Region8897	Gd7	Up	1.99032345787924	-0.800939903394709	-1.79943529694832
FBgn0262719	Region8902	Gd7	Up	3.05944011910881	-2.05039980796588	-1.64371772300958
FBgn0035954	Region8976	Gd7	Up	5.41595300416061	-4.2381418010407	-2.07625815697512
FBgn0035954	Region8977	Gd7	Up	2.83002226362048	-2.27569126216674	-1.0011911029409
FBgn0035956	Region8978	Gd7	Up	2.70038209739625	-2.6110875405786	-0.353041627629535
FBgn0035956	Region8979	Gd7	Up	4.46706670459828	-3.19936156129	-2.11833749962165
FBgn0035956	Region8980	Gd7	Up	2.44329346652815	-1.77356849203753	-1.12623321797947
FBgn0035956	Region8981	Gd7	Up	6.1932497040401	-4.63593679460009	-2.66256390865614
FBgn0035956	Region8982	Gd7	Up	5.10367250948841	-3.5741764550441	-2.53136594139423
FBgn0035956	Region8983	Gd7	Up	3.55166090969117	-2.47061629569446	-1.78441349076646
FBgn0035956	Region8984	Gd7	Up	4.4332084920348	-2.96032797819627	-2.39652329061806
FBgn0035956	Region8985	Gd7	Up	5.86747662399901	-3.69807860968718	-3.47325240363114
FBgn0028789	Region8986	Gd7	Up	3.5244025969191	-3.22908516087716	-0.705683243301459
FBgn0028789	Region8987	Gd7	Up	3.87849640971873	-2.60611070009258	-2.07446378893686
FBgn0028789	Region8989	Gd7	Up	5.67764845026967	-4.50832020708633	-2.08699552183922
FBgn0028789	Region8990	Gd7	Up	3.87901275421327	-3.02371193416658	-1.50312541879904
FBgn0041094	Region9287	Gd7	Up	4.92403908050162	-3.25674809325228	-2.70478974820843
FBgn0041094	Region9288	Gd7	Up	2.12708867864361	-0.744855619074463	-2.07531295060586
FBgn0087007	Region9828	Gd7	Up	2.6940919354238	-2.14806784744318	-0.978197594210958
FBgn0087007	Region9841	Gd7	Up	3.32485735143251	-2.85573058220177	-0.926743511823104
FBgn0087007	Region9847	Gd7	Up	4.24191562869091	-2.48708003744792	-2.76644211483606
FBgn0087007	Region9857	Gd7	Up	2.33579495841171	-1.4448241919588	-1.42014294546926
FBgn0087007	Region9858	Gd7	Up	5.51695936438848	-4.07412782936695	-2.44795058455135
FBgn0002778	Region9932	Gd7	Up	5.06830182799298	-3.01315628298245	-3.24845375814491
FBgn0025776	Region9948	Toll9	Up	-1.69061295492482	-0.424513644919656	3.04204397658796
FBgn0025776	Region9949	Toll9	Up	-0.219929904375988	-1.66998694523914	2.60786838200505
FBgn0025776	Region9950	Toll9	Up	-0.0258823517337736	-1.98313300667083	2.75444765250675
FBgn0036494	Region10018	Toll9	Up	-1.31458502797484	-0.194868259736116	2.18017933318398
FBgn0052182	Region10382	Toll10b	Up	-1.21442197347638	2.24939674303863	-1.31409948523158
FBgn0026179	Region10898	Toll9	Up	-1.58898831033394	-0.0759466674547013	2.41662462938257
FBgn0026179	Region10900	Toll9	Up	-0.242342747982875	-1.17112942115701	1.95708126386488
FBgn0261434	Region12345	Toll9	Up	-1.72947598681495	-0.999718519528686	3.88660229820516
FBgn0261434	Region12347	Toll9	Up	-1.88979066158361	0.460866537932537	2.11900295583035
FBgn0001138	Region13013	Gd7	Up	2.35561400353916	-1.83363288429089	-0.916341480771343
FBgn0001138	Region13025	Gd7	Up	2.80488105512744	-1.89771082747997	-1.4824127020366
FBgn0001138	Region13028	Gd7	Up	3.48969284717221	-2.27014222689204	-1.96886443135443
FBgn0266801	Region13098	Gd7	Up	4.02442326150563	-3.03819629430159	-1.69491023700898
FBgn0266801	Region13101	Gd7	Up	2.07652123673199	-0.856791129003047	-1.84837284224258
FBgn0037819	Region13501	Toll10b	Up	-1.08921366624575	1.97058982236514	-1.11437560627508
FBgn0263316	Region13605	Gd7	Up	4.30305230231165	-3.25925985810843	-1.79757694895705
FBgn0038038	Region13726	Gd7	Up	3.44283515688547	-1.32469322271338	-3.19587983459511
FBgn0038071	Region13747	Gd7	Up	2.29093426929276	-1.89504555198574	-0.738076031649026
FBgn0038071	Region13748	Gd7	Up	2.28121334066786	-1.75371297070175	-0.917545952125158
FBgn0003308	Region13784	Toll10b	Up	-2.19029317129222	3.34626486023874	-1.39648261842024
FBgn0004666	Region13793	Toll10b	Up	-1.77092378891489	2.71529271919642	-1.14242868152432
FBgn0004666	Region13794	Toll10b	Up	-1.04188036688734	2.40489971376547	-1.77824330438409
FBgn0004666	Region13795	Toll10b	Up	-2.55396494220061	5.13399407337192	-3.31628889645364
FBgn0004666	Region13796	Toll10b	Up	-0.718028349695332	2.21166991695954	-1.98485730969887
FBgn0000046	Region13831	Toll10b	Up	-2.15416184325084	3.34144951357394	-1.44247068572236
FBgn0000046	Region13833	Toll10b	Up	-1.47763572828349	2.05218942071762	-0.660860641653378
FBgn0000576	Region13905	Toll9	Up	-0.571172968990803	-0.898617404330936	2.06232833335676
FBgn0000576	Region13908	Toll9	Up	-1.17049339157256	-1.25597467478995	3.42412643163352
FBgn0000576	Region13911	Toll9	Up	-1.39031843991871	-0.009542731084146	2.03651484388032
FBgn0020299	Region14014	Toll10b	Up	-0.697107999469237	1.85888561377066	-1.5320100188777
FBgn0020299	Region14015	Toll10b	Up	-1.72947952595608	2.85819901099034	-1.39851929928972
FBgn0020299	Region14016	Toll10b	Up	-1.71733180255437	3.00208180789178	-1.61331007142693
FBgn0020299	Region14017	Toll10b	Up	-0.81456352297696	2.04302082174953	-1.61332230420953
FBgn0020299	Region14019	Toll10b	Up	-1.83913113838038	2.82785276693549	-1.19736189840686
FBgn0020299	Region14020	Toll10b	Up	-1.01812847051485	1.98180757745737	-1.23319927245825
