Toll10b_2	Toll9_2	Toll10b_1	Gd7_2	Gd7_1	Toll9_1
Region1	1973	3611	526	1268	3479	1719
Region2	1978	3193	528	1171	3194	1446
Region3	471	1413	212	837	1906	635
Region4	936	3496	445	1792	3973	1748
Region5	118	611	23	142	254	252
Region6	167	814	49	210	338	325
Region7	231	384	74	152	382	238
Region8	2765	1853	1229	4100	9138	909
Region9	263	1049	67	225	784	482
Region10	628	1413	172	558	1259	589
Region11	389	1149	131	528	1022	541
Region12	1488	2651	519	1325	2807	1267
Region13	449	669	132	288	857	256
Region14	271	902	65	379	543	406
Region15	383	1038	148	310	961	420
Region16	430	897	101	438	892	384
Region17	308	943	84	429	760	464
Region18	309	1054	105	405	935	513
Region19	683	2381	222	702	1793	1139
Region20	1594	4699	731	2099	4764	2398
Region21	160	524	66	232	365	267
Region22	444	1707	161	551	1305	873
Region23	3709	10658	1377	3623	9883	4963
Region24	245	809	76	382	644	372
Region25	999	2545	181	997	2079	1089
Region26	665	1940	293	893	1597	853
Region27	3309	10001	1029	3665	7908	4529
Region28	802	3324	291	1497	2951	1401
Region29	451	1515	110	710	1558	703
Region30	168	488	46	173	387	224
Region31	882	1919	227	828	2000	878
Region32	894	1732	342	1041	1860	702
Region33	347	1105	119	434	990	524
Region34	495	1486	150	411	1074	646
Region35	1216	3936	359	1131	2480	1681
Region36	1771	4319	482	1476	3307	1907
Region37	411	1165	108	502	974	550
Region38	332	780	139	356	851	426
Region39	530	2822	152	2174	3641	1187
Region40	290	729	90	213	541	384
Region41	225	761	98	272	503	376
Region42	221	498	64	1185	2476	281
Region43	754	1966	228	1032	1638	815
Region44	759	2359	221	4018	5578	933
Region45	225	880	53	307	489	427
Region46	1063	2668	286	876	1642	1125
Region47	605	2486	128	720	1168	1146
Region48	479	1568	121	267	630	752
Region49	99	443	16	111	177	205
Region50	685	2129	128	695	1349	916
Region51	363	1531	71	459	728	632
Region52	371	1421	126	646	978	655
Region53	1016	2630	285	1227	2652	1076
Region54	698	4173	373	1924	3998	2117
Region55	544	2594	259	916	1773	1153
Region56	610	1949	138	885	1388	987
Region57	245	1019	86	565	1384	509
Region58	3802	9194	1061	3825	10060	3798
Region59	197	615	83	363	696	329
Region60	382	1829	166	867	1580	902
Region61	161	503	127	241	556	277
Region62	285	693	216	350	661	380
Region63	112	583	121	175	335	328
Region64	780	2567	408	1097	2033	1271
Region65	300	1133	83	310	554	472
Region66	243	887	79	324	640	332
Region67	306	871	127	571	1302	371
Region68	456	1778	150	530	1170	718
Region69	426	1350	128	442	988	576
Region70	256	759	54	333	505	333
Region71	975	2239	218	1249	2044	909
Region72	766	1720	193	1156	1499	652
Region73	179	744	63	235	344	335
Region74	339	925	73	389	654	454
Region75	210	585	46	202	581	238
Region76	439	1359	100	450	949	627
Region77	459	1093	110	579	1250	497
Region78	151	668	50	170	235	282
Region79	565	1417	183	639	975	706
Region80	2586	9076	1304	3659	6264	4295
Region81	4714	16036	2044	5398	9927	7872
Region82	324	2005	127	666	1007	1015
Region83	443	1901	247	732	1349	1083
Region84	787	914	307	430	819	443
Region85	183	273	77	58	166	136
Region86	167	689	64	187	317	360
Region87	269	877	83	219	358	390
Region88	299	871	117	413	837	427
Region89	1222	3087	289	1174	3246	1406
Region90	110	594	38	154	276	236
Region91	194	569	36	219	374	259
Region92	396	1374	112	481	1021	546
Region93	136	234	21	214	388	100
Region94	550	1787	127	468	1093	680
Region95	903	2802	162	1130	2128	1141
Region96	247	985	64	289	454	428
Region97	457	1417	110	718	1044	635
Region98	385	886	118	327	745	434
Region99	380	1326	104	418	672	533
Region100	152	724	44	168	332	336
Region101	206	790	66	302	398	365
Region102	464	3779	205	1396	2244	1610
Region103	228	3037	81	672	1164	1360
Region104	325	1183	77	409	724	545
Region105	635	1522	113	676	1016	606
Region106	268	643	53	295	532	290
Region107	286	1014	65	411	537	421
Region108	276	347	128	148	318	210
Region109	676	1907	202	1055	1848	765
Region110	305	811	56	244	587	366
Region111	984	2693	228	1256	2423	1149
Region112	973	3148	248	1238	2468	1292
Region113	409	1348	118	367	814	603
Region114	384	1882	99	586	961	929
Region115	705	2865	413	1256	2294	1571
Region116	204	1455	156	834	1607	789
Region117	362	3427	146	1155	2025	1908
Region118	309	2832	61	639	1020	1385
Region119	89	657	8	276	462	373
Region120	260	1461	41	402	884	815
Region121	58	362	15	124	293	192
Region122	106	525	27	189	234	269
Region123	241	2104	76	552	965	1164
Region124	239	1032	100	625	906	622
Region125	195	715	52	196	472	314
Region126	207	567	24	399	703	274
Region127	776	2123	177	743	1668	851
Region128	1223	3082	335	1225	2777	1309
Region129	240	782	71	325	487	378
Region130	205	845	63	166	386	354
Region131	1079	4538	302	1549	3729	1843
Region132	876	2140	258	915	2578	929
Region133	333	1089	93	630	907	460
Region134	193	944	41	215	372	400
Region135	194	1143	62	2020	3129	573
Region136	377	1555	91	3745	5282	812
Region137	45	122	1	277	610	60
Region138	347	1066	80	356	779	491
Region139	765	2473	242	753	1386	1029
Region140	313	1004	112	349	541	446
Region141	5249	13930	1621	6094	9980	6029
Region142	241	770	58	284	569	347
Region143	1195	2939	245	979	2419	1236
Region144	736	1382	214	955	1796	604
Region145	1450	3692	371	2131	3537	1635
Region146	344	889	69	372	807	365
Region147	324	1147	87	428	751	482
Region148	995	2778	226	1195	2311	1173
Region149	1133	3490	319	1378	2435	1427
Region150	139	574	18	285	614	245
Region151	246	888	134	456	936	396
Region152	1417	3792	451	1457	3698	1815
Region153	447	1081	131	687	1473	458
Region154	547	2165	129	748	1122	845
Region155	1442	3573	425	1462	3820	1622
Region156	1705	3168	408	1295	2245	1226
Region157	768	3064	211	691	1260	1287
Region158	627	2085	184	848	1410	972
Region159	364	1091	73	622	1053	459
Region160	774	2840	219	843	1982	1176
Region161	324	1318	87	725	1275	577
Region162	1265	3632	321	1388	3114	1500
Region163	428	1041	155	581	1506	472
Region164	821	2289	188	837	1340	1030
Region165	589	2276	131	609	1507	925
Region166	344	1135	55	389	757	477
Region167	200	577	51	251	326	269
Region168	291	952	48	284	793	451
Region169	333	805	53	354	661	331
Region170	266	727	44	398	632	292
Region171	601	1622	156	1041	1497	814
Region172	140	607	66	446	703	324
Region173	278	958	65	394	659	440
Region174	204	973	80	158	646	432
Region175	483	1463	108	367	911	618
Region176	594	1183	122	346	780	537
Region177	392	1433	95	385	980	647
Region178	221	967	89	337	637	499
Region179	163	392	51	171	373	229
Region180	252	899	88	380	828	387
Region181	205	956	57	318	678	407
Region182	544	2276	138	667	1468	1018
Region183	225	624	81	274	569	304
Region184	283	837	61	477	703	384
Region185	155	747	52	215	503	291
Region186	2851	6053	762	3438	6142	2318
Region187	509	1916	147	554	1001	847
Region188	156	827	65	468	1124	496
Region189	161	954	73	1078	2090	431
Region190	127	673	54	725	1354	366
Region191	815	2401	156	736	1279	1060
Region192	437	1433	107	489	940	629
Region193	417	1450	107	300	577	597
Region194	551	1702	203	741	2069	718
Region195	115	518	17	256	667	302
Region196	243	634	71	204	353	291
Region197	294	753	75	295	702	333
Region198	177	565	53	124	367	278
Region199	129	636	27	161	356	250
Region200	137	392	42	413	994	197
Region201	549	1790	222	655	2047	852
Region202	1458	3835	653	1784	4561	1841
Region203	924	1455	372	608	1741	671
Region204	169	806	54	305	698	400
Region205	812	3149	334	1217	3249	1565
Region206	131	921	36	216	505	444
Region207	174	571	62	250	625	282
Region208	124	576	39	434	996	344
Region209	486	1480	132	753	1328	628
Region210	653	1879	121	708	1426	858
Region211	172	549	50	312	648	232
Region212	223	980	98	678	1342	420
Region213	160	872	59	373	782	379
Region214	149	520	33	211	526	249
Region215	250	1057	115	265	756	562
Region216	519	1943	199	538	934	1036
Region217	201	1045	100	250	429	527
Region218	325	1632	156	495	857	923
Region219	257	656	124	168	309	377
Region220	723	1245	344	306	611	682
Region221	818	1638	359	328	584	811
Region222	360	312	112	104	130	154
Region223	142	501	51	186	373	264
Region224	382	1266	126	423	820	531
Region225	205	717	45	248	552	375
Region226	361	1381	86	360	659	539
Region227	156	598	26	217	400	271
Region228	310	881	68	349	716	378
Region229	205	768	50	289	533	367
Region230	350	929	84	405	842	394
Region231	356	1283	100	601	948	608
Region232	426	1231	132	522	1017	597
