experiment	dir4	bamFiles
PRO_seq_dm6	gd7_2-5_3h_rep2	./PRO_seq_dm6/bam_dmel6/gd7_2-5_3h_rep2.dmel6.bowtie2.sorted.bam
PRO_seq_dm6	toll9_10_4-5_5h_rep1	./PRO_seq_dm6/bam_dmel6/toll9_10_4-5_5h_rep1.dmel6.bowtie2.sorted.bam
PRO_seq_dm6	gd7_4-5_5h_rep1	./PRO_seq_dm6/bam_dmel6/gd7_4-5_5h_rep1.dmel6.bowtie2.sorted.bam
PRO_seq_dm6	toll10b_2-5_3h_rep2	./PRO_seq_dm6/bam_dmel6/toll10b_2-5_3h_rep2.dmel6.bowtie2.sorted.bam
PRO_seq_dm6	gd7_4-5_5h_rep2	./PRO_seq_dm6/bam_dmel6/gd7_4-5_5h_rep2.dmel6.bowtie2.sorted.bam
PRO_seq_dm6	toll10b_4-5_5h_rep1	./PRO_seq_dm6/bam_dmel6/toll10b_4-5_5h_rep1.dmel6.bowtie2.sorted.bam
PRO_seq_dm6	toll10b_4-5_5h_rep2	./PRO_seq_dm6/bam_dmel6/toll10b_4-5_5h_rep2.dmel6.bowtie2.sorted.bam
PRO_seq_dm6	toll9_10_2-5_3h_rep2	./PRO_seq_dm6/bam_dmel6/toll9_10_2-5_3h_rep2.dmel6.bowtie2.sorted.bam
PRO_seq_dm6	toll10b_2-5_3h_rep1	./PRO_seq_dm6/bam_dmel6/toll10b_2-5_3h_rep1.dmel6.bowtie2.sorted.bam
PRO_seq_dm6	gd7_2-5_3h_rep1	./PRO_seq_dm6/bam_dmel6/gd7_2-5_3h_rep1.dmel6.bowtie2.sorted.bam
PRO_seq_dm6	toll9_10_2-5_3h_rep1	./PRO_seq_dm6/bam_dmel6/toll9_10_2-5_3h_rep1.dmel6.bowtie2.sorted.bam
PRO_seq_dm6	toll9_10_4-5_5h_rep2	./PRO_seq_dm6/bam_dmel6/toll9_10_4-5_5h_rep2.dmel6.bowtie2.sorted.bam
