SYMBOL	PC1	PC2	PC3	distance
brk	0.00855587344158226	0.0790508007472661	-0.10117882669009	0.128683281895962
sog	-0.0115609547978078	0.0853387345851445	-0.0796058366202509	0.117275080560368
vnd	0.00446426784149051	0.102849207059101	-0.0211208078418306	0.105090330687166
sna	0.0169085665501097	0.078411953226732	-0.0457931765214225	0.0923653021839525
croc	-0.00292158956644104	0.0896756018078328	-0.0134825173890449	0.0907305214375936
wor	0.0372937448705959	0.0404063923370969	-0.0537411114260499	0.0768869755256352
gsb	0.0264268507304686	0.0489860203649887	-0.0510218871478864	0.0755065665943116
NetA	0.00874149297413866	0.0546879302653852	-0.0494818326834216	0.0742673224361744
mid	0.00909670313905428	0.0459639993601688	-0.0504851939964678	0.0688781101515036
Mdr49	-0.0227368711646083	0.0624308607290919	-0.0121204479382773	0.0675387513947049
nerfin-1	0.0191577324573974	0.0593011343121249	-0.0238587841531813	0.0667299394940681
scrt	0.0295294640707882	0.0386382349586671	-0.0317021174211764	0.0580510697404896
Trim9	0.000108869027305571	0.0310393829427594	-0.0488328376930101	0.0578627789091073
gcm	0.0175694068413894	0.054658221025031	-0.00700717401293369	0.0578386174629627
Atg5	0.0215656601015462	0.0328981005344884	-0.0345403609502286	0.052348822804002
ase	0.0289396337791023	0.0330432428551676	-0.0266698230020389	0.0513871361394486
mfas	0.00109925892942992	0.0302280285779528	-0.0406640906890486	0.0506804730983308
