SYMBOL	PC1	PC2	PC3	distance
Ect4	-0.0116157723588038	-0.0415309152143934	0.0250277734595342	0.049861132461853
Ance-2	-0.0106921049081071	-0.0189379795435069	0.0447783751698308	0.0497802275949636
ItgaPS4	-0.0181905401187672	0.00209257783793367	0.0428262084744908	0.0465763756009507
Sema2b	-0.024480231955503	-0.0270130251391172	0.0258292026591701	0.0446781041872894
CG43163	-0.0222738255299567	-0.0307189454283147	0.0209872218433965	0.0433617388105074
rau	-0.0122825767287434	-0.0190351850684429	0.0339423363852909	0.0408078688610369
Dtg	-0.0174162054068893	-0.0208372699080032	0.0276851284468399	0.0387812114961867
Magi	-0.0146262852244559	-0.0253472479072647	0.0251993537875573	0.0386188895134227
CG11456	-0.00253987338830613	-0.0263936160700931	0.0235279767361946	0.0354491130408508
psq	-0.00899847929809159	-0.0287109626154265	0.0149627370978081	0.0336032067731745
cad	-0.0285756826144201	-0.00886119166636735	0.0121831229429125	0.032303542209335
scyl	-0.00420392812687184	-0.0224569329645892	0.0116312927525702	0.0256373520662324
Pepck	-0.0099961150606909	-0.0146878299726207	0.0135794815888155	0.0223619539806378
Thor	0.00581031390534517	-0.0098330113468799	0.0126477144374369	0.0170414946620731
