geneName	Factor	Direction
zen	Gd7	Up
cv-2	Gd7	Up
dpp	Gd7	Up
pnr	Gd7	Up
tup	Gd7	Up
ush	Gd7	Up
C15	Gd7	Up
Doc1	Gd7	Up
CG14204	Gd7	Up
egr	Gd7	Up
CG12011	Gd7	Up
Doc3	Gd7	Up
Doc2	Gd7	Up
CG13653	Gd7	Up
tld	Gd7	Up
Ance	Gd7	Up
sna	Toll10b	Up
gcm	Toll10b	Up
twi	Toll10b	Up
tin	Toll10b	Up
zfh1	Toll10b	Up
htl	Toll10b	Up
Mef2	Toll10b	Up
CadN	Toll10b	Up
CG12177	Toll10b	Up
Cyp310a1	Toll10b	Up
Mes2	Toll10b	Up
lmd	Toll10b	Up
meso18E	Toll10b	Up
Pka-C3	Toll10b	Up
ImpE2	Toll10b	Up
ry	Toll10b	Up
sty	Toll10b	Up
CG3036	Toll10b	Up
ind	Toll9	Up
SoxN	Toll9	Up
CG13334	Toll9	Up
Meltrin	Toll9	Up
ths	Toll9	Up
