"queryHits" "subjectHits"
"1" 1 4
"2" 1 5
"3" 1 6
"4" 5 10
"5" 5 11
"6" 5 12
"7" 10 13
"8" 10 14
"9" 10 15
"10" 13 55
"11" 13 56
"12" 13 57
"13" 13 58
"14" 13 59
"15" 13 60
"16" 13 61
"17" 13 62
"18" 13 63
"19" 14 61
"20" 14 62
"21" 14 63
"22" 20 100
"23" 20 101
"24" 20 102
"25" 53 261
"26" 53 262
"27" 53 263
"28" 53 264
"29" 54 261
"30" 54 262
"31" 54 263
"32" 54 264
"33" 63 559
"34" 63 560
"35" 63 561
"36" 66 616
"37" 66 617
"38" 66 618
"39" 78 662
"40" 78 663
"41" 78 664
"42" 91 880
"43" 91 881
"44" 91 882
"45" 91 883
"46" 91 884
"47" 91 885
"48" 106 1117
"49" 106 1118
"50" 106 1119
"51" 106 1120
"52" 106 1121
"53" 106 1122
"54" 106 1123
"55" 106 1124
"56" 106 1125
"57" 109 1135
"58" 109 1136
"59" 109 1137
"60" 116 1464
"61" 116 1465
"62" 116 1466
"63" 116 1467
"64" 116 1468
"65" 116 1469
"66" 120 1546
"67" 120 1547
"68" 120 1548
"69" 121 1549
"70" 121 1550
"71" 121 1551
"72" 126 1726
"73" 126 1727
"74" 126 1728
"75" 129 1906
"76" 129 1907
"77" 129 1908
"78" 129 1909
"79" 129 1910
"80" 129 1911
"81" 146 2114
"82" 146 2115
"83" 146 2116
"84" 147 2144
"85" 147 2145
"86" 147 2146
"87" 147 2147
"88" 158 2239
"89" 158 2240
"90" 158 2241
"91" 158 2242
"92" 158 2243
"93" 158 2244
"94" 158 2245
"95" 158 2246
"96" 158 2247
"97" 158 2248
"98" 158 2249
"99" 158 2250
"100" 167 2595
"101" 167 2596
"102" 167 2597
"103" 173 2845
"104" 173 2846
"105" 173 2847
"106" 173 2848
"107" 173 2849
"108" 173 2850
"109" 173 2851
"110" 173 2852
"111" 173 2853
"112" 178 2929
"113" 178 2930
"114" 178 2931
"115" 183 2992
"116" 183 2993
"117" 183 2994
"118" 183 2995
"119" 183 2996
"120" 183 2997
"121" 183 2998
"122" 183 2999
"123" 183 3000
"124" 184 2998
"125" 184 2999
"126" 184 3000
"127" 189 3064
"128" 189 3065
"129" 189 3066
"130" 189 3067
"131" 189 3068
"132" 189 3069
"133" 194 3147
"134" 194 3148
"135" 194 3149
"136" 213 3451
"137" 213 3452
"138" 213 3453
"139" 219 3533
"140" 219 3534
"141" 219 3535
"142" 235 3740
"143" 235 3741
"144" 235 3742
"145" 235 3743
"146" 235 3744
"147" 235 3745
"148" 235 3746
"149" 235 3747
"150" 235 3748
"151" 252 4335
"152" 252 4336
"153" 252 4337
"154" 258 4712
"155" 258 4713
"156" 258 4714
