"queryHits" "subjectHits"
"1" 2 276
"2" 2 277
"3" 2 278
"4" 2 279
"5" 2 280
"6" 2 281
"7" 5 375
"8" 5 376
"9" 5 377
"10" 7 799
"11" 7 800
"12" 7 801
"13" 7 802
"14" 7 803
"15" 7 804
"16" 7 805
"17" 7 806
"18" 7 807
"19" 12 838
"20" 12 839
"21" 12 840
"22" 22 1452
"23" 22 1453
"24" 22 1454
"25" 35 2069
"26" 35 2070
"27" 35 2071
"28" 35 2072
"29" 35 2073
"30" 35 2074
"31" 35 2075
"32" 35 2076
"33" 35 2077
"34" 35 2078
"35" 35 2079
"36" 35 2080
"37" 36 2072
"38" 36 2073
"39" 36 2074
"40" 36 2075
"41" 36 2076
"42" 36 2077
"43" 36 2078
"44" 36 2079
"45" 36 2080
"46" 41 2081
"47" 41 2082
"48" 41 2083
"49" 41 2084
"50" 41 2085
"51" 41 2086
"52" 42 2105
"53" 42 2106
"54" 42 2107
"55" 42 2108
"56" 42 2109
"57" 42 2110
"58" 42 2111
"59" 42 2112
"60" 42 2113
"61" 42 2114
"62" 42 2115
"63" 42 2116
"64" 46 2159
"65" 46 2160
"66" 46 2161
"67" 46 2162
"68" 46 2163
"69" 46 2164
"70" 46 2165
"71" 46 2166
"72" 46 2167
"73" 46 2168
"74" 46 2169
"75" 46 2170
"76" 47 2162
"77" 47 2163
"78" 47 2164
"79" 47 2165
"80" 47 2166
"81" 47 2167
"82" 47 2168
"83" 47 2169
"84" 47 2170
"85" 47 2171
"86" 47 2172
"87" 47 2173
"88" 47 2174
"89" 47 2175
"90" 47 2176
"91" 47 2177
"92" 47 2178
"93" 47 2179
"94" 48 2255
"95" 48 2256
"96" 48 2257
"97" 48 2258
"98" 48 2259
"99" 48 2260
"100" 48 2261
"101" 48 2262
"102" 48 2263
"103" 49 2255
"104" 49 2256
"105" 49 2257
"106" 49 2258
"107" 49 2259
"108" 49 2260
"109" 49 2261
"110" 49 2262
"111" 49 2263
"112" 51 2264
"113" 51 2265
"114" 51 2266
"115" 51 2267
"116" 51 2268
"117" 51 2269
"118" 52 2264
"119" 52 2265
"120" 52 2266
"121" 52 2267
"122" 52 2268
"123" 52 2269
"124" 54 2270
"125" 54 2271
"126" 54 2272
"127" 54 2273
"128" 54 2274
"129" 54 2275
"130" 55 2270
"131" 55 2271
"132" 55 2272
"133" 55 2273
"134" 55 2274
"135" 55 2275
"136" 55 2276
"137" 55 2277
"138" 55 2278
"139" 55 2279
"140" 55 2280
"141" 55 2281
"142" 56 2276
"143" 56 2277
"144" 56 2278
"145" 56 2279
"146" 56 2280
"147" 56 2281
"148" 57 2623
"149" 57 2624
"150" 57 2625
"151" 57 2626
"152" 57 2627
"153" 57 2628
"154" 61 2651
"155" 61 2652
"156" 61 2653
"157" 61 2654
"158" 61 2655
"159" 61 2656
"160" 61 2657
"161" 61 2658
"162" 61 2659
"163" 62 2651
"164" 62 2652
"165" 62 2653
"166" 62 2654
"167" 62 2655
"168" 62 2656
"169" 62 2657
"170" 62 2658
"171" 62 2659
"172" 65 2688
"173" 65 2689
"174" 65 2690
"175" 65 2691
"176" 65 2692
"177" 65 2693
"178" 66 2688
"179" 66 2689
"180" 66 2690
"181" 66 2691
"182" 66 2692
"183" 66 2693
"184" 66 2694
"185" 66 2695
"186" 66 2696
"187" 66 2697
"188" 66 2698
"189" 66 2699
"190" 66 2700
"191" 66 2701
"192" 66 2702
"193" 69 2772
"194" 69 2773
"195" 69 2774
"196" 69 2775
"197" 69 2776
"198" 69 2777
"199" 69 2778
"200" 69 2779
"201" 69 2780
"202" 70 2781
"203" 70 2782
"204" 70 2783
"205" 70 2784
"206" 70 2785
"207" 70 2786
"208" 71 2781
"209" 71 2782
"210" 71 2783
"211" 71 2784
"212" 71 2785
"213" 71 2786
"214" 71 2787
"215" 71 2788
"216" 71 2789
"217" 73 2928
"218" 73 2929
"219" 73 2930
"220" 73 2931
"221" 73 2932
"222" 73 2933
"223" 80 3838
"224" 80 3839
"225" 80 3840
"226" 82 4067
"227" 82 4068
"228" 82 4069
"229" 82 4070
"230" 82 4071
"231" 82 4072
"232" 85 4375
"233" 85 4376
"234" 85 4377
"235" 85 4378
"236" 85 4379
"237" 85 4380
"238" 85 4381
"239" 85 4382
"240" 85 4383
"241" 86 4375
"242" 86 4376
"243" 86 4377
"244" 86 4378
"245" 86 4379
"246" 86 4380
"247" 86 4381
"248" 86 4382
"249" 86 4383
"250" 87 4379
"251" 87 4380
"252" 87 4381
"253" 87 4382
"254" 87 4383
"255" 88 4384
"256" 88 4385
"257" 88 4386
"258" 93 4764
"259" 93 4765
"260" 93 4766
"261" 93 4767
"262" 93 4768
"263" 93 4769
"264" 94 4776
"265" 94 4777
"266" 94 4778
"267" 95 4833
"268" 95 4834
"269" 95 4835
"270" 95 4836
"271" 95 4837
"272" 95 4838
"273" 95 4839
"274" 95 4840
"275" 95 4841
"276" 97 5197
"277" 97 5198
"278" 97 5199
"279" 97 5200
"280" 97 5201
"281" 97 5202
"282" 97 5203
"283" 97 5204
"284" 97 5205
"285" 98 5203
"286" 98 5204
"287" 98 5205
"288" 98 5206
"289" 98 5207
"290" 98 5208
"291" 101 5358
"292" 101 5359
"293" 101 5360
"294" 101 5361
"295" 101 5362
"296" 101 5363
"297" 102 5358
"298" 102 5359
"299" 102 5360
"300" 102 5361
"301" 102 5362
"302" 102 5363
"303" 104 5655
"304" 104 5656
"305" 104 5657
"306" 104 5658
"307" 104 5659
"308" 104 5660
"309" 106 5847
"310" 106 5848
"311" 106 5849
"312" 106 5850
"313" 106 5851
"314" 106 5852
"315" 106 5853
"316" 106 5854
"317" 106 5855
"318" 106 5856
"319" 106 5857
"320" 106 5858
"321" 106 5859
"322" 106 5860
"323" 106 5861
"324" 106 5862
"325" 106 5863
"326" 106 5864
"327" 106 5865
"328" 106 5866
"329" 106 5867
"330" 106 5868
"331" 108 6043
"332" 108 6044
"333" 108 6045
"334" 108 6046
"335" 108 6047
"336" 108 6048
"337" 108 6049
"338" 108 6050
"339" 108 6051
"340" 109 6654
"341" 109 6655
"342" 109 6656
"343" 110 6654
"344" 110 6655
"345" 110 6656
"346" 110 6657
"347" 110 6658
"348" 110 6659
"349" 111 6660
"350" 111 6661
"351" 111 6662
"352" 111 6663
"353" 111 6664
"354" 111 6665
"355" 117 7690
"356" 117 7691
"357" 117 7692
"358" 118 7702
"359" 118 7703
"360" 118 7704
"361" 118 7705
"362" 118 7706
"363" 118 7707
"364" 119 7712
"365" 119 7713
"366" 119 7714
"367" 119 7715
"368" 119 7716
"369" 119 7717
"370" 119 7718
"371" 119 7719
"372" 119 7720
"373" 120 7712
"374" 120 7713
"375" 120 7714
"376" 120 7715
"377" 120 7716
"378" 120 7717
"379" 120 7718
"380" 120 7719
"381" 120 7720
"382" 120 7721
"383" 120 7722
"384" 120 7723
"385" 120 7724
"386" 120 7725
"387" 120 7726
"388" 120 7727
"389" 120 7728
"390" 120 7729
"391" 121 7712
"392" 121 7713
"393" 121 7714
"394" 121 7715
"395" 121 7716
"396" 121 7717
"397" 121 7718
"398" 121 7719
"399" 121 7720
"400" 121 7721
"401" 121 7722
"402" 121 7723
"403" 121 7724
"404" 121 7725
"405" 121 7726
"406" 121 7727
"407" 121 7728
"408" 121 7729
"409" 122 7748
"410" 122 7749
"411" 122 7750
"412" 123 7751
"413" 123 7752
"414" 123 7753
"415" 123 7754
"416" 123 7755
"417" 123 7756
"418" 124 7751
"419" 124 7752
"420" 124 7753
"421" 124 7754
"422" 124 7755
"423" 124 7756
"424" 128 7893
"425" 128 7894
"426" 128 7895
"427" 128 7896
"428" 128 7897
"429" 128 7898
"430" 128 7899
"431" 128 7900
"432" 128 7901
"433" 128 7902
"434" 129 8408
"435" 129 8409
"436" 129 8410
"437" 129 8411
"438" 129 8412
"439" 129 8413
"440" 129 8414
"441" 129 8415
"442" 130 8634
"443" 130 8635
"444" 130 8636
"445" 130 8637
"446" 130 8638
"447" 130 8639
"448" 130 8640
"449" 130 8641
"450" 133 9212
"451" 133 9213
"452" 133 9214
"453" 133 9215
"454" 133 9216
"455" 133 9217
"456" 133 9218
"457" 134 9219
"458" 134 9220
"459" 134 9221
"460" 134 9222
"461" 134 9223
"462" 134 9224
"463" 134 9225
"464" 134 9226
"465" 134 9227
"466" 134 9228
"467" 134 9229
"468" 134 9230
