"queryHits" "subjectHits"
"1" 1 407
"2" 1 408
"3" 1 409
"4" 1 410
"5" 1 411
"6" 1 412
"7" 1 413
"8" 1 414
"9" 1 415
"10" 1 416
"11" 1 417
"12" 1 418
"13" 1 419
"14" 1 420
"15" 1 421
"16" 1 422
"17" 1 423
"18" 1 424
"19" 1 425
"20" 1 426
"21" 1 427
"22" 6 1262
"23" 6 1263
"24" 6 1264
"25" 6 1265
"26" 6 1266
"27" 6 1267
"28" 7 1262
"29" 7 1263
"30" 7 1264
"31" 7 1265
"32" 7 1266
"33" 7 1267
"34" 7 1268
"35" 7 1269
"36" 7 1270
"37" 8 1268
"38" 8 1269
"39" 8 1270
"40" 11 1271
"41" 11 1272
"42" 11 1273
"43" 11 1274
"44" 11 1275
"45" 11 1276
"46" 11 1277
"47" 11 1278
"48" 11 1279
"49" 12 1277
"50" 12 1278
"51" 12 1279
"52" 15 1280
"53" 15 1281
"54" 15 1282
"55" 15 1283
"56" 15 1284
"57" 15 1285
"58" 16 1280
"59" 16 1281
"60" 16 1282
"61" 16 1283
"62" 16 1284
"63" 16 1285
"64" 17 1286
"65" 17 1287
"66" 17 1288
"67" 17 1289
"68" 17 1290
"69" 17 1291
"70" 20 1292
"71" 20 1293
"72" 20 1294
"73" 20 1295
"74" 20 1296
"75" 20 1297
"76" 21 1292
"77" 21 1293
"78" 21 1294
"79" 21 1295
"80" 21 1296
"81" 21 1297
"82" 22 1292
"83" 22 1293
"84" 22 1294
"85" 22 1295
"86" 22 1296
"87" 22 1297
"88" 23 1298
"89" 23 1299
"90" 23 1300
"91" 23 1301
"92" 23 1302
"93" 23 1303
"94" 23 1304
"95" 23 1305
"96" 23 1306
"97" 23 1307
"98" 23 1308
"99" 23 1309
"100" 24 1301
"101" 24 1302
"102" 24 1303
"103" 24 1304
"104" 24 1305
"105" 24 1306
"106" 24 1307
"107" 24 1308
"108" 24 1309
"109" 24 1310
"110" 24 1311
"111" 24 1312
"112" 25 1304
"113" 25 1305
"114" 25 1306
"115" 25 1307
"116" 25 1308
"117" 25 1309
"118" 25 1310
"119" 25 1311
"120" 25 1312
"121" 25 1313
"122" 25 1314
"123" 25 1315
"124" 26 1313
"125" 26 1314
"126" 26 1315
"127" 26 1316
"128" 26 1317
"129" 26 1318
"130" 27 1316
"131" 27 1317
"132" 27 1318
"133" 29 1613
"134" 29 1614
"135" 29 1615
"136" 29 1616
"137" 29 1617
"138" 29 1618
"139" 29 1619
"140" 29 1620
"141" 29 1621
"142" 29 1622
"143" 29 1623
"144" 29 1624
"145" 29 1625
"146" 29 1626
"147" 29 1627
"148" 29 1628
"149" 29 1629
"150" 29 1630
"151" 30 1622
"152" 30 1623
"153" 30 1624
"154" 30 1625
"155" 30 1626
"156" 30 1627
"157" 30 1628
"158" 30 1629
"159" 30 1630
"160" 34 2303
"161" 34 2304
"162" 34 2305
"163" 34 2306
"164" 34 2307
"165" 34 2308
"166" 35 2425
"167" 35 2426
"168" 35 2427
"169" 35 2428
"170" 35 2429
"171" 35 2430
"172" 35 2431
"173" 35 2432
"174" 35 2433
"175" 35 2434
"176" 35 2435
"177" 35 2436
"178" 35 2437
"179" 35 2438
"180" 35 2439
"181" 35 2440
"182" 35 2441
"183" 35 2442
"184" 36 2443
"185" 36 2444
"186" 36 2445
"187" 36 2446
"188" 36 2447
"189" 36 2448
"190" 36 2449
"191" 36 2450
"192" 36 2451
"193" 36 2452
"194" 36 2453
"195" 36 2454
"196" 36 2455
"197" 36 2456
"198" 36 2457
"199" 39 4831
"200" 39 4832
"201" 39 4833
"202" 39 4834
"203" 39 4835
"204" 39 4836
"205" 39 4837
"206" 39 4838
"207" 39 4839
"208" 39 4840
"209" 39 4841
"210" 39 4842
"211" 39 4843
"212" 39 4844
"213" 39 4845
"214" 39 4846
"215" 39 4847
"216" 39 4848
"217" 39 4849
"218" 39 4850
"219" 39 4851
"220" 43 5190
"221" 43 5191
"222" 43 5192
"223" 43 5193
"224" 43 5194
"225" 43 5195
"226" 43 5196
"227" 43 5197
"228" 43 5198
"229" 43 5199
"230" 43 5200
"231" 43 5201
"232" 44 6903
"233" 44 6904
"234" 44 6905
"235" 44 6906
"236" 44 6907
"237" 44 6908
"238" 45 7714
"239" 45 7715
"240" 45 7716
"241" 45 7717
"242" 45 7718
"243" 45 7719
"244" 45 7720
"245" 45 7721
"246" 45 7722
"247" 47 8296
"248" 47 8297
"249" 47 8298
"250" 47 8299
"251" 47 8300
"252" 47 8301
"253" 52 11523
"254" 52 11524
"255" 52 11525
"256" 52 11526
"257" 52 11527
"258" 52 11528
"259" 58 12273
"260" 58 12274
"261" 58 12275
"262" 58 12276
"263" 58 12277
"264" 58 12278
"265" 58 12279
"266" 58 12280
"267" 58 12281
"268" 58 12282
"269" 58 12283
"270" 58 12284
"271" 58 12285
"272" 58 12286
"273" 58 12287
"274" 61 13661
"275" 61 13662
"276" 61 13663
"277" 61 13664
"278" 61 13665
"279" 61 13666
"280" 61 13667
"281" 61 13668
"282" 63 14956
"283" 63 14957
"284" 63 14958
"285" 63 14959
"286" 63 14960
"287" 63 14961
"288" 63 14962
"289" 63 14963
"290" 63 14964
"291" 64 14965
"292" 64 14966
"293" 64 14967
"294" 64 14968
"295" 64 14969
"296" 64 14970
"297" 64 14971
"298" 64 14972
"299" 64 14973
"300" 64 14974
"301" 64 14975
"302" 64 14976
"303" 64 14977
"304" 64 14978
"305" 64 14979
"306" 65 14977
"307" 65 14978
"308" 65 14979
"309" 65 14980
"310" 65 14981
"311" 65 14982
"312" 65 14983
"313" 65 14984
"314" 65 14985
"315" 65 14986
"316" 65 14987
"317" 65 14988
"318" 65 14989
"319" 65 14990
"320" 65 14991
"321" 65 14992
"322" 65 14993
"323" 65 14994
"324" 66 15066
"325" 66 15067
"326" 66 15068
"327" 67 15554
"328" 67 15555
"329" 67 15556
"330" 67 15557
"331" 67 15558
"332" 67 15559
"333" 69 16501
"334" 69 16502
"335" 69 16503
"336" 69 16504
"337" 69 16505
"338" 69 16506
"339" 69 16507
"340" 69 16508
"341" 69 16509
"342" 69 16510
"343" 74 17357
"344" 74 17358
"345" 74 17359
"346" 75 17357
"347" 75 17358
"348" 75 17359
"349" 75 17360
"350" 75 17361
"351" 75 17362
"352" 76 17360
"353" 76 17361
"354" 76 17362
"355" 81 17864
"356" 81 17865
"357" 81 17866
"358" 81 17867
"359" 81 17868
"360" 81 17869
"361" 83 18402
"362" 83 18403
"363" 83 18404
"364" 83 18405
"365" 83 18406
"366" 83 18407
"367" 83 18408
"368" 83 18409
"369" 83 18410
"370" 83 18411
"371" 83 18412
"372" 83 18413
"373" 83 18414
"374" 83 18415
"375" 83 18416
"376" 83 18417
"377" 83 18418
"378" 83 18419
"379" 83 18420
"380" 83 18421
"381" 83 18422
"382" 84 18423
"383" 84 18424
"384" 84 18425
"385" 84 18426
"386" 84 18427
"387" 84 18428
"388" 85 18429
"389" 85 18430
"390" 85 18431
"391" 85 18432
"392" 85 18433
"393" 85 18434
"394" 85 18435
"395" 85 18436
"396" 85 18437
"397" 86 18432
"398" 86 18433
"399" 86 18434
"400" 86 18435
"401" 86 18436
"402" 86 18437
"403" 89 18481
"404" 89 18482
"405" 89 18483
"406" 94 19295
"407" 94 19296
"408" 94 19297
"409" 94 19298
"410" 94 19299
"411" 94 19300
"412" 94 19301
"413" 94 19302
"414" 94 19303
"415" 94 19304
"416" 94 19305
"417" 94 19306
"418" 94 19307
"419" 94 19308
"420" 94 19309
"421" 95 19972
"422" 95 19973
"423" 95 19974
"424" 95 19975
"425" 95 19976
"426" 95 19977
"427" 96 22003
"428" 96 22004
"429" 96 22005
"430" 96 22006
"431" 96 22007
"432" 96 22008
"433" 96 22009
"434" 96 22010
"435" 96 22011
"436" 96 22012
"437" 96 22013
"438" 96 22014
"439" 98 22344
"440" 98 22345
"441" 98 22346
"442" 98 22347
"443" 98 22348
"444" 98 22349
"445" 100 22899
"446" 100 22900
"447" 100 22901
"448" 100 22902
"449" 100 22903
"450" 100 22904
"451" 100 22905
"452" 100 22906
"453" 100 22907
"454" 100 22908
"455" 100 22909
"456" 100 22910
"457" 100 22911
"458" 100 22912
"459" 100 22913
"460" 101 22924
"461" 101 22925
"462" 101 22926
"463" 101 22927
"464" 101 22928
"465" 101 22929
"466" 102 22930
"467" 102 22931
"468" 102 22932
"469" 102 22933
"470" 102 22934
"471" 102 22935
"472" 102 22936
"473" 102 22937
"474" 102 22938
"475" 102 22939
"476" 103 23561
"477" 103 23562
"478" 103 23563
"479" 103 23564
"480" 103 23565
"481" 103 23566
"482" 103 23567
"483" 103 23568
"484" 103 23569
"485" 103 23570
"486" 103 23571
"487" 103 23572
"488" 103 23573
"489" 103 23574
"490" 103 23575
"491" 103 23576
"492" 103 23577
"493" 103 23578
"494" 103 23579
"495" 103 23580
"496" 103 23581
"497" 104 24646
"498" 104 24647
"499" 104 24648
"500" 104 24649
"501" 104 24650
"502" 104 24651
"503" 104 24652
"504" 104 24653
"505" 104 24654
"506" 104 24655
"507" 104 24656
"508" 104 24657
"509" 105 24655
"510" 105 24656
"511" 105 24657
"512" 105 24658
"513" 105 24659
"514" 105 24660
"515" 105 24661
"516" 105 24662
"517" 105 24663
"518" 106 26414
"519" 106 26415
"520" 106 26416
"521" 106 26417
"522" 106 26418
"523" 106 26419
"524" 106 26420
"525" 106 26421
"526" 106 26422
"527" 106 26423
"528" 106 26424
"529" 106 26425
"530" 106 26426
"531" 106 26427
"532" 106 26428
"533" 107 26414
"534" 107 26415
"535" 107 26416
"536" 107 26417
"537" 107 26418
"538" 107 26419
"539" 107 26420
"540" 107 26421
"541" 107 26422
"542" 107 26423
"543" 107 26424
"544" 107 26425
"545" 107 26426
"546" 107 26427
"547" 107 26428
"548" 107 26429
"549" 107 26430
"550" 107 26431
"551" 107 26432
"552" 107 26433
"553" 107 26434
"554" 108 26423
"555" 108 26424
"556" 108 26425
"557" 108 26426
"558" 108 26427
"559" 108 26428
"560" 108 26429
"561" 108 26430
"562" 108 26431
"563" 108 26432
"564" 108 26433
"565" 108 26434
"566" 108 26435
"567" 108 26436
"568" 108 26437
"569" 109 28457
"570" 109 28458
"571" 109 28459
"572" 109 28460
"573" 109 28461
"574" 109 28462
