Toll10b_R1_CBP	Toll9_R1_CBP	Gd7_R2_CBP	Gd7_R1_CBP	Toll9_R2_CBP	Toll10b_R2_CBP
Region100	7.15973322234093	7.38729788960583	7.23445971007641	7.30246863560979	7.20426519539743	7.23616926993514
Region1000	7.86788337737044	8.09811528079747	8.03936161063847	8.06577992324718	8.00231046901845	8.02071669156373
Region1001	9.52992714691929	9.52961092342166	9.53680319203611	9.52781042496309	9.62450697698021	9.52340460808885
Region1002	7.65502254419898	6.4083513752574	5.51266387124673	5.53648066821065	6.30587333123356	7.46589696030266
Region1003	6.79470826172989	7.66090476797708	7.89040292391873	7.90822544664094	7.62359692278102	7.17522467835732
Region1004	7.30942015008146	6.90598384630451	6.69133901856871	6.8718740420859	6.9024007853069	6.86075929607202
Region1005	7.15256256638803	7.28426748375453	7.21679699240946	7.14992182976384	7.30690160757129	7.30585889091005
Region1006	6.41729112193615	6.33179414610172	6.28043244639064	6.35762597033369	6.58696762695613	6.49321415533903
Region1007	8.49953732359013	8.20993816600355	8.13360755423366	8.18233485701706	8.32008115006573	8.34470337803021
Region1008	6.55028937755721	6.53441497272047	6.29472625887817	6.52665938706083	6.40328344803824	6.63335718550007
Region1009	7.19861116812236	7.08622650691248	6.70001304697057	6.95605359004348	6.88713145022186	6.63458374428487
Region101	7.11918421394848	7.14022652937962	7.15346495806784	7.07767300505239	7.29996760650561	7.00529456597897
Region1010	7.28607201152676	7.43932127787634	7.38177515994127	7.30605815905311	7.57802486855882	7.18415931282475
Region1011	8.61791217656543	8.68960946075966	8.07335401614892	8.01725832394418	8.70976668965194	8.3835584333114
Region1012	7.78047753992929	8.11145799636566	7.71220946893218	7.71366418303041	8.18770459606604	7.76787961000897
Region1013	7.21368120549182	7.20314997094667	6.93277142568434	7.03187146349621	7.20208604892068	7.23574433870423
Region1014	7.2922641018265	7.3607101294773	6.95461309750504	6.94985646226119	7.19221434604648	7.31474457150483
Region1015	8.93154605350975	9.00854971538703	9.24944197845692	9.16804972658507	9.07746923434627	9.04110757882457
Region1016	7.26901971920487	7.30291168477515	8.26849748866256	8.14402506869719	7.39232171310395	7.21685149442512
Region1017	5.74219535865601	5.5432209785124	6.30814122360081	6.4424917230352	5.46989956320134	5.75814836187648
Region1018	6.54159909543431	6.0881657711428	5.84475244149556	5.76844081556649	5.97809416568399	6.49918210319194
