geneID	sampleID	rlog	sampleName	sampleInfo	Genotype	Replicate	Input	sample
FBtr0078171	Gd7_R1_CBP	7.15158555865458	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330655	Gd7_R1_CBP	7.0093103258008	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0113008	Gd7_R1_CBP	3.73947374218758	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0309226	Gd7_R1_CBP	3.45149913316689	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0306539	Gd7_R1_CBP	5.29401063381345	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0306540	Gd7_R1_CBP	3.37905665409462	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078101	Gd7_R1_CBP	4.63834425424444	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0301733	Gd7_R1_CBP	3.31386244402876	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0306541	Gd7_R1_CBP	3.10867784161596	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078103	Gd7_R1_CBP	5.41421718691601	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330636	Gd7_R1_CBP	7.33944389557878	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0301452	Gd7_R1_CBP	6.17041002035977	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0089437	Gd7_R1_CBP	3.8646212119494	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0089436	Gd7_R1_CBP	4.93647056822034	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330639	Gd7_R1_CBP	6.59263474020347	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078160	Gd7_R1_CBP	2.69472406254039	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0100379	Gd7_R1_CBP	4.87580992174268	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0300987	Gd7_R1_CBP	4.98496437663725	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078147	Gd7_R1_CBP	6.77289907027449	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0340650	Gd7_R1_CBP	5.5632505955501	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078119	Gd7_R1_CBP	5.8547153897873	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078124	Gd7_R1_CBP	6.67187655824091	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0308246	Gd7_R1_CBP	3.04648477262958	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078145	Gd7_R1_CBP	8.1616389584241	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078126	Gd7_R1_CBP	4.11496550986575	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0308253	Gd7_R1_CBP	7.42641651161582	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0336989	Gd7_R1_CBP	4.06694248324994	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078141	Gd7_R1_CBP	6.75454105244946	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078139	Gd7_R1_CBP	6.74488639413636	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330648	Gd7_R1_CBP	7.42986985773469	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078129	Gd7_R1_CBP	6.94277765240797	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330650	Gd7_R1_CBP	5.97447568254068	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078136	Gd7_R1_CBP	6.62559751294963	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078135	Gd7_R1_CBP	5.62685251220633	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330647	Gd7_R1_CBP	3.39201252094456	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078131	Gd7_R1_CBP	7.29499759151755	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330651	Gd7_R1_CBP	6.64241603520022	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078053	Gd7_R1_CBP	5.53546330399523	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078054	Gd7_R1_CBP	6.32761887672111	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0089489	Gd7_R1_CBP	4.68374671285149	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0089488	Gd7_R1_CBP	7.56827973135972	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078055	Gd7_R1_CBP	7.15926269430676	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078090	Gd7_R1_CBP	5.5147218036845	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078058	Gd7_R1_CBP	5.42509335787662	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0329832	Gd7_R1_CBP	6.84345551438174	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0304741	Gd7_R1_CBP	4.99839996615729	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
