ENSEMBL	ENTREZID	SYMBOL	gd7_3h_rep1	gd7_3h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll9_3h_rep1	toll9_3h_rep2	l2fc_toll10b_vs_gd7	padj_toll10b_vs_gd7	l2fc_toll9_vs_gd7	padj_toll9_vs_gd7	l2fc_toll9_vs_toll10b	padj_toll9_vs_toll10b
FBgn0003448	34908	sna	7.31093120358987	7.4724306180934	10.9799882467333	10.9419229856826	9.1606498999649	9.17093487587738	5.65628004035433	9.35293587508999e-285	3.22309506303231	8.03145183766478e-88	-2.43318497732202	5.32930844817871e-127
FBgn0004512	36428	Mdr49	7.20706581148691	7.48092864344508	10.8874387444992	10.8071310347445	8.79875321586319	8.71482548425413	5.46119013894543	1.34740075282855e-256	2.60325810141529	4.6209908587575e-54	-2.85793203753014	5.50705679847726e-139
FBgn0039288	43025	CG13653	10.6697262629972	10.7398219711805	7.36498221705622	7.29894333705396	7.64748541449819	7.61696220462096	-4.96959336517801	1.80042678457105e-235	-4.36550101716331	2.80867880647146e-249	NA	NA
FBgn0003719	42945	tld	11.0773431862432	10.9267512291326	8.42633256251948	8.40106905043506	9.54405340151193	9.60407963066092	-3.86401425750403	1.10822490206095e-206	-1.97201400091188	4.50700128128512e-76	1.89200025659215	2.27320065183341e-46
FBgn0266129	38007	lov	11.2512374840761	11.0748427625574	8.80831398609858	8.75656764736612	10.4630879296344	10.4669178778887	-3.61237765744411	1.0355714492553e-196	NA	NA	2.6526530985326	1.08120450013559e-103
FBgn0028789	39039	Doc1	10.7398013005338	10.6376967414211	6.50356645517245	6.66326304320787	7.85800153968908	7.81751678596978	-6.704303008055	6.39880595513735e-184	-3.92577832876582	6.11248390306973e-219	2.77852467928918	1.04164780097228e-28
FBgn0000490	33432	dpp	10.9342720667416	10.8939656788489	8.62808063185741	8.66365486556936	9.35165523267174	9.46548837144683	-3.32269157123539	5.18059056618494e-178	-2.09618785955354	6.18489798387196e-90	1.22650371168185	3.83022135093941e-22
FBgn0032693	35115	Cyp310a1	7.16796775640377	7.29536700194302	10.2669839902369	10.137015241907	8.29046263683536	8.15867888217102	4.55594514413505	9.8927996504576e-175	1.798687797554	1.71887644975106e-24	-2.75725734658105	4.41100760558676e-100
FBgn0003900	37655	twi	5.99190411971296	6.33531526556696	10.1307680409871	10.1272921745879	7.23840264969977	6.98787649541656	6.55290905607388	3.12015192980986e-155	2.32439288328777	3.2375551576428e-17	-4.22851617278612	9.7186639267293e-172
FBgn0000395	45280	cv-2	9.98843520365142	9.89586430163622	6.86714722713578	6.906835930333	7.7105956630704	7.62878010458072	-4.7290560496581	1.3787535706481e-148	-3.20979201261727	8.51611889042567e-122	1.51926403704083	3.11641980352448e-13
FBgn0024250	31665	brk	6.79403418643452	7.13484929471084	9.96612564355417	10.1353957772014	10.7172126589229	10.6821979705408	6.13460145197423	3.17096302050338e-131	6.98842837404946	1.62120885173859e-171	NA	NA
FBgn0262719	38966	CG43163	11.8496438527979	11.7580868790817	10.2080021073948	10.1176827176812	10.225176746588	10.2747597407233	-2.33269956950665	7.30607786768499e-131	-2.19617853220471	3.11004484179281e-120	NA	NA
FBgn0003865	32160	tsg	10.9129470890084	10.9789821407081	9.17903718046419	9.18820400561271	9.36634829093146	9.39099846069987	-2.52517146843849	1.22852716353785e-127	-2.21688921901187	4.43652132124045e-107	NA	NA
