ENSEMBL	ENTREZID	SYMBOL	toll10b_5h_rep1	gd7_5h_rep2	gd7_5h_rep1	toll10b_5h_rep2	toll9_5h_rep1	toll9_5h_rep2	l2fc_toll10b_vs_gd7	padj_toll10b_vs_gd7	l2fc_toll9_vs_gd7	padj_toll9_vs_gd7	l2fc_toll9_vs_toll10b	padj_toll9_vs_toll10b
FBgn0030477	32291	dmrt11E	9.3122582873306	5.55147418403445	5.63073180141603	9.49542523824043	5.55912642849299	5.15815553719084	5.78888661812964	1.13656151517487e-92	NA	NA	-6.83264916762062	1.27309848984997e-72
FBgn0261648	34569	salm	7.35520583112033	10.2437687104278	10.2010806503701	7.38993226515375	7.64491210996289	7.89142227694647	-4.16119368189186	1.59552810230016e-90	-3.43960928652952	3.59497821980639e-67	NA	NA
FBgn0000411	39570	D	10.1069701766878	7.46977711557972	7.60145912567196	10.2432512753381	9.94154738664888	10.2298703596409	4.22610311597174	2.48371666559611e-84	4.11910357946833	1.53542836057236e-79	NA	NA
FBgn0003896	35147	tup	6.23160834638864	9.2632998115505	9.25643126953161	6.33278357447321	6.48101681847196	6.59080742043418	-4.52518273788777	1.19018794956604e-74	-3.99305561502522	9.08120980541982e-65	NA	NA
FBgn0028789	39039	Doc1	6.41776452309973	9.22242361048404	9.17437529827983	6.45691054669112	7.27692323761381	7.33204236899155	-4.32696602100445	7.55966539718228e-71	-2.68614018181323	3.19132025501416e-37	1.64082583919122	7.73132402559676e-09
FBgn0000490	33432	dpp	7.03138695137991	9.74800843619706	9.63849274704354	7.28806153718337	7.68216317374418	7.65698306508555	-3.75257198242213	8.93167802265292e-67	-2.87984693349972	1.70992748538492e-43	NA	NA
FBgn0024250	31665	brk	9.41907930547706	6.8213146221851	6.83042541549011	9.5274988012704	9.48804411023615	9.93755489175312	4.5446538666907	8.93167802265292e-67	4.89954316600094	1.40423509117349e-77	NA	NA
FBgn0040505	53425	Alk	6.08612467648972	8.96269000134895	8.84018235415103	5.97250177954938	6.57544524050662	6.58044621923714	-4.54201015987109	4.40384548128845e-63	-3.40044103650927	1.07564115576343e-45	1.14156912336182	0.00215035077616939
FBgn0003448	34908	sna	9.93574058971676	7.8707509437769	7.99556088796611	10.1117325754012	10.139334763444	10.3637625124467	3.27827319229998	7.96801199004644e-59	3.59320306771806	1.16199219775745e-70	NA	NA
FBgn0011656	36032	Mef2	8.57819641220275	5.76584140324176	5.57733886072233	8.59800456424375	5.71353086335351	5.47500309312794	4.51504441933387	1.87470570838056e-58	NA	NA	-4.83026828835583	3.4651949321002e-54
FBgn0030510	32326	CG12177	8.7521606473572	6.17975226219196	6.02875558730547	9.04293344188691	6.56879677974207	6.35625802281742	4.32437134288096	5.81876390474455e-58	NA	NA	-3.63543443042907	1.01917819899408e-43
FBgn0035954	39036	Doc3	5.72394844302337	8.60790648020887	8.67389202199736	5.73345091576918	6.81943845978673	6.96386133259768	-5.01221444596258	1.58880550053104e-56	-2.48438266871819	9.02531119702107e-26	2.52783177724439	8.84213716239554e-13
FBgn0035257	38211	CG12011	5.13996855760388	9.36898906280687	9.3495586403845	4.93712609990577	5.64479174578174	5.41523680264351	-7.9408234331369	1.27398168977411e-55	-5.88943929220671	2.73315467381845e-84	2.05138414093019	0.00342806812688938
FBgn0087007	39583	bbg	7.72104128702576	9.75516088558144	9.82658874986966	7.65085577081306	7.65674528459953	7.82938749178667	-3.04319964826213	7.59126713377674e-53	-2.93344577567812	1.81803560789223e-48	NA	NA
FBgn0004795	45976	retn	8.946477123772	6.79571106861458	6.77132547503007	9.06518445256169	6.61444901205485	6.45172646723375	3.2644175810636	3.79754835476136e-48	NA	NA	-3.78881044742624	3.4651949321002e-54
FBgn0020299	41770	stumps	9.85762959459655	7.65171850037816	7.19773780888348	10.0531426168025	7.79715673362332	7.47595793956788	3.64139277025334	9.46626169805906e-48	NA	NA	-3.32154452055751	5.11095625682928e-39
FBgn0261930	31003	vnd	8.29201025641324	5.66003456591333	5.68897332710919	8.28880953473016	6.97533845976592	7.23269877474362	4.60743628773079	1.98762689562388e-47	2.93825148947564	4.77077075119342e-18	-1.66918479825515	1.51753296476311e-10
FBgn0284250	36609	Oaz	5.51381237581281	8.62601722195881	8.43839727274638	5.39910073765487	6.12378546972118	5.52836493458701	-5.07351807796332	1.12883480803639e-46	-4.14423090980173	6.8592873425746e-39	NA	NA
FBgn0001148	38005	gsb	9.38884481854334	7.52358094363295	7.52003782502395	9.61115616284674	9.3554427320942	9.6442477862317	3.12118473777114	2.6716977781077e-45	3.13129140050564	3.5125178299967e-45	NA	NA
FBgn0003137	43872	Ppn	8.47764076645112	5.92717083417733	6.10911281402109	8.43176976681915	6.20626536451672	6.0300454457241	3.75691912650125	6.75304002578215e-45	NA	NA	-3.61857370834459	2.73007237859114e-39
FBgn0004606	43650	zfh1	9.05775116002363	6.8251039316611	6.92200453871424	9.18580038944646	7.26025427538536	7.603378504696	3.39981528564649	1.55136704696527e-44	1.00544127769845	0.00178685036832189	-2.39437400794804	1.52212535659743e-23
FBgn0000395	45280	cv-2	5.31560481081809	8.36965710457497	8.23432816690504	5.50682770618604	6.01530067426723	6.4023135283904	-5.02997192429791	4.58705515874499e-43	-3.03984881328307	2.03293444248204e-25	1.99012311101484	7.19998927068893e-06
FBgn0010389	42160	htl	7.88799834433162	5.20406429470742	5.18312214249787	7.96293650147089	5.48896763938969	5.22535761116842	4.55963355313291	5.29576735314348e-42	NA	NA	-4.2256615388704	4.57705274525464e-36
FBgn0035956	39038	Doc2	5.32867082055702	8.1819098964277	7.92713426493571	5.25596111831404	6.03879843678683	5.96722320422015	-4.8881132072872	1.43591704157891e-40	-3.1139964071913	1.11782663863687e-26	1.7741168000959	0.000144017556787339
FBgn0003963	33225	ush	8.8708176971092	10.7042781277301	10.6497766768283	8.96815708937674	8.19253520842271	8.46612244239238	-2.44606928740993	5.69186038053081e-38	-3.36844345591028	1.83866787749043e-66	NA	NA
FBgn0266801	50003	CG45263	6.72153776848577	8.66886294322112	8.70964463003409	6.51350141343767	6.71880933247958	6.72157692754156	-3.12904450743162	9.64960237957519e-38	-2.95440504312806	1.15922113666848e-33	NA	NA
