gd7_3h_rep1	gd7_3h_rep2	gd7_5h_rep1	gd7_5h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll10b_5h_rep1	toll10b_5h_rep2	toll9_3h_rep1	toll9_3h_rep2	toll9_5h_rep1	toll9_5h_rep2
FBgn0000008	4.88461148060955	5.28276846457541	5.84602325307332	5.56507894574736	5.51477084172234	5.56905022748615	5.27144822837802	5.89857998146698	5.51602902135298	5.32166894702371	5.45954980313415	5.31357946523525
FBgn0000014	7.51361666426708	7.61625682193108	7.75073604174458	7.62287013508585	7.75402818136173	7.62158619599096	7.78459549692075	7.91336242858754	8.16406521861916	7.99674786866658	7.96882529464106	8.40640899133264
FBgn0000015	5.78147402868444	5.74259934658854	6.36770663474046	7.07623201337056	6.01136040502714	6.01371963630484	7.12658305779436	6.40083321175409	6.21870683068937	6.01620347543402	6.45669644813989	6.84562398992858
FBgn0000017	6.60924014683292	6.68990161712042	7.43344766949844	7.41976218259125	6.81022536145963	6.77944587007639	7.36440762162357	7.41066719805978	7.04365137488895	6.69808522061346	7.09786937364849	7.40281252271147
FBgn0000018	7.16722624169307	7.22708532871895	7.31335124393699	7.18942478237621	6.76648124248902	6.97768069925797	7.30579321229794	7.36485553417366	7.27861459995679	7.12906185239517	7.53272716807198	7.47225711240057
FBgn0000022	8.32806388674137	8.26357659671663	7.97273832999111	7.98913062805866	8.25184399840474	8.25678800365594	7.98863391006687	8.04832202976329	8.42546667596617	8.28280600179959	8.54499458639358	8.50614095635643
FBgn0000032	5.99478001405351	5.78191289245398	5.72819034626747	5.9077796803552	5.94256051033034	5.92724761707984	5.88859828763922	5.79447217323809	6.06427791288325	6.1062163394627	6.08487682970458	5.7496050505064
FBgn0000042	8.64542292751504	8.62695896501001	9.32326433153694	9.09020054384683	9.07559889675644	9.13690805553834	9.01917111562676	9.46126671761689	9.15511403561852	9.10827522331102	9.14712130633989	9.3699641772187
FBgn0000043	7.47158669565468	7.31074687370085	8.25237752155605	8.15658071911583	7.65646280995718	7.6666913507118	8.1588849288969	8.25976682838291	7.63638933499258	7.51163152972049	8.23345425328101	8.33570277231987
FBgn0000044	4.72359670759864	4.84721577036779	6.25057740882731	4.88563340159695	5.79678729793918	5.78594427314859	5.24152708715736	6.13430572954852	4.91932279284988	4.789932113826	4.75081344445689	4.79404030247671
FBgn0000046	5.17557441671069	5.20173899093983	6.93059142623929	5.41493837132157	6.34642973724687	6.27483447538354	5.78690090714045	6.83926552762429	5.56681606667517	5.50765589551521	5.65211028252193	5.53139364575005
FBgn0000052	6.83835201470612	6.68264891601547	6.31961922079933	6.69205033186469	7.02335025901135	7.0287661630807	6.67509961805588	6.6563136107758	7.04448713308063	7.11831974069255	6.73084641554857	6.52152953469234
FBgn0000053	5.81005341314304	5.78727196654986	5.7663716326341	5.8710706176426	5.91773982475393	6.08351055919425	5.96173762030107	5.94744158724223	6.03030923838166	5.87926311512721	6.09012335970771	5.96401878935208
FBgn0000057	5.62679730479946	5.59228893135635	5.56043571798876	5.92700886858045	5.4162380886792	5.50793173449845	5.94087675323095	5.84537945825335	5.37013372995665	5.47248271816461	5.70264720722224	5.63356416518521
FBgn0000063	6.9433923217305	6.90272170827775	7.68243331504942	7.7226727827755	7.30911391174491	7.38724906609709	7.68463876924787	7.76993491180018	7.09303218549871	7.27691206664254	7.66856995141149	7.76958628998395
FBgn0000064	4.30980696144141	4.23042653497595	5.49234097667011	4.90015524617905	5.82211042109743	5.78156206287366	4.91124520713702	5.34238613778414	4.53344457087499	4.51995030027327	5.04255420351988	5.11621059009535
FBgn0000071	10.0138193285464	9.74162877756637	9.24660504316859	8.10620565413047	9.66807564983404	9.76971645505405	8.10578289267701	9.36867278038896	8.73460863102685	8.70124908989239	9.55382430000498	9.80592302880467
FBgn0000077	7.81537215691787	8.00717162912317	7.75168287404417	7.22682060740417	7.82185435636311	7.84112434672641	7.30064490505519	7.60065580777134	7.77140279125713	7.64877375877403	7.25129095668154	7.34938083204016
FBgn0000092	5.58199951629235	5.6343279663576	5.32641840958934	5.62850160729584	5.50542811577495	5.50616775879746	5.48634108330655	5.23666697025126	5.75185934285034	5.75132001013158	5.61716127977051	5.66337204812335
FBgn0000097	9.09277633279507	9.22034345839701	10.1337566360731	10.4445833936711	9.31207961985803	9.30211010421193	10.3684893147313	10.1427054763171	9.9107459221514	9.99048516546678	10.0273971426895	10.3258101429872
FBgn0000100	7.55270668512373	7.42710039782708	8.31055929662693	8.29363990852832	7.75092998695616	7.83520754433368	8.12103101327625	8.41786197211834	7.70881862369937	7.66672697786289	8.02433436259946	8.19525867924768
FBgn0000115	6.40173302569096	6.36639590072592	6.50477014837459	6.23043027804872	6.58665068402556	6.38899145262071	6.18293765027458	6.71869607868723	6.14799866632963	6.35862992439297	6.08851860757176	6.29593665923386
FBgn0000117	10.5499126546874	10.4305522283008	9.86170285464439	10.1952531404516	10.3170330155514	10.2949412612885	10.0834422495489	9.98987197907505	10.6410900741203	10.5961397157729	9.95717879570209	10.0953452143568
FBgn0000119	9.64555762053392	9.57881342457609	9.19491050551992	9.37337519949506	9.54954732727428	9.49004383207285	9.32461418208004	9.28938898305437	9.6551806274044	9.71998818171941	9.4561455939081	9.55949699264167
FBgn0000137	5.16336963686025	5.35820798381246	7.53694653547025	5.64606631397346	5.90000758032829	6.22386003597215	5.79487653392236	7.47778813549701	6.09968643496769	5.95742813170422	7.20567292278888	7.55608195566855
FBgn0000139	8.59475997044465	8.64112651209244	8.23211975459163	7.96061236911947	8.98951447781539	8.86238351495517	7.85975560415153	8.51249922236499	8.68540782270212	8.65568101211677	8.03714338869857	8.15932782945451
FBgn0000140	10.845080174608	10.6827576934474	10.0455285677745	10.2889705471919	10.6043869344828	10.5857831068698	10.1702458973737	10.1803008027365	10.7329138037095	10.7768873690919	10.2573676516447	10.4129622626873
