gd7_3h_rep1	gd7_3h_rep2	gd7_5h_rep1	gd7_5h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll10b_5h_rep1	toll10b_5h_rep2	toll9_3h_rep1	toll9_3h_rep2	toll9_5h_rep1	toll9_5h_rep2
FBgn0267431	17	17	15	13	14	16	36	7	19	12	23	13
FBgn0267430	21	18	13	13	13	19	31	15	31	19	26	19
FBgn0086917	11	6	5	5	9	8	9	2	9	9	3	7
FBgn0010247	148	64	93	134	69	90	123	114	100	99	92	115
FBgn0086378	234	128	185	231	113	115	251	219	173	167	138	257
FBgn0263977	440	223	291	215	234	230	244	286	324	356	184	309
FBgn0069923	63	18	45	46	24	32	44	33	66	58	46	60
FBgn0039955	145	82	83	138	36	55	117	82	126	133	117	250
FBgn0259821	15	8	11	9	5	7	15	4	17	19	18	14
FBgn0027341	122	75	232	109	76	111	225	82	203	115	53	131
FBgn0058198	3	3	1	2	0	2	2	1	3	1	0	4
FBgn0037213	3062	1409	185	793	673	803	815	234	1397	1289	210	549
FBgn0000500	14	7	3	1	0	7	5	0	6	4	1	3
FBgn0037215	123	60	62	50	61	64	75	59	84	54	28	36
FBgn0037217	19	14	9	1	8	12	5	2	9	10	7	5
FBgn0037218	520	249	440	420	387	439	489	481	389	430	241	573
FBgn0051516	5	4	8	3	11	14	1	13	7	1	2	4
FBgn0261436	155	122	91	88	69	91	93	73	107	118	62	112
FBgn0037220	830	446	326	350	472	526	390	387	568	600	181	402
FBgn0015331	475	244	346	318	272	335	337	400	325	355	206	421
FBgn0010225	269	103	169	219	135	150	202	183	164	154	111	330
FBgn0037222	28	17	83	84	35	33	54	109	31	30	39	88
FBgn0085334	2	1	1	0	1	1	0	0	0	1	1	1
FBgn0037224	20	14	10	7	9	13	12	11	13	18	12	22
FBgn0037225	5	5	48	1	8	20	3	37	6	3	4	6
FBgn0250821	4	3	71	2	18	31	0	54	4	2	6	2
FBgn0037227	6	4	5	4	2	3	10	3	7	2	5	4
FBgn0041621	7	1	3	3	8	6	2	3	5	1	3	3
FBgn0037228	2	3	9	2	3	5	3	1	3	3	5	2
FBgn0037229	8	5	3	5	3	4	6	2	15	9	4	3
FBgn0041605	4	2	4	0	4	3	4	4	4	5	5	8
FBgn0037230	13	3	14	6	7	9	9	17	9	9	4	11
FBgn0037231	95	40	44	55	61	77	65	31	57	69	30	84
FBgn0027930	17	10	29	29	11	27	34	29	85	84	31	69
FBgn0037232	663	338	185	181	331	389	231	164	558	531	83	196
FBgn0261086	23	16	13	17	11	17	29	13	26	20	13	24
FBgn0037234	143	88	146	165	108	106	148	138	159	145	98	185
FBgn0027866	693	321	347	403	426	500	448	328	628	578	246	568
FBgn0037236	421	224	276	383	341	358	408	339	399	407	231	494
FBgn0040687	1	1	0	0	0	1	1	0	0	1	5	1
FBgn0037235	87	46	71	63	63	73	55	72	55	74	43	114
FBgn0261434	862	422	279	34	452	574	17	341	814	764	506	1437
FBgn0037238	23	16	4	6	7	9	7	7	17	8	6	23
FBgn0037239	15	9	35	8	18	20	15	25	15	15	6	17
FBgn0037240	534	285	694	781	321	396	764	636	384	375	387	950
FBgn0003882	233	128	229	231	208	192	262	210	131	160	89	199
FBgn0037241	969	632	634	643	626	676	659	728	595	557	381	563
FBgn0086608	11	2	7	14	5	6	9	7	6	2	2	8
FBgn0037242	59	39	176	187	67	91	231	216	77	89	107	238
FBgn0086605	197	116	223	183	116	188	251	223	168	148	117	254
FBgn0037244	510	314	276	342	290	376	354	325	292	296	172	320
FBgn0263594	307	177	339	390	208	280	388	334	264	273	145	390
FBgn0052944	21	9	9	17	12	10	21	15	22	15	11	17
FBgn0051528	13	11	15	9	11	10	10	3	13	17	9	11
FBgn0037248	183	94	596	609	199	251	626	541	217	215	218	549
FBgn0051525	1	2	2	4	0	3	0	2	3	0	3	1
FBgn0037249	1898	976	930	948	1018	1199	1014	992	1405	1350	468	1198
FBgn0037250	965	492	225	329	407	489	337	226	602	589	145	280
FBgn0037251	91	44	51	52	48	57	49	58	66	84	27	68
FBgn0037252	120	56	323	265	108	137	297	303	150	141	183	425
FBgn0051522	92	50	193	55	77	93	66	183	62	53	42	145
FBgn0051523	89	47	141	105	61	61	125	97	57	56	56	162
FBgn0037254	119	60	15	43	14	25	66	11	48	80	26	38
FBgn0037255	710	463	358	365	457	562	361	340	639	625	160	468
FBgn0085386	18	18	13	14	18	15	28	8	21	13	22	10
FBgn0085454	12	6	8	6	3	5	4	2	10	7	6	9
FBgn0037260	8	6	8	4	2	4	12	4	5	3	7	2
FBgn0052945	27	20	5	7	8	6	13	4	10	13	13	7
FBgn0087012	518	236	16	27	60	66	29	18	272	301	30	64
FBgn0037261	5790	2774	422	519	1668	2260	534	410	2447	2061	226	595
FBgn0037262	593	292	163	145	264	315	162	117	327	282	89	184
FBgn0037263	312	150	103	158	120	165	144	103	184	189	72	198
FBgn0040466	154	92	106	96	67	115	128	103	120	99	55	106
FBgn0022981	240	99	102	172	135	129	176	90	124	129	41	125
FBgn0087013	524	242	704	854	426	472	926	777	449	501	371	1111
FBgn0037265	121	37	22	34	47	57	37	29	67	64	27	45
FBgn0263346	657	304	372	748	246	285	869	394	809	806	367	1010
FBgn0053927	2	1	2	2	0	2	2	1	0	2	0	3
FBgn0037270	254	154	178	200	201	224	213	218	191	199	120	255
FBgn0027570	30	13	8	20	5	9	32	9	19	11	10	22
FBgn0026620	243	126	507	520	234	321	509	517	265	268	255	630
FBgn0010750	535	311	260	288	323	388	312	284	425	403	157	356
FBgn0264907	9	6	12	6	7	14	13	4	10	10	5	10
FBgn0264897	0	1	4	2	2	2	1	1	0	2	3	0
FBgn0037275	13	8	11	6	5	10	14	4	12	4	7	8
FBgn0037276	35	23	59	50	22	37	59	31	44	29	41	57
FBgn0260794	3713	1921	3283	3589	2060	2569	4031	3466	3305	3293	1896	4855
FBgn0026417	113	47	200	226	91	139	219	238	136	154	88	285
FBgn0037279	158	73	124	125	119	135	131	117	93	114	77	164
FBgn0037280	30	18	28	19	22	30	35	12	26	25	14	28
FBgn0037282	225	107	116	124	191	216	166	129	226	221	58	140
FBgn0037283	6	0	1	0	1	1	5	0	2	3	2	2
FBgn0037284	3	0	0	1	2	1	1	0	1	2	3	1
FBgn0003002	2025	975	152	174	1410	1671	196	176	2273	2147	158	400
FBgn0020280	11	6	9	6	2	6	11	3	9	8	8	12
FBgn0004913	319	144	261	415	199	282	430	315	330	330	222	561
FBgn0265082	1791	874	1912	1565	1161	1445	1637	2050	1681	1675	746	2071
FBgn0004436	72	38	61	72	37	44	82	53	38	50	45	92
FBgn0037288	3	1	1	1	2	2	5	0	1	1	4	2
FBgn0250839	39	21	5	12	17	16	5	2	29	29	7	8
FBgn0037290	21	8	3	4	1	3	8	8	6	4	8	6
FBgn0037291	12	13	4	4	14	8	12	4	6	10	8	13
FBgn0037292	20	12	3	3	2	4	3	3	5	3	1	6
FBgn0010313	2619	1376	900	1154	1063	1329	1524	980	1644	1702	643	1711
FBgn0262605	35	13	5	6	4	6	7	2	7	11	3	5
FBgn0037293	1270	770	394	309	817	918	317	483	1026	969	187	423
FBgn0040684	3	1	0	0	0	2	2	0	2	1	1	0
FBgn0037295	20	11	7	6	9	11	14	8	8	4	5	11
FBgn0037294	10	6	3	2	6	2	2	2	6	3	1	2
FBgn0259212	4746	2330	696	1749	760	938	1927	702	1844	1815	752	1875
FBgn0037296	34	32	10	18	13	17	16	4	8	24	9	8
FBgn0037297	586	441	339	290	342	408	303	428	497	513	218	377
FBgn0037298	15	15	14	22	13	10	28	10	13	9	9	21
FBgn0040682	16	7	4	2	13	6	1	4	8	19	2	20
FBgn0037299	393	251	225	268	217	250	186	290	202	215	91	226
FBgn0040208	536	246	272	317	291	320	287	304	366	369	144	384
FBgn0037301	805	513	490	423	538	594	475	545	623	574	219	443
FBgn0087005	224	102	51	108	81	78	127	81	109	92	51	143
FBgn0260462	481	249	269	295	226	263	323	239	305	321	143	403
FBgn0053293	46	26	17	29	22	24	29	26	29	34	15	53
FBgn0037304	18	13	5	8	6	11	6	4	10	6	3	6
FBgn0037305	72	65	26	49	36	38	52	24	43	65	38	36
FBgn0264785	268	114	174	159	177	202	190	208	219	190	100	198
FBgn0037307	2	1	3	0	2	3	9	0	1	2	3	3
FBgn0013576	1170	562	452	432	300	394	438	405	375	358	240	539
FBgn0051538	282	112	139	116	81	117	139	122	80	92	65	182
FBgn0037310	1	0	3	2	3	1	4	0	2	1	1	1
FBgn0037312	50	22	105	116	54	64	112	128	45	52	45	110
FBgn0037313	387	195	223	172	258	230	243	218	270	258	135	258
FBgn0250746	277	148	166	191	199	251	175	164	238	220	93	198
FBgn0037315	60	23	40	32	35	25	51	41	55	50	21	63
FBgn0051542	12	14	4	7	5	9	15	1	9	14	2	9
FBgn0085306	37	27	2	23	3	7	12	4	16	23	6	9
FBgn0003275	623	346	250	258	387	410	249	291	420	488	137	278
FBgn0086695	581	318	152	245	313	348	297	192	481	424	134	369
FBgn0037317	502	296	198	217	285	331	284	245	381	327	134	271
FBgn0041707	85	53	42	56	60	79	47	37	108	95	38	92
FBgn0001311	62	42	22	36	27	31	45	18	45	46	22	34
FBgn0037320	12	12	5	6	3	8	10	4	10	14	8	8
FBgn0264712	257	134	84	134	146	164	115	112	195	181	62	140
FBgn0037322	95	58	1	0	32	28	7	6	38	41	2	0
FBgn0037323	6	1	3	1	4	5	6	3	3	5	5	3
FBgn0037324	10	5	12	10	8	4	23	8	19	6	10	12
FBgn0037326	4	4	8	4	3	3	1	7	3	2	4	4
FBgn0037325	18	14	17	14	17	20	43	20	27	21	34	17
