"ENSEMBL"	"ENTREZID"	"SYMBOL"
"FBgn0267431"	"26067052"	"Myo81F"
"FBgn0010247"	"3355109"	"Parp"
"FBgn0086378"	"3355106"	"Alg-2"
"FBgn0263977"	"3355107"	"Tim17b"
"FBgn0069923"	"3355108"	"CG41128"
"FBgn0039955"	"3355072"	"CG41099"
"FBgn0259821"	"7354470"	"CG42402"
"FBgn0027341"	"3354921"	"Gfat1"
"FBgn0037213"	"40522"	"CG12581"
"FBgn0037215"	"40524"	"beta-Man"
"FBgn0037217"	"40526"	"CG14636"
"FBgn0037218"	"40527"	"aux"
"FBgn0261436"	"40528"	"DhpD"
"FBgn0037220"	"40529"	"CG14641"
"FBgn0015331"	"40530"	"abs"
"FBgn0010225"	"46008"	"Gel"
"FBgn0037222"	"40532"	"CG14642"
"FBgn0037224"	"40534"	"TwdlF"
"FBgn0037225"	"40535"	"TwdlG"
"FBgn0250821"	"40536"	"CG14644"
"FBgn0037230"	"40540"	"CG9780"
"FBgn0037231"	"40542"	"Vps24"
"FBgn0027930"	"40541"	"MP1"
"FBgn0037232"	"40543"	"Suv3"
"FBgn0261086"	"40544"	"Syt14"
"FBgn0037234"	"40545"	"CG9795"
"FBgn0027866"	"40546"	"CG9776"
"FBgn0037236"	"40548"	"Skp2"
"FBgn0037235"	"40547"	"CG1103"
"FBgn0261434"	"40549"	"hkb"
"FBgn0037238"	"40551"	"CG1090"
"FBgn0037239"	"40552"	"Sfxn1-3"
"FBgn0037240"	"40553"	"Cont"
"FBgn0003882"	"40554"	"tub"
"FBgn0037241"	"40555"	"CG14646"
"FBgn0037242"	"40556"	"CG9855"
"FBgn0086605"	"40557"	"CG9853"
"FBgn0037244"	"40558"	"CG14647"
"FBgn0263594"	"40559"	"lost"
"FBgn0052944"	"40560"	"CG32944"
"FBgn0051528"	"318785"	"CG31528"
"FBgn0037248"	"40562"	"srl"
"FBgn0037249"	"40563"	"eIF3a"
"FBgn0037250"	"40564"	"CG1074"
"FBgn0037251"	"40565"	"CG9804"
"FBgn0037252"	"40566"	"CG14650"
"FBgn0051522"	"40567"	"CG31522"
"FBgn0051523"	"326148"	"CG31523"
"FBgn0037254"	"40568"	"CG14651"
"FBgn0037255"	"40569"	"Fip1"
"FBgn0085386"	"5740349"	"CG34357"
"FBgn0052945"	"318261"	"CG32945"
"FBgn0087012"	"40575"	"5-HT2A"
"FBgn0037261"	"40576"	"CG9775"
"FBgn0037262"	"40577"	"MED31"
"FBgn0037263"	"40578"	"slx1"
"FBgn0040466"	"40579"	"Dlip2"
"FBgn0022981"	"40580"	"rpk"
"FBgn0087013"	"40581"	"Karybeta3"
"FBgn0037265"	"40582"	"spartin"
"FBgn0263346"	"40583"	"CG43427"
"FBgn0037270"	"40587"	"eIF3f1"
"FBgn0027570"	"40588"	"Nep2"
"FBgn0026620"	"40589"	"tacc"
"FBgn0010750"	"40593"	"atms"
"FBgn0264907"	"40590"	"CG44098"
"FBgn0037275"	"40594"	"CG14655"
"FBgn0037276"	"40595"	"CG17387"
"FBgn0260794"	"40596"	"ctrip"
"FBgn0026417"	"40598"	"Hus1-like"
"FBgn0037279"	"40599"	"CG1129"
"FBgn0037280"	"40600"	"CG1126"
"FBgn0037282"	"40602"	"CG14657"
"FBgn0003002"	"40605"	"opa"
"FBgn0004913"	"40607"	"Gnf1"
"FBgn0265082"	"40608"	"Cdep"
"FBgn0004436"	"40610"	"Ubc6"
"FBgn0250839"	"40612"	"CG2016"
"FBgn0037291"	"40614"	"CG14662"
"FBgn0010313"	"40616"	"corto"
"FBgn0262605"	"12798230"	"CG43131"
"FBgn0037293"	"40617"	"CG12007"
"FBgn0037295"	"40619"	"dpr16"
"FBgn0259212"	"40620"	"cno"
"FBgn0037296"	"40621"	"Prosbeta2R2"
"FBgn0037297"	"40622"	"CG1116"
"FBgn0037298"	"40623"	"CG2604"
"FBgn0040682"	"12798232"	"CG14664"
"FBgn0037299"	"40624"	"Vps37B"
"FBgn0040208"	"53566"	"Kat60"
"FBgn0037301"	"40626"	"Mms19"
"FBgn0087005"	"40627"	"rtp"
"FBgn0260462"	"40628"	"CG12163"
"FBgn0053293"	"2768659"	"CG33293"
"FBgn0037305"	"40630"	"CG12173"
"FBgn0264785"	"40633"	"Hph"
"FBgn0013576"	"45467"	"mtd"
"FBgn0051538"	"318790"	"CG31538"
"FBgn0037312"	"40637"	"CG11999"
"FBgn0037313"	"40638"	"CG1161"
"FBgn0250746"	"40639"	"Prosbeta7"
"FBgn0037315"	"40640"	"Cerk"
"FBgn0051542"	"318791"	"CG31542"
"FBgn0085306"	"5740553"	"CG34277"
"FBgn0003275"	"48312"	"RpII18"
"FBgn0086695"	"40642"	"hd"
"FBgn0037317"	"40643"	"CG14667"
"FBgn0041707"	"40644"	"7B2"
"FBgn0001311"	"45884"	"kkv"
"FBgn0264712"	"40647"	"CG1172"
"FBgn0037322"	"40648"	"Or83a"
"FBgn0037324"	"40650"	"Orco"
"FBgn0037325"	"40651"	"CG12147"
"FBgn0037327"	"40653"	"PEK"
"FBgn0037328"	"40654"	"RpL35A"
"FBgn0037329"	"40655"	"POLDIP2"
"FBgn0037330"	"40656"	"mRpL44"
"FBgn0011715"	"40657"	"Snr1"
"FBgn0025825"	"44446"	"HDAC3"
"FBgn0037332"	"40659"	"Hcs"
"FBgn0015402"	"40660"	"ksr"
"FBgn0051550"	"40661"	"CG31550"
"FBgn0051547"	"40663"	"NKCC"
"FBgn0010399"	"40665"	"Nmdar1"
"FBgn0010051"	"40664"	"Itp-r83A"
"FBgn0037336"	"40666"	"CG2519"
"FBgn0014342"	"40667"	"mia"
"FBgn0086768"	"40668"	"Pcmt"
"FBgn0037338"	"40669"	"Snm1"
"FBgn0037339"	"40670"	"Pi4KIIalpha"
"FBgn0037340"	"40671"	"CG14671"
"FBgn0037341"	"40672"	"CG12746"
"FBgn0037342"	"40673"	"CG2931"
"FBgn0041191"	"117332"	"Rheb"
"FBgn0023023"	"40675"	"CRMP"
"FBgn0037344"	"40676"	"CG2926"
"FBgn0014366"	"40678"	"noi"
"FBgn0283535"	"40679"	"Vha26"
"FBgn0250753"	"40680"	"kra"
"FBgn0037347"	"40681"	"CG1427"
"FBgn0261004"	"40682"	"asl"
"FBgn0017550"	"40683"	"Rga"
"FBgn0019637"	"40684"	"Atu"
"FBgn0037350"	"40686"	"CG2911"
"FBgn0037351"	"40687"	"RpL13A"
"FBgn0051551"	"318795"	"CG31551"
