Experiment	SampleInfo	Genotype	Antibody	Replicate	bamFiles	Nuclearcycle	SRRid
ChIP_seq_mapped_dm6	Toll10b_K27ac_2_R1	Toll10b	K27ac	2	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	Toll910_H3_2_R1	Toll910	H3	2	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	Toll910_K27ac_2_R1	Toll910	K27ac	2	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	gd7_K27me3_1_R1	gd7	K27me3	1	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	Toll910_K27me3_1_R1	Toll910	K27me3	1	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	Toll10b_K27me3_1_R1	Toll10b	K27me3	1	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	Toll910_H3_1_R1	Toll910	H3	1	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	Toll10b_K27ac_1_R1	Toll10b	K27ac	1	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	Toll910_K27me3_2_R1	Toll910	K27me3	2	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	Toll910_Input_2_R1	Toll910	Input	2	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	gd7_K27ac_2_R1	gd7	K27ac	2	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	gd7_K27me3_2_R1	gd7	K27me3	2	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	Toll910_Input_1_R1	Toll910	Input	1	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	gd7_K27ac_1_R1	gd7	K27ac	1	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	Toll910_K27ac_1_R1	Toll910	K27ac	1	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
ChIP_seq_mapped_dm6	Toll10b_K27me3_2_R1	Toll10b	K27me3	2	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	2_4_hrs	SRR
Zetlinger_ChIP-mapped	gd7_WCE_rep4	gd7	WCE	rep4	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	2_4_hrs	SRR
Zetlinger_ChIP-mapped	Tol10b_H3K4me1_rep2	Tol10b	H3K4me1	rep2	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep2.dm6.bowtie2.sorted.bam	2_4_hrs	SRR
Zetlinger_ChIP-mapped	gd7_zld_rep1	gd7	zld	rep1	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam	2_4_hrs	SRR
