experiment	protein	celltype	treatment	drug	time	replicate	antibody	sampleNr	bamFiles
CBP_ChIP_seq_mapped	pcgs	S2	C646	C37	30	R1	dRING	S9	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C37_30_R1_dRING_S9.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C37	30	R2	Ez	S7	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C37_30_R2_Ez_S7.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C646	30	R1	Pho	S14	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C646_30_R1_Pho_S14.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C646	30	R2	Pho	S16	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C646_30_R2_Pho_S16.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C37	30	R2	Pho	S15	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C37_30_R2_Pho_S15.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C37	30	R1	Ez	S5	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C37_30_R1_Ez_S5.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C646	30	R1	Ez	S6	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C646_30_R1_Ez_S6.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C37	30	R1	INPUT	S1	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C37_30_R1_INPUT_S1.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C37	30	R1	Pho	S13	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C37_30_R1_Pho_S13.dmel.bowtie2.sorted.bam
CBP_ChIP_seq_mapped	pcgs	S2	C646	C646	30	R1	dRING	S10	./CBP_ChIP_seq_mapped/pcgs_S2_C646_mapped/bam_dmel/C646_30_R1_dRING_S10.dmel.bowtie2.sorted.bam
