geneID	transcriptID	factor	direction
FBgn0000227	FBtr0077423	Time	Down
FBgn0000228	FBtr0302567	Time	Down
FBgn0000606	FBtr0088390	Time	Down
FBgn0001077	FBtr0081625	Time	Down
FBgn0001090	FBtr0074657	Time	Down
FBgn0001099	FBtr0091757	Time	Down
FBgn0001168	FBtr0100153	Time	Down
FBgn0001320	FBtr0078283	Time	Down
FBgn0003145	FBtr0080299	Time	Down
FBgn0003486	FBtr0077130	Time	Down
FBgn0003510	FBtr0085557	Time	Down
FBgn0003683	FBtr0075112	Time	Down
FBgn0003720	FBtr0085709	Time	Down
FBgn0004053	FBtr0081670	Time	Down
FBgn0004108	FBtr0075323	Time	Down
FBgn0004389	FBtr0085754	Time	Down
FBgn0004795	FBtr0340030	Time	Down
FBgn0004956	FBtr0074581	Time	Down
FBgn0005590	FBtr0343860	Time	Down
FBgn0020300	FBtr0075126	Time	Down
FBgn0024150	FBtr0305501	Time	Down
FBgn0026361	FBtr0088877	Time	Down
FBgn0028523	FBtr0340234	Time	Down
FBgn0029931	FBtr0071010	Time	Down
FBgn0031621	FBtr0077378	Time	Down
FBgn0031718	FBtr0114511	Time	Down
FBgn0031805	FBtr0079253	Time	Down
FBgn0033817	FBtr0087744	Time	Down
FBgn0034225	FBtr0086926	Time	Down
FBgn0035625	FBtr0077089	Time	Down
FBgn0036791	FBtr0075101	Time	Down
FBgn0036810	FBtr0075053	Time	Down
FBgn0037085	FBtr0078394	Time	Down
FBgn0037149	FBtr0334111	Time	Down
FBgn0037797	FBtr0082222	Time	Down
FBgn0037992	FBtr0082550	Time	Down
FBgn0038566	FBtr0083541	Time	Down
FBgn0043854	FBtr0344864	Time	Down
FBgn0046253	FBtr0273227	Time	Down
FBgn0262867	FBtr0307501	Time	Down
FBgn0266129	FBtr0330231	Time	Down
FBgn0283741	FBtr0309968	Time	Down
FBgn0000137	FBtr0070075	Gd7	Down
FBgn0000157	FBtr0300076	Gd7	Up
FBgn0000395	FBtr0071610	Gd7	Up
FBgn0000490	FBtr0077775	Gd7	Up
FBgn0001138	FBtr0081808	Gd7	Up
FBgn0001148	FBtr0072444	Gd7	Down
FBgn0001983	FBtr0080740	Gd7	Down
FBgn0002609	FBtr0084958	Gd7	Down
FBgn0003117	FBtr0083221	Gd7	Up
FBgn0003396	FBtr0088099	Gd7	Up
FBgn0003448	FBtr0080739	Gd7	Down
FBgn0003463	FBtr0074063	Gd7	Down
FBgn0003651	FBtr0082563	Gd7	Down
FBgn0003896	FBtr0081112	Gd7	Up
FBgn0003963	FBtr0078063	Gd7	Up
FBgn0004360	FBtr0339383	Gd7	Up
FBgn0004512	FBtr0302198	Gd7	Down
FBgn0004863	FBtr0084111	Gd7	Up
FBgn0004878	FBtr0078725	Gd7	Down
