geneID	SYMBOL	VTID	kmeans_UMAP	stage	Annotation
FBgn0024250	brk	VT58194	3	stg4_6	mesoderm_AISN
FBgn0024250	brk	VT58194	3	stg7_8	trunk_mesoderm_anlage_broad
FBgn0024250	brk	VT58194	3	stg9_10	brain_anlage_broad
FBgn0024250	brk	VT58194	3	stg9_10	ventral_nerve_cord_anlage_broad
FBgn0024250	brk	VT58194	3	stg11_12	brain_primordium_broad
FBgn0024250	brk	VT58194	3	stg11_12	ventral_nerve_cord_primordium_broad
FBgn0024250	brk	VT58194	3	stg13_14	brain_broad
FBgn0024250	brk	VT58194	3	stg13_14	ventral_nerve_cord_broad
FBgn0024250	brk	VT58194	3	stg15_16	NA
FBgn0024250	brk	VT58195	3	stg4_6	NA
FBgn0024250	brk	VT58195	3	stg7_8	NA
FBgn0024250	brk	VT58195	3	stg9_10	tracheal_system_anlage
FBgn0024250	brk	VT58195	3	stg11_12	tracheal_system_primordium_broad
FBgn0024250	brk	VT58195	3	stg13_14	midgut_subset
FBgn0024250	brk	VT58195	3	stg13_14	tracheal_system_subset
FBgn0024250	brk	VT58195	3	stg15_16	midgut_chamber
FBgn0024250	brk	VT58197	3	stg4_6	NA
FBgn0024250	brk	VT58197	3	stg7_8	NA
FBgn0024250	brk	VT58197	3	stg9_10	NA
FBgn0024250	brk	VT58197	3	stg11_12	brain_primordium_subset
FBgn0024250	brk	VT58197	3	stg11_12	ventral_nerve_cord_primordium_subset
FBgn0024250	brk	VT58197	3	stg13_14	NA
FBgn0024250	brk	VT58197	3	stg15_16	NA
FBgn0024250	brk	VT58198	3	stg4_6	NA
FBgn0024250	brk	VT58198	3	stg7_8	NA
FBgn0024250	brk	VT58198	3	stg9_10	trunk_mesoderm_anlage
FBgn0024250	brk	VT58198	3	stg11_12	posterior_midgut_primordium
FBgn0024250	brk	VT58198	3	stg11_12	salivary_gland_primordium
FBgn0024250	brk	VT58198	3	stg11_12	trunk_mesoderm_primordium
FBgn0024250	brk	VT58198	3	stg13_14	ubiquitous
FBgn0024250	brk	VT58198	3	stg13_14	salivary_gland
FBgn0024250	brk	VT58198	3	stg13_14	midgut_subset
FBgn0024250	brk	VT58198	3	stg15_16	ubiquitous
FBgn0024250	brk	VT58198	3	stg15_16	salivary_gland
FBgn0024250	brk	VT58200	3	stg4_6	NA
FBgn0024250	brk	VT58200	3	stg7_8	NA
FBgn0024250	brk	VT58200	3	stg9_10	NA
FBgn0024250	brk	VT58200	3	stg11_12	ventral_epidermis_primordium_broad
FBgn0024250	brk	VT58200	3	stg11_12	anterior_midgut_primordium
FBgn0024250	brk	VT58200	3	stg11_12	posterior_midgut_primordium
FBgn0024250	brk	VT58200	3	stg13_14	amnioserosa
FBgn0024250	brk	VT58200	3	stg13_14	midgut_broad
FBgn0024250	brk	VT58200	3	stg13_14	trunk_epidermis_subset
FBgn0024250	brk	VT58200	3	stg13_14	foregut
FBgn0024250	brk	VT58200	3	stg13_14	crystal_cell
FBgn0024250	brk	VT58200	3	stg15_16	midgut_broad
FBgn0024250	brk	VT58200	3	stg15_16	crystal_cell
FBgn0015609	CadN	VT9076	4	stg4_6	trunk_mesoderm_AISN_broad
FBgn0015609	CadN	VT9076	4	stg7_8	trunk_mesoderm_anlage_broad
FBgn0015609	CadN	VT9076	4	stg9_10	NA
FBgn0015609	CadN	VT9076	4	stg11_12	NA
FBgn0015609	CadN	VT9076	4	stg13_14	lymph_gland
FBgn0015609	CadN	VT9076	4	stg15_16	telson_subset
FBgn0015609	CadN	VT9076	4	stg15_16	lymph_gland
FBgn0015609	CadN	VT9081	4	stg4_6	mesoderm_AISN
FBgn0015609	CadN	VT9081	4	stg7_8	head_mesoderm_anlage
FBgn0015609	CadN	VT9081	4	stg7_8	trunk_mesoderm_anlage_broad
FBgn0015609	CadN	VT9081	4	stg9_10	head_mesoderm_anlage
FBgn0015609	CadN	VT9081	4	stg9_10	trunk_mesoderm_anlage
FBgn0015609	CadN	VT9081	4	stg11_12	NA
FBgn0015609	CadN	VT9081	4	stg13_14	NA
FBgn0015609	CadN	VT9081	4	stg15_16	NA
FBgn0015609	CadN	VT9084	4	stg4_6	trunk_mesoderm_AISN_broad
FBgn0015609	CadN	VT9084	4	stg7_8	trunk_mesoderm_anlage_broad
FBgn0015609	CadN	VT9084	4	stg9_10	ventral_nerve_cord_anlage_subset
FBgn0015609	CadN	VT9084	4	stg11_12	head_subset
