K27ac	geneID	K27ac_PC1	K27ac_PC2
Region8	FBgn0002931	-3.82584196534247	4.25385778455043
Region48	FBgn0031270	0.426760177395102	-2.46171428488547
Region81	FBgn0002543	-0.127608825228708	-1.02197359162072
Region82	FBgn0002543	1.63503393067808	-0.507378603273555
Region83	FBgn0002543	0.337542314999286	-0.441229272088405
Region126	FBgn0031398	1.07277059441882	1.88695873520776
Region127	FBgn0031398	0.136955488358173	-0.0495989909368793
Region188	FBgn0261560	1.35710321596112	1.79417685813088
Region189	FBgn0261560	1.45193983168057	4.57084500859567
Region190	FBgn0261560	1.35530644831537	3.75198513976787
Region200	FBgn0000547	0.374714309885642	3.32522440088403
Region201	FBgn0000547	-0.0392353997682481	0.481367597124557
Region252	FBgn0031645	-3.46136943611941	-1.05105228988703
Region253	FBgn0031645	-2.4070055323148	-0.795672903983703
Region299	FBgn0031738	-0.00238304409239031	1.29616226199139
Region300	FBgn0031738	-0.126994578062655	1.47844700415045
Region341	FBgn0031851	-0.127209039564846	-0.132571603703825
Region422	FBgn0003502	0.974603179862833	1.3784493095195
Region423	FBgn0003502	-0.0027350934765271	2.8226056784743
Region424	FBgn0003502	0.481716085047203	2.81741513290469
Region425	FBgn0003502	1.03658284490002	0.410894599237671
Region426	FBgn0003502	1.22755070430141	1.12740358266214
Region443	FBgn0262029	0.782823508672741	-0.627830403694839
Region444	FBgn0262029	2.28051415930255	1.34137672746208
Region457	FBgn0029123	3.60984211505577	-3.3307824209027
Region557	FBgn0032221	-0.165102565785818	0.908733188030699
Region558	FBgn0032221	-0.63541834061054	1.40880753791115
Region594	FBgn0051721	3.33080442349097	-2.32058475193711
Region615	FBgn0000146	0.127746103061414	0.488257827497183
Region669	FBgn0085424	0.107257249657463	-0.795276036813772
Region670	FBgn0085424	0.359550144087823	-1.14682683745038
Region671	FBgn0004394	0.707297513593492	-1.29629517747945
Region709	FBgn0023407	0.307689210973911	0.0310257702899817
Region719	FBgn0028509	0.763022342805143	-0.293266626779911
Region720	FBgn0028509	-0.662794539646448	0.396520945674475
Region721	FBgn0028509	0.179696349049507	0.113171628935636
Region722	FBgn0012037	-1.43089318068441	0.963416974855179
Region749	FBgn0003448	-5.72319744694379	-5.2379175722203
Region831	FBgn0032682	0.932554670316175	0.623227591154287
Region832	FBgn0032682	3.8058756273744	1.71089457333491
Region839	FBgn0032693	-6.120945409637	-5.845672920963
Region851	FBgn0003896	1.22952118637564	4.3697284780077
Region931	FBgn0051687	-0.904670715385057	0.45087502152324
Region932	FBgn0051687	-0.557246662386343	1.04731705171299
Region984	FBgn0032955	-0.518806083669776	-0.294822576754127
Region985	FBgn0032955	-1.12564686819252	0.390472477080993
Region987	FBgn0032955	-0.654968538428143	-0.0174093413967427
Region1055	FBgn0039993	2.24931463197472	-0.158121768026863
Region1056	FBgn0039993	1.85226090987345	0.324636157889708
Region1095	FBgn0039994	1.68511345725744	-1.820662688132
Region1096	FBgn0039994	0.820994446726408	-1.22988544594717
Region1336	FBgn0033453	0.160890351524082	0.0392286333202944
Region1337	FBgn0033453	0.984447233619736	-0.704849060032101
Region1341	FBgn0033458	-1.34246613333785	0.391888946698542
Region1346	FBgn0011656	-3.92718480043457	-1.92638864176028
Region1349	FBgn0011656	-2.89349895168553	-0.0155799122370037
Region1357	FBgn0262169	0.209925649029257	-0.169036596522569
Region1362	FBgn0033483	1.24220115496539	5.14539431067819
Region1363	FBgn0033483	0.478412579583289	4.5022879083515
Region1364	FBgn0033483	0.390189703987334	4.9625708639688
Region1389	FBgn0263102	-0.733138089462168	0.42054103630303
Region1392	FBgn0263102	-2.78825624134527	3.31138097680753
Region1393	FBgn0263102	-0.457907032167436	2.08926795203202
Region1420	FBgn0003396	-0.9782203665465	1.30306473542149
Region1451	FBgn0033638	-3.04477254694382	0.126705754271544
Region1454	FBgn0033638	0.24283706494016	0.81749962045835
Region1459	FBgn0033652	3.51008304252295	-3.17915257199191
Region1505	FBgn0010238	0.93356285892028	1.56124346599544
Region1506	FBgn0010238	4.0464618243664	4.59379895482483
Region1527	FBgn0003326	2.20992348708825	-0.798589743954151
Region1528	FBgn0003326	1.9991965830306	-2.14589615745272
Region1537	FBgn0004512	-2.77482597031909	-1.5674609945509
Region1538	FBgn0004512	-3.15510260995077	-2.75791412667594
Region1581	FBgn0033856	-0.885523274962924	-0.233594911017432
Region1727	FBgn0034075	-0.320001893872279	0.0233303361638222
Region1728	FBgn0034075	-3.3104482138361	-2.11927100008677
Region1732	FBgn0034083	0.104621791310977	-1.19298285944893
Region1733	FBgn0034083	0.720053104122424	0.357004108354132
Region1734	FBgn0034083	-0.0259485610996103	-0.944222454310999
Region1792	FBgn0034224	0.000423184986511073	-0.874644224220545
Region1825	FBgn0259211	0.638866862916343	1.32822144954886
Region1826	FBgn0259211	1.83293357482037	2.70815094180269
Region1930	FBgn0034479	1.61070862622914	-1.00363737865048
Region1974	FBgn0034590	1.35290176028493	1.58089588174231
