experiment	dir4	bamFiles
Eisen_ChIP_seq_mapped	SRR1505699	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505699.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1508419	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508419.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505736	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505736.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505738	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505738.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505702	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505702.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505710	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505710.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505714	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505714.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505723	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505723.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505732	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505732.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505701	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505701.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1508420	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508420.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505734	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505734.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505727	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505727.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505729	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505729.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505740	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505740.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505704	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505704.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505720	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505720.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505698	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505698.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505708	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505708.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505703	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505703.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505706	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505706.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505711	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505711.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505735	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505735.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505718	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505718.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505728	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505728.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1508426	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508426.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505725	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505725.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505731	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505731.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1508421	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508421.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505700	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505700.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505715	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505715.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505716	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505716.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1508424	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508424.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505739	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505739.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505730	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505730.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505724	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505724.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505733	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505733.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505705	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505705.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1508425	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508425.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505709	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505709.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505726	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505726.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505737	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505737.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505713	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505713.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505722	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505722.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1508423	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508423.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505712	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505712.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505707	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505707.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505719	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505719.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505721	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505721.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1505717	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505717.dm6.bowtie2.sorted.bam
Eisen_ChIP_seq_mapped	SRR1508422	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1508422.dm6.bowtie2.sorted.bam
