SampleInfo	Antibody	Assaytype	Nuclearcycle	Genotyope	SRRid	bamFiles
H4K5ac ChIP-seq cycle 8	H4K5ac	ChIP-seq	8	wt	SRR1505698	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505698.dm6.bowtie2.sorted.bam
H4K5ac ChIP-seq cycle 12	H4K5ac	ChIP-seq	12	wt	SRR1505699	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505699.dm6.bowtie2.sorted.bam
H4K5ac ChIP-seq cycle 14a	H4K5ac	ChIP-seq	14a	wt	SRR1505700	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505700.dm6.bowtie2.sorted.bam
H4K5ac ChIP-seq cycle 14c	H4K5ac	ChIP-seq	14c	wt	SRR1505701	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505701.dm6.bowtie2.sorted.bam
H4K8ac ChIP-seq cycle 8	H4K8ac	ChIP-seq	8	wt	SRR1505702	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505702.dm6.bowtie2.sorted.bam
H4K8ac ChIP-seq cycle 12	H4K8ac	ChIP-seq	12	wt	SRR1505703	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505703.dm6.bowtie2.sorted.bam
H4K8ac ChIP-seq cycle 14a	H4K8ac	ChIP-seq	14a	wt	SRR1505704	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505704.dm6.bowtie2.sorted.bam
H4K8ac ChIP-seq cycle 14c	H4K8ac	ChIP-seq	14c	wt	SRR1505705	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505705.dm6.bowtie2.sorted.bam
H3K18ac ChIP-seq cycle 8	H3K18ac	ChIP-seq	8	wt	SRR1505706	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505706.dm6.bowtie2.sorted.bam
H3K18ac ChIP-seq cycle 12	H3K18ac	ChIP-seq	12	wt	SRR1505707	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505707.dm6.bowtie2.sorted.bam
H3K18ac ChIP-seq cycle 14a	H3K18ac	ChIP-seq	14a	wt	SRR1505708	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505708.dm6.bowtie2.sorted.bam
H3K18ac ChIP-seq cycle 14c	H3K18ac	ChIP-seq	14c	wt	SRR1505709	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505709.dm6.bowtie2.sorted.bam
H3K27ac ChIP-seq cycle 8	H3K27ac	ChIP-seq	8	wt	SRR1505710	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505710.dm6.bowtie2.sorted.bam
H3K27ac ChIP-seq cycle 12	H3K27ac	ChIP-seq	12	wt	SRR1505712	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505712.dm6.bowtie2.sorted.bam
H3K27ac ChIP-seq cycle 14a	H3K27ac	ChIP-seq	14a	wt	SRR1505713	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505713.dm6.bowtie2.sorted.bam
H3K27ac ChIP-seq cycle 14c	H3K27ac	ChIP-seq	14c	wt	SRR1505714	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505714.dm6.bowtie2.sorted.bam
H3K4me1 ChIP-seq cycle 8	H3K4me1	ChIP-seq	8	wt	SRR1505715	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505715.dm6.bowtie2.sorted.bam
H3K4me1 ChIP-seq cycle 12	H3K4me1	ChIP-seq	12	wt	SRR1505716	./Eisen_ChIP_seq_mapped/bam_dm6/SRR1505716.dm6.bowtie2.sorted.bam
