geneName	factor	direction	annotation	Factor	Direction
zen	Time	Down	Literature & Roshan & This	Gd7	Up
cv-2	Gd7	Up	Roshan & This	Gd7	Up
dpp	Gd7	Up	Literature & Roshan & This	Gd7	Up
pnr	Gd7	Up	Literature & Roshan & This	Gd7	Up
sna	Gd7	Down	Literature & Roshan & This	Toll10b	Up
tup	Gd7	Up	Literature & Roshan & This	Gd7	Up
ush	Gd7	Up	Literature & Roshan & This	Gd7	Up
C15	Gd7	Up	Literature & Roshan & This	Gd7	Up
gcm	Gd7	Down	Literature & Roshan & This	Toll10b	Up
Doc1	Gd7	Up	Literature & Roshan & This	Gd7	Up
CG14204	Gd7	Up	Roshan & This	Gd7	Up
egr	Gd7	Up	Literature & Roshan & This	Gd7	Up
CG12011	Gd7	Up	Literature & This	Gd7	Up
Doc3	Gd7	Up	Literature & Roshan & This	Gd7	Up
Doc2	Gd7	Up	Roshan & This	Gd7	Up
CG13653	Gd7	Up	Roshan & This	Gd7	Up
tld	Toll10b	Down	Literature & Roshan & This	Gd7	Up
twi	Toll10b	Up	Literature & Roshan & This	Toll10b	Up
tin	Toll10b	Up	Literature & Roshan & This	Toll10b	Up
zfh1	Toll10b	Up	Literature & Roshan & This	Toll10b	Up
htl	Toll10b	Up	Literature & Roshan & This	Toll10b	Up
Mef2	Toll10b	Up	Literature & Roshan & This	Toll10b	Up
CadN	Toll10b	Up	Roshan & This	Toll10b	Up
CG12177	Toll10b	Up	Literature & This	Toll10b	Up
Cyp310a1	Toll10b	Up	Literature & Roshan & This	Toll10b	Up
Mes2	Toll10b	Up	Literature & Roshan & This	Toll10b	Up
lmd	Toll10b	Up	This	Toll10b	Up
meso18E	Toll10b	Up	This	Toll10b	Up
Ance	Toll9	Down	Literature & Roshan & This	Gd7	Up
ind	Toll9	Up	Literature & Roshan & This	Toll9	Up
SoxN	Toll9	Up	Literature & Roshan & This	Toll9	Up
CG13334	Toll9	Up	Roshan & This	Toll9	Up
Meltrin	Toll9	Up	Literature & Roshan & This	Toll9	Up
Pka-C3	Toll10b	Up	Roshan	Toll10b	Up
ImpE2	Toll10b	Up	Roshan	Toll10b	Up
ry	Toll10b	Up	Literature & Roshan	Toll10b	Up
sty	Toll10b	Up	Roshan	Toll10b	Up
CG3036	Toll10b	Up	Roshan	Toll10b	Up
ths	Toll9	Up	Literature & Roshan	Toll9	Up
