SRRid	bamFiles	SampleInfo	Genotype	Nuclearcycle	Time	Replicate
SRR3727933	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727933.dm6.bowtie2.sorted.bam	WT_15121502_NC11_03_rep1	WT	NC11	03	rep1
SRR3727955	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727955.dm6.bowtie2.sorted.bam	WT_15042205_NC13_03_rep1	WT	NC13	03	rep1
SRR3727944	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727944.dm6.bowtie2.sorted.bam	WT_15042302_NC12_03_rep3	WT	NC12	03	rep3
SRR3727972	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727972.dm6.bowtie2.sorted.bam	WT_15042802_NC13_18_rep3	WT	NC13	18	rep3
SRR3727947	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727947.dm6.bowtie2.sorted.bam	WT_15042405_NC12_06_rep3	WT	NC12	06	rep3
SRR3727942	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727942.dm6.bowtie2.sorted.bam	WT_15042106_NC12_03_rep1	WT	NC12	03	rep1
SRR3727957	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727957.dm6.bowtie2.sorted.bam	WT_15042804_NC13_03_rep3	WT	NC13	03	rep3
SRR3727940	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727940.dm6.bowtie2.sorted.bam	WT_15121604_NC11_09_rep2	WT	NC11	09	rep2
SRR3727971	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727971.dm6.bowtie2.sorted.bam	WT_15042404_NC13_18_rep2	WT	NC13	18	rep2
SRR3727964	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727964.dm6.bowtie2.sorted.bam	WT_15042204_NC13_12_rep1	WT	NC13	12	rep1
SRR3727949	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727949.dm6.bowtie2.sorted.bam	WT_15042303_NC12_09_rep2	WT	NC12	09	rep2
SRR3727956	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727956.dm6.bowtie2.sorted.bam	WT_15042306_NC13_03_rep2	WT	NC13	03	rep2
SRR3727938	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727938.dm6.bowtie2.sorted.bam	WT_15121801_NC11_06_rep3	WT	NC11	06	rep3
SRR3727968	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727968.dm6.bowtie2.sorted.bam	WT_15042403_NC13_15_rep2	WT	NC13	15	rep2
SRR3727934	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727934.dm6.bowtie2.sorted.bam	WT_15121602_NC11_03_rep2	WT	NC11	03	rep2
SRR3727952	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727952.dm6.bowtie2.sorted.bam	WT_15042304_NC12_12_rep2	WT	NC12	12	rep2
SRR3727953	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727953.dm6.bowtie2.sorted.bam	WT_15042702_NC12_12_rep3	WT	NC12	12	rep3
SRR3727969	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727969.dm6.bowtie2.sorted.bam	WT_15042806_NC13_15_rep3	WT	NC13	15	rep3
SRR3727951	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727951.dm6.bowtie2.sorted.bam	WT_15042104_NC12_12_rep1	WT	NC12	12	rep1
SRR3727935	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727935.dm6.bowtie2.sorted.bam	WT_15121802_NC11_03_rep3	WT	NC11	03	rep3
SRR3727966	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727966.dm6.bowtie2.sorted.bam	WT_15042902_NC13_12_rep3	WT	NC13	12	rep3
SRR3727960	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727960.dm6.bowtie2.sorted.bam	WT_15042704_NC13_06_rep3	WT	NC13	06	rep3
SRR3727965	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727965.dm6.bowtie2.sorted.bam	WT_15042305_NC13_12_rep2	WT	NC13	12	rep2
SRR3727948	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727948.dm6.bowtie2.sorted.bam	WT_15042107_NC12_09_rep1	WT	NC12	09	rep1
SRR3727970	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727970.dm6.bowtie2.sorted.bam	WT_15042201_NC13_18_rep1	WT	NC13	18	rep1
SRR3727961	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727961.dm6.bowtie2.sorted.bam	WT_15042307_NC13_09_rep1	WT	NC13	09	rep1
SRR3727950	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727950.dm6.bowtie2.sorted.bam	WT_15042701_NC12_09_rep3	WT	NC12	09	rep3
SRR3727963	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727963.dm6.bowtie2.sorted.bam	WT_15042805_NC13_09_rep3	WT	NC13	09	rep3
SRR3727937	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727937.dm6.bowtie2.sorted.bam	WT_15121603_NC11_06_rep2	WT	NC11	06	rep2
SRR3727936	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727936.dm6.bowtie2.sorted.bam	WT_15121504_NC11_06_rep1	WT	NC11	06	rep1
SRR3727954	./Wieschaus_ATAC_seq_mapped_dm6/bam_dm6/SRR3727954.dm6.bowtie2.sorted.bam	WT_15042803_NC12_12_rep4	WT	NC12	12	rep4
