Geneid	K27ac_Geneid
Region4	Region1
Region4	Region2
Region5	Region3
Region5	Region4
Region7	Region5
Region7	Region6
Region19	Region7
Region24	Region8
Region25	Region9
Region26	Region10
Region28	Region11
Region28	Region12
Region30	Region13
Region40	Region14
Region49	Region15
Region54	Region16
Region55	Region17
Region56	Region18
Region56	Region19
Region56	Region20
Region58	Region21
Region58	Region22
Region58	Region23
Region58	Region24
Region64	Region25
Region64	Region26
Region65	Region27
Region65	Region28
Region65	Region29
Region66	Region30
Region66	Region31
Region66	Region32
Region66	Region33
Region84	Region34
Region88	Region35
Region90	Region36
Region90	Region37
Region93	Region38
Region97	Region39
Region99	Region40
Region99	Region41
Region116	Region42
Region117	Region43
Region117	Region44
Region123	Region45
Region123	Region46
Region125	Region47
Region137	Region48
Region175	Region49
Region177	Region50
Region178	Region51
Region178	Region52
Region178	Region53
Region184	Region54
Region185	Region54
Region185	Region55
Region185	Region56
Region188	Region57
Region188	Region58
Region212	Region59
Region212	Region60
Region212	Region61
Region212	Region62
Region213	Region63
Region213	Region64
Region214	Region65
Region219	Region66
Region219	Region67
Region222	Region68
Region222	Region69
Region225	Region70
Region225	Region71
Region227	Region72
Region229	Region73
Region230	Region74
Region230	Region75
Region230	Region76
Region231	Region77
Region234	Region78
Region249	Region79
Region249	Region80
Region249	Region81
Region249	Region82
Region249	Region83
Region263	Region84
Region263	Region85
Region267	Region86
Region275	Region87
Region279	Region88
Region279	Region89
Region280	Region89
Region288	Region90
Region288	Region91
Region289	Region92
Region299	Region93
Region302	Region94
Region304	Region95
Region306	Region96
Region309	Region97
Region310	Region98
Region310	Region99
Region311	Region100
Region317	Region101
Region325	Region102
Region325	Region103
Region346	Region104
Region348	Region105
Region348	Region106
Region348	Region107
Region352	Region108
Region356	Region109
Region359	Region110
Region373	Region111
Region373	Region112
Region375	Region113
Region376	Region114
Region376	Region115
Region376	Region116
Region376	Region117
Region376	Region118
Region377	Region118
Region377	Region119
Region378	Region120
Region378	Region121
Region378	Region122
Region378	Region123
Region379	Region124
Region386	Region125
Region387	Region126
Region387	Region127
Region390	Region128
Region392	Region129
Region394	Region130
Region395	Region131
Region399	Region132
Region400	Region133
Region402	Region134
Region408	Region135
Region408	Region136
Region408	Region137
Region416	Region138
Region416	Region139
Region418	Region140
Region418	Region141
Region419	Region142
Region425	Region143
Region426	Region144
Region428	Region145
Region430	Region146
Region430	Region147
Region430	Region148
Region430	Region149
Region439	Region150
Region442	Region151
Region450	Region152
Region450	Region153
Region451	Region154
Region453	Region155
Region471	Region156
Region472	Region157
Region473	Region158
Region473	Region159
Region475	Region160
Region475	Region161
Region476	Region162
Region478	Region163
Region484	Region164
Region486	Region165
Region486	Region166
Region487	Region167
Region488	Region168
Region488	Region169
Region491	Region170
Region497	Region171
Region497	Region172
Region503	Region173
Region506	Region174
Region506	Region175
Region511	Region176
Region511	Region177
Region519	Region178
Region519	Region179
Region523	Region180
Region526	Region181
Region527	Region182
Region531	Region183
Region533	Region184
Region533	Region185
Region535	Region186
Region536	Region187
Region539	Region188
Region539	Region189
Region539	Region190
Region542	Region191
Region543	Region192
Region583	Region193
Region583	Region194
Region588	Region195
Region596	Region196
Region598	Region197
Region615	Region198
Region619	Region199
Region629	Region200
Region629	Region201
Region629	Region202
Region630	Region202
Region630	Region203
Region635	Region204
Region635	Region205
Region666	Region206
Region676	Region207
Region676	Region208
Region676	Region209
Region676	Region210
Region679	Region211
