SYMBOL	PC1	PC2	PC3	distance
Act57B	0.00820057263351152	0.0365336842585792	0.0323644106098024	0.0494915604031935
l(1)sc	0.0157559616813598	0.0230544151487945	-0.0316198843443467	0.0421849910786681
sca	-0.00415023180522383	0.0126028277612983	-0.039090206863843	0.0412807456845935
Sulf1	0.00407237589725037	0.0112091545224754	-0.0366284581114881	0.0385210764930353
Letm1	-0.0197034537861618	-0.000868163166774083	-0.031531100126184	0.0371912634035872
Svil	-0.0287700675605223	-0.00976552766505674	-0.00115544975893889	0.0304042329644975
Pif1A	0.0242592158483085	-0.00511727657486026	-0.0173936509487851	0.0302858905506609
DNaseII	-0.00791997303681009	0.0128221885466472	0.0222572121257252	0.0268796946344094
Ect3	0.00748237189796067	0.024675129655483	-0.00204818779520526	0.0258658652663837
l(2)10685	-0.0219333966050351	0.0120137110771404	0.00319758265265379	0.0252116575278049
Socs36E	-0.0179451454836562	0.000694989359070092	-0.0170939112250128	0.0247934075432851
ptc	-0.0168022032230144	0.00128162180611299	-0.015148029987774	0.0226587598979264
Dscam1	-0.013683277171939	0.0104370876868893	-0.00807234797534867	0.0190086210805265
fog	0.00593863296276654	0.00582305427752585	0.0149211655095836	0.017082637464685
robo2	0.00369551659761087	-0.00410242644594406	-0.0161584351221263	0.0170757656128082
CG34383	-0.010310941820881	-0.00870633113006708	-0.00843950087413286	0.0159166861495871
ed	0.000267622844876	-0.0119674567519529	-0.00791943263553018	0.0143530155843872
Mbs	0.0106147558767116	0.00289775982109825	-0.00197215025065782	0.0111785254355896
CG30020	-0.00656863387872791	-0.00256789191723068	0.00302293032315184	0.00767327359540774
BRWD3	-0.00707510167885995	-0.000552461999214943	-0.00167922161272758	0.00729260332470065
wts	0.00386838813238503	-0.0034937249537822	-0.000420158217995115	0.00522944296494441
loco	-0.00203356976926377	0.00169492570276087	-0.00145254750041067	0.0030196147743201
CG14411	0.000429956017972563	-0.00100655094625295	-0.00229692284117847	0.00254437841586524
