SYMBOL	PC1	PC2	PC3	distance
slam	-0.0909289462042309	0.018303081372982	-0.0140507553804362	0.0938109789540583
Neu2	-0.0536042836200761	0.0520642354482739	-0.0554866705428987	0.0930745638892336
bnk	-0.0848818769075605	0.0273945739657	-0.02495118815459	0.0926172635119296
zen	-0.083658874218424	-0.0192263295253473	0.0307101779682623	0.0911678343131703
CG7271	-0.08138595138688	0.0264954821431007	-0.0236316092182031	0.088792660796852
term	-0.0796033115314477	0.0278176887342218	-0.0214761210390719	0.0870157157539466
CG14317	-0.0800108960101505	0.0159356977969419	-0.00804930676840312	0.0819785416073892
CG14014	-0.071380186639141	0.0235477198017599	-0.0114508761887929	0.0760312351470885
CG14427	-0.0692076217168348	0.0215865810999881	-0.013563089241123	0.0737538661837434
lov	-0.05802347682767	-0.034793640895585	-0.00312301260036499	0.0677279448798214
Ac78C	-0.0643213031472324	0.0209862394360133	0.000614010187421909	0.067661135762963
retn	-0.0452821808081045	0.041045950808208	0.0272803169616843	0.0669287805806864
gdl	-0.0646320599566714	0.00648341448100539	-0.00994178596404256	0.0657128369934681
upd1	-0.0421650666436235	0.0094896095220358	-0.0487612233512622	0.065158287551574
Elba3	-0.0565974048209125	0.0194975655814466	-0.0206424461357489	0.0633208644802987
CG12420	-0.0579923081949737	-0.0174836971552588	0.0167574483646267	0.0628458395734415
CG5888	-0.0620210434955685	0.00206476907806195	0.00635659448784655	0.0623801202396071
Bsg25D	-0.0575188585884962	0.0183052679963436	-0.0136423194119564	0.0618838816549125
Bsg25A	-0.0558578403860809	0.0225864933610093	-0.0122125435330703	0.061476778010001
Sry-alpha	-0.0583376053137747	0.00732771957298019	-0.0149998387567161	0.060679212508185
CG6885	-0.0538646904874089	0.00463946210989804	-0.025743909077611	0.0598805339369134
tll	-0.0473877762915477	-0.0163199741382542	-0.0327323634095431	0.0598610934756913
scw	-0.0541155986810286	0.0233389488925901	-0.00763862096617282	0.0594268717524482
eve	-0.0571104031846897	0.00908962036570089	-0.007158291071941	0.0582705798956987
spo	-0.0545814024510302	-0.013943005011038	0.0109127748239892	0.0573814041011393
CG14561	-0.0535036109372542	0.0116233571923392	-0.015581471613776	0.0569255748622416
Ptr	-0.0499318767753961	-0.0227397226040588	-0.0116300111849829	0.0560851536735499
prd	-0.0551458842595182	0.00227889576945828	-0.0094633063051032	0.0559983578591055
geko	-0.0495388577547021	-0.0029779398945101	0.0242831143459918	0.0552506669280691
D	-0.026608886829606	0.0383114947230266	-0.0295987606851202	0.0552439147808905
CG3502	-0.0539834404891944	0.00837547132961784	-0.00246734961061614	0.0546849904557425
CG10035	-0.037022069970522	-0.0137951678326422	-0.0364768853505995	0.0537727020458687
CG9505	-0.0514076391007195	-0.00591966677355587	0.00985439094033071	0.0526772895413634
ftz	-0.0503543185241991	0.0136063577311945	-0.00155472731614462	0.0521834029340106
kni	-0.0397425567942416	0.032266369877631	-0.00866076117627214	0.0519191508961388
CG4702	-0.050309731836424	0.0113886931905113	0.00474300051828835	0.0518002654815298
phm	-0.0296388902485151	0.0369833764277392	-0.0205784040364575	0.0516691848188751
veil	-0.0450697678188951	-0.0204398258338712	-0.0105701622623557	0.0506043356010197
Blimp-1	-0.0441723876111161	0.01105579711947	-0.0220692619275563	0.0506012134166825
opa	-0.0374205657794672	0.0183656107422383	-0.0285367650625598	0.0505167433770882
