SYMBOL	PC1	PC2	PC3	distance
net	-0.0266284269545573	-0.00309980157492348	0.0952193616578882	0.0989212248529799
CG34371	0.0067265701356224	-0.0149482909828667	0.0740990565357426	0.0758905022291003
CG31098	0.021662948326055	-0.013682646728013	0.0693601780393419	0.0739414122755992
hbs	0.00617226283303408	-0.0218730507724592	0.0677958005500294	0.0715038303225358
Tl	0.0301342449037954	0.00869740056709586	0.0502495281172109	0.0592345555275703
Six4	0.00890919181746066	0.0194923812787795	0.0515507139620929	0.0558283327420687
mirr	0.0232877008329933	-0.0210615970045234	0.0430871899958442	0.0533142928322783
Ance	-0.00867194155573458	-0.0195076618012323	0.048805475272148	0.0532703093274067
eya	0.0252363707929922	-0.0123058463948427	0.0436845868228259	0.0519292922364234
CG9171	0.00599528043812768	-0.015711429227518	0.0486381939751761	0.0514632520257898
