geneID	ATACseq_geneID	factor	direction
FBgn0000395	Region3001	Gd7	Up
FBgn0000395	Region3001	Gd7	Up
FBgn0000395	Region3002	Gd7	Up
FBgn0000395	Region3002	Gd7	Up
FBgn0000490	Region254	Gd7	Up
FBgn0001148	Region3290	Gd7	Down
FBgn0001148	Region3290	Gd7	Down
FBgn0001983	Region1123	Gd7	Down
FBgn0001983	Region1125	Gd7	Down
FBgn0001983	Region1126	Gd7	Down
FBgn0001983	Region1127	Gd7	Down
FBgn0002609	Region6860	Gd7	Down
FBgn0003117	Region6075	Gd7	Up
FBgn0003396	Region2160	Gd7	Up
FBgn0003396	Region2173	Gd7	Up
FBgn0003448	Region1123	Gd7	Down
FBgn0003448	Region1125	Gd7	Down
FBgn0003448	Region1126	Gd7	Down
FBgn0003448	Region1127	Gd7	Down
FBgn0003463	Region8822	Gd7	Down
FBgn0003463	Region8822	Gd7	Down
FBgn0003463	Region8823	Gd7	Down
FBgn0003463	Region8824	Gd7	Down
FBgn0003463	Region8824	Gd7	Down
FBgn0003896	Region1313	Gd7	Up
FBgn0003896	Region1314	Gd7	Up
FBgn0003963	Region112	Gd7	Up
FBgn0004360	Region1995	Gd7	Up
FBgn0004360	Region2006	Gd7	Up
FBgn0004512	Region2327	Gd7	Down
FBgn0015773	Region8761	Gd7	Down
FBgn0015773	Region8761	Gd7	Down
FBgn0015773	Region8762	Gd7	Down
FBgn0015773	Region8762	Gd7	Down
FBgn0015773	Region8764	Gd7	Down
FBgn0023407	Region1002	Gd7	Up
FBgn0024250	Region8190	Gd7	Down
FBgn0024250	Region8190	Gd7	Down
FBgn0024250	Region8195	Gd7	Down
FBgn0024250	Region8196	Gd7	Down
FBgn0024250	Region8197	Gd7	Down
FBgn0024250	Region8197	Gd7	Down
FBgn0024250	Region8197	Gd7	Down
FBgn0029939	Region8190	Gd7	Down
FBgn0029939	Region8190	Gd7	Down
FBgn0029939	Region8195	Gd7	Down
FBgn0029939	Region8196	Gd7	Down
FBgn0029939	Region8197	Gd7	Down
FBgn0029939	Region8197	Gd7	Down
FBgn0029939	Region8197	Gd7	Down
FBgn0029943	Region8190	Gd7	Down
FBgn0029943	Region8190	Gd7	Down
FBgn0029943	Region8195	Gd7	Down
FBgn0029943	Region8196	Gd7	Down
FBgn0029943	Region8197	Gd7	Down
FBgn0029943	Region8197	Gd7	Down
FBgn0029943	Region8197	Gd7	Down
FBgn0030665	Region8822	Gd7	Down
FBgn0030665	Region8822	Gd7	Down
FBgn0030665	Region8823	Gd7	Down
FBgn0030665	Region8824	Gd7	Down
FBgn0030665	Region8824	Gd7	Down
FBgn0033483	Region2061	Gd7	Up
FBgn0033483	Region2061	Gd7	Up
FBgn0033483	Region2061	Gd7	Up
FBgn0034501	Region2916	Gd7	Up
FBgn0034501	Region2916	Gd7	Up
FBgn0035257	Region3480	Gd7	Up
FBgn0051721	Region828	Gd7	Down
FBgn0051721	Region829	Gd7	Down
FBgn0051721	Region829	Gd7	Down
FBgn0052485	Region3547	Gd7	Up
FBgn0261648	Region874	Gd7	Up
FBgn0262579	Region3845	Gd7	Up
FBgn0262579	Region3845	Gd7	Up
FBgn0262719	Region3875	Gd7	Up
FBgn0262719	Region3875	Gd7	Up
FBgn0264273	Region2622	Gd7	Up
FBgn0266801	Region5495	Gd7	Up
FBgn0266801	Region5496	Gd7	Up
FBgn0001250	Region8942	Toll10b	Up
FBgn0001250	Region8943	Toll10b	Up
FBgn0003900	Region3124	Toll10b	Up
FBgn0003900	Region3125	Toll10b	Up
FBgn0003900	Region3125	Toll10b	Up
FBgn0003900	Region3126	Toll10b	Up
FBgn0003900	Region3127	Toll10b	Up
FBgn0003900	Region3128	Toll10b	Up
FBgn0003900	Region3128	Toll10b	Up
FBgn0004110	Region6500	Toll10b	Up
FBgn0004606	Region7115	Toll10b	Up
FBgn0010389	Region6275	Toll10b	Up
FBgn0011656	Region2036	Toll10b	Up
FBgn0011656	Region2037	Toll10b	Up
FBgn0011656	Region2038	Toll10b	Up
FBgn0011656	Region2039	Toll10b	Up
FBgn0011656	Region2043	Toll10b	Up
FBgn0015609	Region1246	Toll10b	Up
FBgn0015609	Region1249	Toll10b	Up
FBgn0015609	Region1251	Toll10b	Up
FBgn0015609	Region1251	Toll10b	Up
FBgn0015609	Region1255	Toll10b	Up
FBgn0015609	Region1255	Toll10b	Up
FBgn0019650	Region7252	Toll10b	Down
FBgn0019650	Region7253	Toll10b	Down
FBgn0019650	Region7253	Toll10b	Down
FBgn0020299	Region5962	Toll10b	Up
FBgn0020299	Region5962	Toll10b	Up
FBgn0020299	Region5966	Toll10b	Up
FBgn0020299	Region5966	Toll10b	Up
FBgn0020299	Region5967	Toll10b	Up
FBgn0020299	Region5967	Toll10b	Up
FBgn0020299	Region5968	Toll10b	Up
FBgn0020299	Region5968	Toll10b	Up
FBgn0020299	Region5978	Toll10b	Up
FBgn0020299	Region5978	Toll10b	Up
FBgn0020299	Region5979	Toll10b	Up
FBgn0022740	Region2721	Toll10b	Up
FBgn0030482	Region8703	Toll10b	Up
FBgn0030510	Region8714	Toll10b	Up
FBgn0030510	Region8714	Toll10b	Up
FBgn0032682	Region1282	Toll10b	Down
FBgn0032682	Region1282	Toll10b	Down
FBgn0032693	Region1288	Toll10b	Up
FBgn0032693	Region1291	Toll10b	Up
FBgn0033458	Region2036	Toll10b	Up
FBgn0033458	Region2037	Toll10b	Up
FBgn0033458	Region2038	Toll10b	Up
FBgn0033458	Region2039	Toll10b	Up
FBgn0033458	Region2043	Toll10b	Up
FBgn0035558	Region3665	Toll10b	Up
FBgn0035558	Region3665	Toll10b	Up
FBgn0035888	Region3875	Toll10b	Up
FBgn0035888	Region3875	Toll10b	Up
FBgn0037207	Region4953	Toll10b	Up
FBgn0037207	Region4953	Toll10b	Up
FBgn0037819	Region5683	Toll10b	Up
FBgn0037819	Region5683	Toll10b	Up
FBgn0037819	Region5702	Toll10b	Up
FBgn0037819	Region5702	Toll10b	Up
FBgn0040089	Region9188	Toll10b	Up
FBgn0040089	Region9194	Toll10b	Up
FBgn0050115	Region2781	Toll10b	Up
FBgn0052475	Region3306	Toll10b	Down
FBgn0052475	Region3307	Toll10b	Down
FBgn0052475	Region3308	Toll10b	Down
FBgn0261245	Region8942	Toll10b	Up
FBgn0261245	Region8943	Toll10b	Up
FBgn0268063	Region3825	Toll10b	Up
FBgn0268063	Region3825	Toll10b	Up
FBgn0000576	Region5920	Toll9	Up
FBgn0002734	Region6860	Toll9	Up
FBgn0002931	Region59	Toll9	Down
FBgn0002931	Region60	Toll9	Down
FBgn0002931	Region61	Toll9	Down
FBgn0012037	Region1016	Toll9	Down
FBgn0025776	Region4345	Toll9	Up
FBgn0025776	Region4345	Toll9	Up
FBgn0025776	Region4350	Toll9	Up
FBgn0025776	Region4350	Toll9	Up
FBgn0025776	Region4362	Toll9	Up
FBgn0025776	Region4362	Toll9	Up
FBgn0027364	Region4800	Toll9	Down
FBgn0027930	Region5112	Toll9	Up
FBgn0027930	Region5112	Toll9	Up
FBgn0029123	Region704	Toll9	Up
FBgn0029123	Region708	Toll9	Up
FBgn0029123	Region716	Toll9	Up
FBgn0029123	Region716	Toll9	Up
FBgn0031738	Region480	Toll9	Down
FBgn0032535	Region1016	Toll9	Down
FBgn0033453	Region2036	Toll9	Up
FBgn0033453	Region2037	Toll9	Up
FBgn0033453	Region2038	Toll9	Up
FBgn0033453	Region2039	Toll9	Up
FBgn0034005	Region2534	Toll9	Down
FBgn0034005	Region2534	Toll9	Down
FBgn0039679	Region7035	Toll9	Up
FBgn0085400	Region3137	Toll9	Down
FBgn0262169	Region2043	Toll9	Up
FBgn0262169	Region2061	Toll9	Up
FBgn0262169	Region2061	Toll9	Up
FBgn0262169	Region2061	Toll9	Up
FBgn0265140	Region5962	Toll9	Up
FBgn0265140	Region5962	Toll9	Up
FBgn0265140	Region5966	Toll9	Up
FBgn0265140	Region5966	Toll9	Up
FBgn0265140	Region5967	Toll9	Up
FBgn0265140	Region5967	Toll9	Up
