Geneid	K27ac_Geneid	geneID
Region100	Region40	FBgn0003963
Region100	Region41	FBgn0003963
Region100	Region40	FBgn0003963
Region100	Region41	FBgn0003963
Region100	Region40	FBgn0003963
Region100	Region41	FBgn0003963
Region1001	Region709	FBgn0023407
Region1001	Region709	FBgn0023407
Region1001	Region709	FBgn0023407
Region1002	Region710	FBgn0023407
Region1002	Region710	FBgn0023407
Region1002	Region710	FBgn0023407
Region1007	Region717	FBgn0012037
Region1007	Region717	FBgn0032535
Region1007	Region717	FBgn0012037
Region1007	Region717	FBgn0032535
Region1007	Region717	FBgn0012037
Region1007	Region717	FBgn0032535
Region1008	Region718	FBgn0012037
Region1008	Region718	FBgn0032535
Region1008	Region718	FBgn0012037
Region1008	Region718	FBgn0032535
Region1008	Region718	FBgn0012037
Region1008	Region718	FBgn0032535
Region1009	Region719	FBgn0012037
Region1009	Region719	FBgn0032535
Region1009	Region719	FBgn0012037
Region1009	Region719	FBgn0032535
Region1009	Region719	FBgn0012037
Region1009	Region719	FBgn0032535
Region1010	Region720	FBgn0012037
Region1010	Region720	FBgn0032535
Region1010	Region721	FBgn0012037
Region1010	Region721	FBgn0032535
Region1010	Region720	FBgn0012037
Region1010	Region720	FBgn0032535
Region1010	Region721	FBgn0012037
Region1010	Region721	FBgn0032535
Region1010	Region720	FBgn0012037
Region1010	Region720	FBgn0032535
Region1010	Region721	FBgn0012037
Region1010	Region721	FBgn0032535
Region1015	Region722	FBgn0012037
Region1015	Region722	FBgn0032535
Region1015	Region722	FBgn0012037
Region1015	Region722	FBgn0032535
Region1015	Region722	FBgn0012037
Region1015	Region722	FBgn0032535
Region1016	Region722	FBgn0012037
Region1016	Region722	FBgn0032535
Region1016	Region722	FBgn0012037
Region1016	Region722	FBgn0032535
Region1016	Region722	FBgn0012037
Region1016	Region722	FBgn0032535
Region1111	Region748	FBgn0001983
Region1111	Region748	FBgn0001983
Region1111	Region748	FBgn0001983
Region112	Region42	FBgn0003963
Region112	Region42	FBgn0003963
Region112	Region42	FBgn0003963
Region1122	Region749	FBgn0001983
Region1122	Region749	FBgn0003448
Region1122	Region749	FBgn0001983
Region1122	Region749	FBgn0003448
Region1122	Region749	FBgn0001983
Region1122	Region749	FBgn0003448
Region1123	Region749	FBgn0001983
Region1123	Region749	FBgn0003448
Region1123	Region749	FBgn0001983
Region1123	Region749	FBgn0003448
Region1123	Region749	FBgn0001983
Region1123	Region749	FBgn0003448
Region1125	Region750	FBgn0001983
Region1125	Region750	FBgn0003448
Region1125	Region750	FBgn0001983
Region1125	Region750	FBgn0003448
Region1125	Region750	FBgn0001983
Region1125	Region750	FBgn0003448
Region1126	Region750	FBgn0001983
Region1126	Region750	FBgn0003448
Region1126	Region750	FBgn0001983
Region1126	Region750	FBgn0003448
Region1126	Region750	FBgn0001983
Region1126	Region750	FBgn0003448
Region1127	Region751	FBgn0001983
Region1127	Region751	FBgn0003448
Region1127	Region751	FBgn0001983
Region1127	Region751	FBgn0003448
Region1127	Region751	FBgn0001983
Region1127	Region751	FBgn0003448
Region1128	Region753	FBgn0001983
Region1128	Region753	FBgn0003448
Region1128	Region753	FBgn0001983
Region1128	Region753	FBgn0003448
Region1128	Region753	FBgn0001983
Region1128	Region753	FBgn0003448
Region1129	Region754	FBgn0001983
Region1129	Region754	FBgn0003448
Region1129	Region754	FBgn0001983
Region1129	Region754	FBgn0003448
Region1129	Region754	FBgn0001983
Region1129	Region754	FBgn0003448
Region117	Region43	FBgn0003963
Region117	Region44	FBgn0003963
Region117	Region43	FBgn0003963
Region117	Region44	FBgn0003963
Region117	Region43	FBgn0003963
Region117	Region44	FBgn0003963
Region118	Region44	FBgn0003963
Region118	Region44	FBgn0003963
Region118	Region44	FBgn0003963
Region120	Region45	FBgn0003963
Region120	Region45	FBgn0003963
Region120	Region45	FBgn0003963
Region121	Region46	FBgn0003963
Region121	Region46	FBgn0003963
Region121	Region46	FBgn0003963
Region122	Region47	FBgn0003963
Region122	Region47	FBgn0003963
Region122	Region47	FBgn0003963
Region1245	Region813	FBgn0015609
Region1245	Region813	FBgn0015609
Region1245	Region813	FBgn0015609
Region1246	Region813	FBgn0015609
Region1246	Region813	FBgn0015609
Region1246	Region813	FBgn0015609
Region1249	Region814	FBgn0015609
Region1249	Region814	FBgn0015609
Region1249	Region814	FBgn0015609
Region1251	Region815	FBgn0015609
Region1251	Region816	FBgn0015609
Region1251	Region815	FBgn0015609
Region1251	Region816	FBgn0015609
Region1251	Region815	FBgn0015609
Region1251	Region816	FBgn0015609
Region1255	Region817	FBgn0015609
Region1255	Region818	FBgn0015609
Region1255	Region817	FBgn0015609
Region1255	Region818	FBgn0015609
Region1255	Region817	FBgn0015609
Region1255	Region818	FBgn0015609
Region1276	Region828	FBgn0032682
Region1276	Region828	FBgn0032682
Region1276	Region828	FBgn0032682
Region1278	Region829	FBgn0032682
Region1278	Region829	FBgn0032682
Region1278	Region829	FBgn0032682
Region1279	Region830	FBgn0032682
Region1279	Region830	FBgn0032682
Region1279	Region830	FBgn0032682
Region1280	Region831	FBgn0032682
Region1280	Region831	FBgn0032682
Region1280	Region831	FBgn0032682
Region1281	Region832	FBgn0032682
Region1281	Region832	FBgn0032682
Region1281	Region832	FBgn0032682
Region1282	Region832	FBgn0032682
Region1282	Region833	FBgn0032682
Region1282	Region832	FBgn0032682
Region1282	Region833	FBgn0032682
Region1282	Region832	FBgn0032682
Region1282	Region833	FBgn0032682
Region1283	Region834	FBgn0032693
Region1283	Region835	FBgn0032693
Region1283	Region834	FBgn0032693
Region1283	Region835	FBgn0032693
Region1283	Region834	FBgn0032693
Region1283	Region835	FBgn0032693
Region1287	Region836	FBgn0032693
Region1287	Region836	FBgn0032693
Region1287	Region836	FBgn0032693
Region1288	Region838	FBgn0032693
Region1288	Region838	FBgn0032693
Region1288	Region838	FBgn0032693
Region1291	Region839	FBgn0032693
Region1291	Region839	FBgn0032693
Region1291	Region839	FBgn0032693
Region1293	Region841	FBgn0032693
Region1293	Region841	FBgn0032693
Region1293	Region841	FBgn0032693
Region1294	Region841	FBgn0032693
Region1294	Region841	FBgn0032693
Region1294	Region841	FBgn0032693
Region1295	Region842	FBgn0032693
Region1295	Region842	FBgn0032693
Region1295	Region842	FBgn0032693
Region1296	Region844	FBgn0032693
Region1296	Region845	FBgn0032693
Region1296	Region844	FBgn0032693
Region1296	Region845	FBgn0032693
Region1296	Region844	FBgn0032693
Region1296	Region845	FBgn0032693
Region1297	Region847	FBgn0032693
Region1297	Region847	FBgn0032693
Region1297	Region847	FBgn0032693
Region1306	Region848	FBgn0003896
Region1306	Region848	FBgn0003896
Region1306	Region848	FBgn0003896
Region1307	Region849	FBgn0003896
Region1307	Region849	FBgn0003896
Region1307	Region849	FBgn0003896
Region1309	Region850	FBgn0003896
Region1309	Region850	FBgn0003896
Region1309	Region850	FBgn0003896
Region1312	Region851	FBgn0003896
Region1312	Region851	FBgn0003896
Region1312	Region851	FBgn0003896
Region1313	Region852	FBgn0003896
Region1313	Region852	FBgn0003896
Region1313	Region852	FBgn0003896
Region1314	Region853	FBgn0003896
Region1314	Region853	FBgn0003896
Region1314	Region853	FBgn0003896
Region1321	Region855	FBgn0003896
Region1321	Region855	FBgn0003896
Region1321	Region855	FBgn0003896
Region1322	Region856	FBgn0003896
Region1322	Region856	FBgn0003896
Region1322	Region856	FBgn0003896
Region166	Region79	FBgn0002543
Region166	Region79	FBgn0002543
Region166	Region79	FBgn0002543
Region167	Region80	FBgn0002543
Region167	Region80	FBgn0002543
Region167	Region80	FBgn0002543
Region168	Region80	FBgn0002543
Region168	Region81	FBgn0002543
Region168	Region80	FBgn0002543
Region168	Region81	FBgn0002543
Region168	Region80	FBgn0002543
Region168	Region81	FBgn0002543
Region169	Region81	FBgn0002543
Region169	Region81	FBgn0002543
Region169	Region81	FBgn0002543
Region170	Region81	FBgn0002543
Region170	Region82	FBgn0002543
Region170	Region81	FBgn0002543
Region170	Region82	FBgn0002543
Region170	Region81	FBgn0002543
Region170	Region82	FBgn0002543
Region1701	Region1094	FBgn0039994
Region1701	Region1094	FBgn0039994
Region1701	Region1094	FBgn0039994
Region1703	Region1099	FBgn0039994
Region1703	Region1100	FBgn0039994
Region1703	Region1099	FBgn0039994
Region1703	Region1100	FBgn0039994
Region1703	Region1099	FBgn0039994
Region1703	Region1100	FBgn0039994
Region171	Region82	FBgn0002543
Region171	Region83	FBgn0002543
Region171	Region82	FBgn0002543
Region171	Region83	FBgn0002543
Region171	Region82	FBgn0002543
Region171	Region83	FBgn0002543
Region177	Region84	FBgn0002543
Region177	Region84	FBgn0002543
Region177	Region84	FBgn0002543
Region178	Region84	FBgn0002543
Region178	Region85	FBgn0002543
Region178	Region84	FBgn0002543
Region178	Region85	FBgn0002543
Region178	Region84	FBgn0002543
Region178	Region85	FBgn0002543
Region181	Region87	FBgn0002543
Region181	Region87	FBgn0002543
Region181	Region87	FBgn0002543
Region185	Region88	FBgn0002543
Region185	Region88	FBgn0002543
Region185	Region88	FBgn0002543
Region186	Region88	FBgn0002543
Region186	Region89	FBgn0002543
Region186	Region88	FBgn0002543
Region186	Region89	FBgn0002543
Region186	Region88	FBgn0002543
Region186	Region89	FBgn0002543
Region1938	Region1280	FBgn0024189
Region1938	Region1281	FBgn0024189
Region1938	Region1280	FBgn0024189
Region1938	Region1281	FBgn0024189
Region1938	Region1280	FBgn0024189
Region1938	Region1281	FBgn0024189
Region1939	Region1282	FBgn0024189
Region1939	Region1282	FBgn0024189
Region1939	Region1282	FBgn0024189
Region1946	Region1284	FBgn0024189
Region1946	Region1284	FBgn0024189
Region1946	Region1284	FBgn0024189
Region1947	Region1284	FBgn0024189
Region1947	Region1284	FBgn0024189
Region1947	Region1284	FBgn0024189
Region1948	Region1285	FBgn0024189
Region1948	Region1286	FBgn0024189
Region1948	Region1285	FBgn0024189
Region1948	Region1286	FBgn0024189
Region1948	Region1285	FBgn0024189
Region1948	Region1286	FBgn0024189
Region1949	Region1285	FBgn0024189
Region1949	Region1286	FBgn0024189
Region1949	Region1285	FBgn0024189
Region1949	Region1286	FBgn0024189
Region1949	Region1285	FBgn0024189
Region1949	Region1286	FBgn0024189
Region1950	Region1287	FBgn0024189
Region1950	Region1288	FBgn0024189
Region1950	Region1287	FBgn0024189
Region1950	Region1288	FBgn0024189
Region1950	Region1287	FBgn0024189
Region1950	Region1288	FBgn0024189
Region1951	Region1288	FBgn0024189
Region1951	Region1288	FBgn0024189
Region1951	Region1288	FBgn0024189
Region1952	Region1289	FBgn0024189
Region1952	Region1289	FBgn0024189
Region1952	Region1289	FBgn0024189
Region1953	Region1290	FBgn0024189
Region1953	Region1290	FBgn0024189
Region1953	Region1290	FBgn0024189
Region1954	Region1291	FBgn0024189
Region1954	Region1291	FBgn0024189
Region1954	Region1291	FBgn0024189
Region1955	Region1293	FBgn0024189
Region1955	Region1293	FBgn0024189
Region1955	Region1293	FBgn0024189
Region1956	Region1294	FBgn0024189
Region1956	Region1295	FBgn0024189
Region1956	Region1294	FBgn0024189
Region1956	Region1295	FBgn0024189
Region1956	Region1294	FBgn0024189
Region1956	Region1295	FBgn0024189
Region1957	Region1295	FBgn0024189
Region1957	Region1295	FBgn0024189
Region1957	Region1295	FBgn0024189
Region1966	Region1296	FBgn0033391
Region1966	Region1296	FBgn0033391
Region1966	Region1296	FBgn0033391
