Toll10B_3h_1	Toll10B_3h_2	Toll10B_3h_3	Toll10B_4h_1	Toll10B_4h_2	Toll10B_4h_3	Toll10B_5h_1	Toll10B_5h_2	Toll10B_5h_3	Toll9/10_3h_1	Toll9/10_3h_2	Toll9/10_3h_3	Toll9/10_4h_1	Toll9/10_4h_2	Toll9/10_4h_3	Toll9/10_5h_1	Toll9/10_5h_2	Toll9/10_5h_3	gd7_3h_1	gd7_3h_2	gd7_3h_3	gd7_4h_1	gd7_4h_2	gd7_4h_3	gd7_5h_1	gd7_5h_2	gd7_5h_3
Region53	20115	19851	17023	32508	25550	27313	30049	20876	25252	14729	11745	9603	22173	27933	29426	26363	30047	28876	16444	14804	13154	21925	23474	19640	24057	21602	23530
Region54	3902	2717	2148	5602	6112	5174	6480	4232	4942	2317	2303	2189	3814	3676	4511	4268	5581	4903	2332	2061	1527	2367	2573	2477	3232	2595	3439
Region55	2821	2150	1562	2287	1880	1320	1333	988	1178	2472	2522	2349	1806	2089	2389	2310	2500	2198	2830	2555	2006	2226	2442	2171	2021	1956	1749
Region56	5279	4194	2184	3019	2549	1757	1863	1337	1791	4016	3614	3453	3669	4206	5170	5119	5936	5115	4764	4055	3465	4589	4860	4266	4544	4648	3415
Region57	2282	1674	1379	2647	2251	1834	2497	1752	1741	1748	1747	1588	1785	1843	1811	1808	1945	1843	2906	2537	1871	2465	2891	2417	2857	2479	2600
Region58	5723	4256	3038	8108	9460	6282	8263	5355	5695	3650	4181	3875	5687	6239	6622	7403	8585	7965	5618	5134	3530	5869	7020	6096	7053	6130	6545
Region59	1409	1042	628	631	511	404	343	346	270	737	754	578	630	592	704	633	750	620	2653	2396	2050	1646	1965	1636	1323	1447	746
Region60	2196	1658	1352	2474	1376	1069	1625	952	939	559	394	316	411	403	398	347	398	357	1051	934	865	597	724	627	441	651	240
Region61	4962	3588	2584	3450	2846	1923	2414	1675	1802	3338	3194	2942	2042	2073	2420	2157	2253	1809	6076	5275	3965	4033	5012	4563	2630	3300	1785
Region62	2176	1706	1207	2430	2571	1961	2296	1545	1784	1578	1569	1483	1994	1962	2104	2385	2589	2212	2335	2114	1589	2241	2549	2243	2678	2414	2378
Region63	3537	2839	1937	4743	6250	3694	4903	3188	3522	2503	2388	2354	3596	3730	4020	4273	4956	4274	3710	3159	2246	3419	3994	3463	4398	3790	3947
Region64	1641	1161	756	1335	1134	897	985	694	910	1072	955	1031	1207	1189	1190	1256	1137	1244	1693	1371	1123	1159	1334	1209	939	1296	792
Region65	3811	2890	2102	4461	4654	4074	4784	3077	3852	2855	2758	2894	4164	4004	4523	4464	5319	4719	3952	3359	2504	3405	4061	3710	4324	3850	4177
Region66	3706	2721	1720	4333	5483	3856	4774	3182	3390	2712	2711	2678	4112	3979	4512	5030	6057	5316	3457	3083	2217	3560	3865	3718	4192	3236	4563
