SampleInfo	Antibody	Assaytype	Nuclearcycle	Genotype	seqID	bamFiles	Time	Treatment	Replicate	Experiment	bamFiles2
Toll10B_3h_1	NA	ATAC-Seq	Mutant	Toll10b	P13169_1001_S53	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1001_S53.dmel.bowtie2.sorted.bam	3h	NA	1	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1001_S53.dmel.bowtie2.sorted.bam
Toll10B_3h_2	NA	ATAC-Seq	Mutant	Toll10b	P13169_1002_S54	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1002_S54.dmel.bowtie2.sorted.bam	3h	NA	2	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1002_S54.dmel.bowtie2.sorted.bam
Toll10B_3h_3	NA	ATAC-Seq	Mutant	Toll10b	P13169_1003_S55	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1003_S55.dmel.bowtie2.sorted.bam	3h	NA	3	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1003_S55.dmel.bowtie2.sorted.bam
Toll10B_4h_1	NA	ATAC-Seq	Mutant	Toll10b	P13169_1004_S56	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1004_S56.dmel.bowtie2.sorted.bam	4h	NA	1	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1004_S56.dmel.bowtie2.sorted.bam
Toll10B_4h_2	NA	ATAC-Seq	Mutant	Toll10b	P13169_1005_S57	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1005_S57.dmel.bowtie2.sorted.bam	4h	NA	2	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1005_S57.dmel.bowtie2.sorted.bam
Toll10B_4h_3	NA	ATAC-Seq	Mutant	Toll10b	P13169_1006_S58	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1006_S58.dmel.bowtie2.sorted.bam	4h	NA	3	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1006_S58.dmel.bowtie2.sorted.bam
Toll10B_5h_1	NA	ATAC-Seq	Mutant	Toll10b	P13169_1007_S59	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1007_S59.dmel.bowtie2.sorted.bam	5h	NA	1	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1007_S59.dmel.bowtie2.sorted.bam
Toll10B_5h_2	NA	ATAC-Seq	Mutant	Toll10b	P13169_1008_S60	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1008_S60.dmel.bowtie2.sorted.bam	5h	NA	2	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1008_S60.dmel.bowtie2.sorted.bam
Toll10B_5h_3	NA	ATAC-Seq	Mutant	Toll10b	P13169_1009_S61	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1009_S61.dmel.bowtie2.sorted.bam	5h	NA	3	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1009_S61.dmel.bowtie2.sorted.bam
Toll9/10_3h_1	NA	ATAC-Seq	Mutant	Toll9	P13169_1010_S62	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1010_S62.dmel.bowtie2.sorted.bam	3h	NA	1	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1010_S62.dmel.bowtie2.sorted.bam
Toll9/10_3h_2	NA	ATAC-Seq	Mutant	Toll9	P13169_1011_S63	./ATAC_seq_mapped_dm6/bam_dmel/P13169_1011_S63.dmel.bowtie2.sorted.bam	3h	NA	2	Toll ATAC-Seq	..ATAC_seq_mapped_dm6.bam_dmel.P13169_1011_S63.dmel.bowtie2.sorted.bam
