geneID	min	max	mean	sd	overQC	factor	direction	Gd7	Toll10b	Toll9
Region100	7.15973322234093	7.55874439662674	7.34446507931312	0.122095065607146	12	Toll9	Up	0.0250821806187758	0.236188949315021	0.277229489226037
Region1000	7.35795040771263	8.09811528079747	7.7500354103879	0.291213585293304	12	Toll10b	Down	0.110025829998592	0.304765281042264	0.237498790774489
Region1001	8.8630423346672	9.62450697698021	9.25284001097648	0.309691086851871	12	Toll9	Up	0.084999659787327	0.0745183149910116	0.231300467935207
Region1002	5.51266387124673	7.65502254419898	6.89385486748845	0.757611070353702	12	Toll10b	Up	3.70804636505049	4.81355362690896	0.701067111019248
Region1003	6.79470826172989	7.90822544664094	7.36648062028865	0.335634033391348	12	Toll10b	Down	1.46817925004427	2.31621094533579	0.826645936437536
Region1004	6.69133901856871	7.30942015008146	7.01828020103447	0.1927006996847	12	Toll10b	Up	0.580375884492814	0.725664627394624	0.0726051075399182
Region1005	7.14067309141719	7.46561518516702	7.2596112215323	0.106531682590254	12	Toll9	Up	0.235617071763147	0.0201145675646445	0.391662234097875
Region1006	6.28043244639064	6.7584083353868	6.53826379060615	0.167477154642358	12	Gd7	Down	0.39441199073977	0.205308503084696	0.335832491381819
Region1007	7.67896061944711	8.49953732359013	8.01708520884411	0.294935902076654	12	Toll10b	Up	0.51145995862506	0.63240902356821	0.0544994376702305
Region1008	6.29472625887817	6.82567961765421	6.60563047562777	0.162378509814764	12	Toll10b	Up	0.340663990800033	0.466716171300581	0.0971762496219336
Region1009	6.63458374428487	7.62945240341105	7.1698506926714	0.319826154934177	12	Toll9	Up	0.347568205154104	0.0363100103880925	0.489462679562588
Region101	6.81454625090472	7.29996760650561	7.03297726134112	0.14368570098969	12	Toll9	Up	0.100522870100807	0.307620106567238	0.567257821894006
Region1010	7.18415931282475	7.60674439201901	7.43515865619358	0.134597567127412	12	Toll9	Up	0.106180295243271	0.561159986433468	0.915291863255849
Region1011	8.01725832394418	8.70976668965194	8.46223975265115	0.220935103515327	12	Toll9	Up	1.45451670537108	0.386301966071846	1.73472449823266
Region1012	7.70800712070197	8.18770459606604	7.83726209576093	0.156960569623048	12	Toll9	Up	0.672783203854894	0.457098976807044	1.65316862882482
Region1013	6.93277142568434	7.38183044006874	7.1966900708406	0.14050431310977	12	Gd7	Down	0.627658564255546	0.403880042018565	0.431188805303196
Region1014	6.94985646226119	7.3607101294773	7.18844287066901	0.136441321933609	12	Gd7	Down	0.895345821383358	0.572737849852646	0.619622470413077
Region1015	8.40110877947256	9.24944197845692	8.76901743597852	0.334718118572705	12	Gd7	Up	0.463991661403704	0.404878848613979	0.176488542347692
Region1016	7.21685149442512	8.26849748866256	7.7915116598269	0.38555746630961	12	Gd7	Up	2.30282041106394	1.57789995178391	1.45339181604343
Region1017	5.46989956320134	6.76765749835713	6.25975307637366	0.488930594414121	12	Toll9	Down	1.88160383014679	0.55321889608439	2.17251350344118
Region1018	5.76844081556649	6.73421308610751	6.33441200661988	0.325486021002001	12	Toll10b	Up	1.23494947007081	1.79061707693249	0.484369125982135
Region1019	7.22244875847191	8.61024805102183	7.94734464345938	0.419278598469775	12	Toll10b	Up	2.46639656209936	3.06354817107661	0.281415114345113
Region102	7.18648771917194	7.72177008917159	7.41474401699581	0.16423825931242	12	Toll9	Up	0.555007300008272	0.0112166688225434	0.87418584348024
Region1020	5.52394563053687	8.39813274674779	7.02776967757571	0.887354365242609	12	Toll10b	Up	5.06221269472344	6.79131528548935	1.25131197278524
Region1021	6.02834757743884	8.10085738642306	7.34369234195005	0.855966373084835	12	Toll10b	Up	2.89798042480686	5.6460428662154	3.06908657224816
Region1022	6.8935966484096	7.14819889626559	7.05900506920993	0.0773485357643735	12	Toll9	Down	0.0381037081357186	0.0186369256405688	0.08392537573067
Region1023	6.30380412688574	7.05583482510794	6.69682486767441	0.23268242079442	12	Toll9	Down	0.386218170629608	0.165215812138646	0.818967692219697
Region1024	7.62122274874297	8.39345208535943	8.02446724430058	0.234400524249882	12	Toll10b	Down	1.03454501224507	1.78218515053515	0.783320972358123
Region1025	6.27824707742858	6.72788950706573	6.48448892243524	0.132248923499428	12	Toll10b	Up	0.206001933857787	0.586054421451078	0.465332432187231
Region1026	5.11303851269199	5.6280730201788	5.35929697489868	0.17410404155444	12	Toll10b	Up	0.550443010143419	1.24182359635058	0.809644131026125
Region1027	6.70239172220074	7.90757527226266	7.32701977941684	0.454210375760085	12	Toll9	Up	0.469994351461297	0.0262804282493449	0.692404995428593
Region1028	5.87069721181688	6.53481061323314	6.27166335424245	0.219614912574452	12	Toll9	Down	1.01102825430214	0.19693127202053	1.30159215981103
Region1029	5.47691020405172	6.0657499547302	5.8680342504617	0.153832166946945	12	Toll10b	Down	0.485312935932533	0.581476838236979	0.0268209550530769
Region103	7.92300379894412	8.32169424633572	8.04924754577535	0.109190555698344	12	Toll10b	Up	0.375253852359556	0.73886263326268	0.407804209622036
Region1030	6.89438022048058	7.37762416746464	7.15870567419642	0.130944510729131	12	Toll10b	Down	0.198542923042299	0.421072193206758	0.256107238206537
Region1031	7.28948800307551	7.87348253343052	7.58720557701786	0.182730833368552	12	Toll10b	Up	0.350854722892861	0.641969573135643	0.315917056541093
Region1032	5.60660135347309	6.8318840243679	6.41339754996653	0.430677033518287	12	Toll9	Down	1.58263044623216	0.16918472294259	2.67637855757822
Region1033	6.93782890573909	7.8161176071123	7.52281597248302	0.33820101703451	12	Gd7	Up	1.8333259201428	1.63629531118442	0.648451153018255
Region1034	7.89480125789567	9.05394891229357	8.37635556857631	0.412662070425994	12	Toll9	Up	0.89043553252885	0.161825142483368	1.59498152635026
Region1035	6.86728340440972	7.43512242983512	7.13270911507881	0.196441260884211	12	Toll9	Up	1.15759466239423	0.361951630183858	1.30766042952981
Region1036	6.29575138637545	7.96176614722104	7.34000139342088	0.52043565854458	12	Gd7	Down	3.54943418698663	3.17046612625436	1.25210270415821
Region1037	7.23186239798981	8.12294293418876	7.68657632784585	0.304742158902809	12	Gd7	Down	0.821547115830237	0.78327530190557	0.223646659718847
Region1038	6.85629919450675	7.48786298609694	7.29964770815951	0.184739701379142	12	Gd7	Down	0.327517237397974	0.222870571384661	0.208775614471219
Region1039	8.30560791758284	8.94705734937782	8.63366004292859	0.268414179309229	12	Gd7	Down	0.174152465408537	0.152830627231482	0.065084493535592
Region104	5.82878480425232	6.43504893133519	6.15719137571646	0.181280420906906	12	Toll9	Down	0.427485894428159	0.20416776756567	0.934975799638575
Region1040	6.82203685169644	7.30401843977361	7.07594307476963	0.164222837379446	12	Toll9	Up	0.104290254635129	0.679323099058094	1.07048675867565
Region1041	5.61746134065793	6.90210386652841	6.43261971468618	0.472443920272881	12	Gd7	Up	1.98674684570469	0.869640429529262	1.91185800454107
Region1042	7.04008339877968	7.75301285720196	7.44801040863597	0.253376948817788	12	Gd7	Up	1.18296377856946	0.671259180250773	0.933030982578842
Region1043	5.94751580431609	6.82131536506916	6.47493832484211	0.294873533807362	12	Toll10b	Up	1.20870378396188	1.74600028996665	0.465294371508405
Region1044	8.39560723614569	8.87685148542944	8.61643168255239	0.13386670208108	12	Toll10b	Down	0.737002156988031	0.967014330323108	0.15310434221944
Region1045	7.94310406449349	8.50617423200694	8.13331589130085	0.178121636200716	12	Gd7	Up	0.863581656663001	0.605354873155501	0.526803430496954
Region1046	5.55867990332512	7.32689437879357	6.69717591589722	0.558745265026547	12	Toll10b	Up	2.30901599606159	2.82113522035654	0.200660767710711
Region1047	8.69506112903453	9.21196982559681	8.94830942039324	0.197136386078191	12	Toll10b	Down	0.117076500625234	0.436988912926455	0.403519977872332
Region1048	6.13178549087844	7.55230803374359	6.96266978502839	0.548183770911523	12	Gd7	Up	2.28760217217926	1.83368109007471	1.08755805135578
Region1049	6.08724335250042	7.04951103382969	6.66444338180049	0.348997218535181	12	Toll9	Down	0.904814167360562	0.0885595527123563	1.28218633565805
Region105	8.93472192278807	9.57804694596752	9.26408908399699	0.277615733013239	12	Toll9	Down	0.0103597806023536	0.151408659899637	0.218645920283214
Region1050	6.1331592659624	6.95360049285161	6.63116010121215	0.275043662305882	12	Toll10b	Up	0.624764910992612	1.58258466353777	1.15058220787884
Region1051	8.49175723194218	9.34368626319483	8.8294273622471	0.297924428542821	12	Toll10b	Up	0.787262003272428	1.12741895447389	0.289946372357234
Region1052	9.43255047622002	10.1851322877971	9.76844050434602	0.340913889162309	12	Gd7	Down	0.241703535042065	0.219111030872338	0.0809630103818482
Region1053	7.70987296148442	8.32032618414919	7.96237027717103	0.199120041391307	12	Toll9	Down	0.801207396048552	0.283621188066697	1.61983456742685
Region1054	6.94450032528957	8.37139241365438	7.80983419249792	0.492942533214164	12	Toll10b	Up	2.37919874049902	3.47166147069095	0.962520805187558
Region1055	6.24868841418842	7.90430128123869	7.44253660349868	0.554677931354397	12	Gd7	Down	3.79577821482315	1.59286653165197	3.74452979978753
Region1056	7.69317813141494	8.69550088289754	8.31953144258842	0.306591593148268	12	Gd7	Down	2.2514692363014	0.996050209079336	2.15250403756635
