Toll10b_2	Toll9_2	Toll10b_1	Gd7_2	Gd7_1	Toll9_1
Region1	11.0459058433056	10.6228108036564	10.9601852379734	10.5409982644056	10.7823352593611	10.6748563284498
Region2	11.0101047248821	10.4733754807554	10.924468452278	10.4304915426887	10.6649643195913	10.4808898638694
Region3	9.29687391086429	9.32162159027482	9.64725190802213	9.67491553372104	9.74778395644527	9.32280641938243
Region4	10.3343824504942	10.5536817738446	10.7665809424843	10.8124318605223	10.8657079708903	10.6498211879051
Region5	7.26829796969558	7.5912758969311	7.11142049474644	7.30450031006836	7.22587545647176	7.53698822640376
Region6	7.77352780158947	8.10112625237954	7.7826454746097	7.841860362582	7.68977436497991	8.02024642809976
Region7	7.89049988574162	7.56840116840447	7.9408003132157	7.58455951272169	7.68192318690536	7.74754342916409
Region8	11.5601991542604	10.2722075144715	11.9754728647157	11.8380103742544	11.900854263381	10.3442022833304
Region9	8.36212663393842	8.58773407568066	8.28097056507665	8.18911232330558	8.53097695269875	8.60330696845025
Region10	9.43839287375039	9.23386818862118	9.38541499975808	9.25324074514997	9.312456018098	9.17616031512233
Region11	8.91753430415561	8.93046983898698	9.02570052034366	9.06529106926937	9.00447007497746	8.9662343565996
Region12	10.6881540176897	10.2535893933871	10.8521722445439	10.4815681179384	10.4917524573717	10.3076218778898
Region13	8.80995878383174	8.33008265452918	8.80808452975592	8.40571964305364	8.65549869049789	8.22989336696613
Region14	8.35746915597645	8.45310687248337	8.23706015984782	8.51383065037535	8.25304373113925	8.45390745784231
Region15	8.81050675493761	8.76012233491885	9.01878249652266	8.58149922821153	8.86273123623922	8.68483172625165
Region16	8.86948604058371	8.62705717296672	8.70998340307354	8.79941094880738	8.7789115458442	8.59427356248768
Region17	8.57000370437432	8.60795059543186	8.52794398037323	8.72849508547885	8.60670877512309	8.6737793848239
Region18	8.64223485452151	8.75816634864295	8.75215779569132	8.75580642057524	8.82856903290264	8.81765481238834
Region19	9.72592911793642	9.88155854627361	9.81713939246409	9.65629845247671	9.82180220837304	9.93562692392333
Region20	10.9810353442724	10.9951681092563	11.401470737317	11.1303524506509	11.2051865066555	11.1119721958651
Region21	7.71295397039208	7.78155751049145	7.91344374213308	7.86491331209437	7.69683747011875	7.85737574216083
Region22	9.18492017149999	9.40716749798571	9.3554051528222	9.26489086014457	9.36272139285842	9.5134165962563
Region23	12.129949997165	12.1208938335886	12.3615193634394	12.0030924931954	12.2534211766947	12.1550274359549
Region24	8.29269155809348	8.37912584139302	8.33601130094072	8.52164828917303	8.36944335017618	8.39511438763432
Region25	10.1215973528412	10.008189197547	9.72455812567147	10.0220112274942	10.0183856058198	9.96607693199362
Region26	9.69178471477941	9.69593935535665	10.0424492549163	9.84594877552191	9.71223252968101	9.67842927814279
Region27	11.9579220396376	11.996893730512	12.0193126046602	11.9488106478718	11.9770721243098	12.0044920492108
Region28	10.0781799436198	10.3874935446656	10.2669842785307	10.5277654359284	10.4730455564187	10.3306669046506
Region29	9.16947830188638	9.28444247859392	9.04375382026194	9.44343398246517	9.48317164424075	9.31039979690174
Region30	7.62495854402327	7.62592658166527	7.59146307099488	7.57909857533805	7.61568576204281	7.63803469170198
Region31	9.95036057236591	9.70655238058936	9.84329137948398	9.8009177359626	9.92293214863131	9.72205192985515
Region32	9.98992888983783	9.64862132073143	10.2273007554385	10.0254043264099	9.88769004270279	9.56703241735989
Region33	8.77526205661933	8.84331172091112	8.89429560266523	8.8573777780189	8.92215136812322	8.8839380315076
Region34	9.17131162718005	9.19891654960569	9.20015853966324	8.94430901590187	9.11141174309408	9.17250847101291
Region35	10.4875601446838	10.5868593171351	10.4985938065037	10.3248596906025	10.3646568662722	10.5406696944147
Region36	10.9593525770213	10.800108330413	10.8953053787456	10.6918863853371	10.7520750125909	10.7844070416109
Region37	8.93579393021765	8.91818657077822	8.86128100070696	9.0031792370204	8.94477374005835	8.95590801526591
Region38	8.65055593258328	8.50129561553947	8.91552787374741	8.62046045228294	8.71653317059933	8.6392688428314
Region39	9.6702407090847	10.1780216415439	9.67143742677833	10.8199995149045	10.607300968341	10.1201420550903
Region40	8.34340141216273	8.24647857961411	8.38211385154544	8.07143636141996	8.19093239347776	8.35476227470918
Region41	8.17720904005323	8.27758740678509	8.44289590634813	8.22739120110388	8.14623685470915	8.34236263109342
Region42	8.42688786334389	8.25202685448614	8.44388139310112	9.70895943870641	9.70954164541888	8.40793129655543
Region43	9.79822185633095	9.70833705313054	9.8284750573736	9.97258357904622	9.73474347371541	9.64224754721745
Region44	10.0930623001724	10.1494687562288	10.100591023092	11.5569107215835	11.1441287622238	10.0432493061665
Region45	8.15137686635457	8.35247816911834	8.03178343151745	8.28238175116867	8.10279780049083	8.40604662270981
Region46	10.1979639405138	10.070614974323	10.1254812076693	9.93257267087868	9.83878827991223	10.0155322191509
Region47	9.52603509243766	9.82174169881609	9.28168683157217	9.57728519104203	9.36964070287343	9.84345954284149
Region48	9.04137787128258	9.13969551500748	8.92950026019507	8.53595794785412	8.61320140968489	9.19194808525988
Region49	6.93144787257984	7.14276305233004	6.7371372175887	6.93251188754124	6.81968676495274	7.15617876837444
Region50	9.6116334703598	9.6705330676135	9.26418984224348	9.53092836997745	9.46855445917746	9.63344568149284
Region51	8.791747494851	9.08191763915277	8.52842475149052	8.88369720105434	8.67831495939708	9.01321564598471
Region52	8.93841447172037	9.14944118582387	9.05384866857854	9.28037498463213	9.02540411358643	9.16946837212588
Region53	10.2249273171921	10.1253330612261	10.191449196563	10.2930240577649	10.3214919687416	10.0453445496048
