gd7_3h_rep1	gd7_3h_rep2	gd7_5h_rep1	gd7_5h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll10b_5h_rep1	toll10b_5h_rep2	toll9_3h_rep1	toll9_3h_rep2	toll9_5h_rep1	toll9_5h_rep2
Region100	7.0455102623067	7.15416307999897	7.87121848468918	7.64096941942715	7.60421185474453	7.58545871133554	7.97638074405355	8.15435915945798	7.3208515221433	7.2493648189086	8.09763482348155	7.59253745940088
Region1000	12.3375427313193	12.3328467669635	12.3215839574729	12.4113728476137	12.2559241172356	12.0854784899722	12.1319635791176	12.3774444947833	12.3238837572578	12.2233783991309	12.1795984274738	12.3289379340872
Region1001	10.5742312518511	10.5520301010349	10.6894752617464	10.6525996544476	10.3840024899583	10.4623239460021	10.3369859717697	10.2705291966194	10.6781741665864	10.5742906232146	10.8744788162698	10.5004903892204
Region1002	5.90329844060038	5.67842034277099	5.90488988749896	5.84251151846174	6.3452191355058	6.03800931051189	6.1044838800882	6.18101852039624	5.82515952249449	5.79554891047377	5.47126410604472	5.97007168056066
Region1004	8.55131215349094	8.56120733955845	8.16217365316832	8.58827785609902	8.64049399298154	8.52169451108906	8.80460247920397	8.80148584738637	8.4529836989027	8.46227063597344	8.33145168959969	8.50032253831551
Region1005	7.54768087231834	7.30943608290227	7.20628024979263	7.33227070587854	7.43148860107069	7.19931936392521	7.42155682876943	7.27383573967803	7.27332912302629	7.32859318273352	7.40020042742217	7.3950473210805
Region1006	8.48677782560833	8.57642148864544	8.1672991955306	8.33127055646003	8.45776173133142	8.49963481594443	8.24266874856176	8.23715104820806	8.52780916103415	8.44507092557621	8.42329487498184	8.09532155794598
Region1007	8.79116651239984	8.84699813277548	8.33151537945654	8.30234804394979	8.99508391549024	8.92842661279982	8.66902793529089	8.63555300883913	8.71367147570118	8.61983932475244	8.2694034671971	8.19075074155819
Region1008	8.84092842860825	8.82353046720782	8.69904222901502	8.22755379763141	8.92101730345145	8.95526988000139	8.68118780497383	8.57464408900024	8.69765773996146	8.55754891198256	8.33249589717859	8.29615091857537
Region1009	7.68740418347799	7.79466145292605	7.61236831533614	7.43449536270236	8.03126990891867	7.79938375107509	7.65432410795349	7.7650858424731	7.76724582580119	7.73494334466037	7.40707534789519	7.46202073655633
Region101	7.71489289814071	7.9035171432865	7.88785356378801	7.84336640367324	8.02212539029198	8.05517959316957	7.76509590428066	7.7832302730965	7.82162670069636	7.71126730564117	7.57309434407551	7.55761913797245
Region1010	6.86982681635028	6.70046439605655	6.82330788615892	6.77813911532372	6.70721290829613	6.7264157616823	6.60635647259163	6.62690817504047	6.7244148221246	6.84097596334992	6.68069747197993	6.92176017274085
Region1012	5.34159223213958	5.04649687778086	4.89469475801877	5.02086232585899	5.72954775314882	5.71310032519902	4.80043822354233	4.73984795359935	5.84386618524713	5.78291591988364	5.21070425334887	4.93110092192283
Region1014	11.7415284887511	12.0150918729822	11.8350163542163	12.0718483451996	11.9808692407952	11.9444304244434	11.6813833181233	12.096610873393	11.8761355415994	11.9597365137192	11.9605724984888	12.1908145214496
Region1015	9.37710037775286	9.44466353234952	8.93419368304278	9.0963472541579	9.12341031937332	9.24332197511567	8.85670601148466	9.01744755077994	9.4529420912671	9.38422875151142	8.97643203594435	9.06583562505856
Region1016	9.95905241403305	10.119492952767	9.61136753903855	9.64308839722752	9.37599825000415	9.45168473696975	8.68407520505701	8.76710327109822	9.55604348205662	9.55100102782842	8.40416390010514	8.6211902128835
Region102	4.87767801679127	4.54081100451193	5.68945667632852	5.63676060146329	4.92322076546336	4.99451355859237	5.46749722406808	5.26285255940275	4.91304200395059	4.9271111776037	5.25647998380929	5.5744605068402
Region1021	6.63778437534267	6.83229602350555	8.30893154748659	8.18005487453807	9.57024721405041	9.51762769040474	8.60362861442578	8.7812213657623	7.60929351137988	7.55398500494491	8.4521739645444	8.60716210064462
Region1022	6.77545662846893	6.51241610053682	6.55603446940145	6.3174826404864	7.02488344730864	6.83783455274209	6.69826724304469	6.8276034340254	6.60894656882095	6.5068049813017	5.87731191055539	5.94294508930691
Region1024	10.3323347243907	10.3993562217627	10.8729158420424	11.1207092291472	10.2468969970349	10.2328429833877	10.5680081037901	10.5995213948904	10.5173846522145	10.5359076593554	10.5039456540796	10.8410750594881
Region1030	5.57670328724037	5.26114153762064	5.08919427720533	5.00474081588552	5.54546112386665	5.78673293998726	5.48819651061157	5.22679790839627	5.52142524444138	5.6439282275389	5.46611861748231	5.36008623856254
Region1031	10.8351021883012	10.8724961607449	11.0183980531607	11.0971051067376	11.0012784072574	11.1023406650405	11.2227262868191	11.1944867611393	10.9986594103099	10.9702429059479	11.4241926279374	11.2201480649196
Region1035	10.4939897013946	10.4101580103852	10.7400587538782	10.4106976949502	10.4965170189654	10.5105469052583	10.3449892829792	10.2723366503314	10.6391561609655	10.5668946453944	10.6817813032586	10.4698326501561
Region1037	4.64796016029544	4.89518607667589	5.50737762273805	5.39341363765158	5.69339045591873	5.44537370294877	5.47256565192116	5.22951203672902	5.77964101573181	5.6887000514768	5.12990426624108	5.29121230526973
Region1038	5.9309133477043	5.94408616707996	5.35363716229371	5.69236993754858	6.22837056599112	6.2838312038374	5.81410057160844	5.58332925819436	6.20454457020778	6.15102930236393	5.67678274478711	5.66993972816439
Region1039	9.26393910094483	9.34206282955583	9.27154182091906	9.26749957350736	9.41741137040869	9.34107187497965	9.50659458179753	9.56800261425052	9.35408742544619	9.29874422949858	9.11670563999869	9.3975680059668
Region1040	6.84154993869668	6.79637536226597	6.66700419622173	6.29361152357013	7.09581562846627	7.00080282667096	6.88336351980792	6.78701790543018	6.77951591073466	6.77382938983342	6.58701296218474	6.29773959801185
Region1042	6.26399520409301	6.11236849060511	4.95096208006369	4.94142868019527	5.86548982215557	5.70099796295932	4.31149103067766	4.59394698787452	6.09356080512971	6.11338178882796	4.75782935677695	4.88285159594446
Region1043	5.4639906404256	5.5747121052597	6.02943785894543	6.42521377938533	5.80307426416666	5.85399481035331	6.58880234978879	6.42872735415052	5.87033875730186	5.35465661930386	6.58078126389668	6.57816714443468
Region105	6.12544960939709	6.4283298415056	6.91488803895604	6.71892122430659	6.48508012845273	6.64229455481651	6.86835507567435	6.97771781337437	6.15817622961407	6.05191508796445	6.97547696689359	6.50489299791527
Region1051	5.24956936944143	4.77372968286554	5.28731165642226	5.29237719232095	5.02228809504492	4.75379800943128	5.24389949907427	5.14731957557396	5.01913581088899	5.10229122600329	5.16780491080433	5.36673707851299
Region1052	5.0278738357677	4.70726117728942	4.73136943224007	5.03496289850286	4.82696131027899	4.68544746330208	4.99984980481213	4.73568453169819	5.03111894266308	4.94897525093254	4.84264919479285	5.18250862877745
Region1063	11.6894820275467	11.7160914824044	11.9330805869159	11.9946310644198	11.6546151075948	11.7665783203937	11.9318304160304	11.9129477869688	11.8966953549364	11.7629379172669	11.924048565092	11.9886354648535
Region1064	9.39518876305529	9.22291177245137	10.5159629752092	10.3504843864387	9.86693495997475	10.1231700816415	10.4191753217791	10.3894026025844	9.92395171649654	9.97166242505023	10.1322089212481	10.4723888744945
Region1066	7.94773663732656	8.07731260935744	7.12569537201509	7.29459503454999	8.06955328606549	8.09538399719797	7.16688213944434	7.33807593976746	7.78514354408904	7.66351769613845	7.31344932173505	7.55243452392326
Region1073	6.99737607910626	6.9442592975144	5.96787810708205	5.91926612508487	6.05868380912015	6.03662373010121	5.32710613160993	5.20646334830856	6.50519178221073	6.43798486320926	5.89969732426828	5.76698700925891
Region1080	9.15612877491107	9.31102498456929	9.19802887039548	9.07123905496998	9.31021080953698	9.38851558723005	9.23306967723334	9.26225760981642	9.36894475655664	9.26501373688964	9.8668207994209	9.18059239959917
Region1084	6.07226473201678	6.1543641239909	5.55430315174947	5.52085385367528	5.83058057741075	5.90346827192416	5.65328530702394	5.73101190917398	5.89504634111015	5.92234540689751	5.49432712186811	5.60885205370877
Region1085	9.33649462852453	9.34832508799333	8.59329341381321	8.55868444710464	9.27586020674259	9.23585815940111	8.65464212007441	8.49428051612012	9.22745177624583	9.20133462769594	8.39625606722347	8.45668881025025
Region1086	8.53153722996237	8.39625064971272	7.51824635967656	7.66993740928935	8.20375375808572	8.03735798883713	7.48111040611633	7.24835580584302	8.29061585038551	8.33449848112294	7.43198292986906	7.84775041753852
Region1087	9.52644331895082	9.63773814235469	8.62827145138001	8.67463630606472	9.50552190495445	9.40590214007466	8.59162827945303	8.72847765943574	9.56461415446479	9.60107706485342	8.50853752170735	8.58547755555891
Region1091	9.89184898795576	9.848657725078	8.95677420156388	8.80669753113614	9.75438649790668	9.74669666070629	8.9999934527577	9.01742498299657	9.76879847095496	9.79507941575121	8.79013574659665	8.84881289664112
