SYMBOL	SYMBOL_unique	geneID	annotation	factor	direction	PPC_factor	PPC_direction	ATACseq_geneID	ATACseq_factor	ATACseq_direction	CBP_factor	CBP_direction	K27ac_geneID	K27ac_factor	K27ac_direction	PROseq_Time	PROseq_Gd7	PROseq_Toll10b	PROseq_Toll9	PPC_Time	PPC_Gd7	PPC_Toll10b	PPC_Toll9	ATACseq_Time	ATACseq_Gd7	ATACseq_Toll10b	ATACseq_Toll9	CBP_Gd7	CBP_Toll10b	CBP_Toll9	K27ac_Gd7	K27ac_Toll10b	K27ac_Toll9	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	PC1	PC2	PC3	PC4
cv-2	cv.2	FBgn0000395	Roshan & This	Gd7	Up	Gd7	Up	Region3001	Gd7	Up	Gd7	Up	Region1993	Gd7	Up	-1.52698576439372	8.33961633635676	-6.12614256528664	-2.9896508047406	-0.357056201283015	1.66318446978712	-1.64514190011459	0.342821107236931	-2.06132815404387	2.11558943780559	-1.92554485985106	-0.114187388293745	2.41024649954542	-1.82733971125367	-1.28599158214917	4.60810864486463	-1.9424414977218	-2.02167317468512	9.13394458221564	-5.69532606882653	-3.42185214512804	-18.2366461958324	-6.26781553101022	1.27249243498705	4.55932287449484
cv-2	cv.2.1	FBgn0000395	Roshan & This	Gd7	Up	Gd7	Up	Region3001	Gd7	Up	Gd7	Up	Region1994	Gd7	Up	-1.52698576439372	8.33961633635676	-6.12614256528664	-2.9896508047406	-0.357056201283015	1.66318446978712	-1.64514190011459	0.342821107236931	-2.06132815404387	2.11558943780559	-1.92554485985106	-0.114187388293745	2.41024649954542	-1.82733971125367	-1.28599158214917	5.13157863195866	-2.80689441414504	-1.52961948263366	9.65741456930967	-6.55977898524977	-2.92979845307658	-19.155911421332	-5.78019606766761	0.886979538224711	4.3817951598345
cv-2	cv.2.2	FBgn0000395	Roshan & This	Gd7	Up	Gd7	Up	Region3002	Gd7	Up	Gd7	Up	Region1994	Gd7	Up	-1.52698576439372	8.33961633635676	-6.12614256528664	-2.9896508047406	-0.357056201283015	1.66318446978712	-1.64514190011459	0.342821107236931	-1.72428726314729	3.41631669684694	-1.5648205551302	-2.29295774013941	4.02953255509378	-2.48438715607898	-2.9136284307938	5.13157863195866	-2.80689441414504	-1.52961948263366	12.5774278838994	-6.85610212535422	-6.73620565356687	-20.925933168657	-9.5247592547797	1.64371913115087	2.08113140157849
cv-2	cv.2.3	FBgn0000395	Roshan & This	Gd7	Up	Gd7	Up	Region3002	Gd7	Up	Gd7	Up	Region1995	Gd7	Up	-1.52698576439372	8.33961633635676	-6.12614256528664	-2.9896508047406	-0.357056201283015	1.66318446978712	-1.64514190011459	0.342821107236931	-1.72428726314729	3.41631669684694	-1.5648205551302	-2.29295774013941	4.02953255509378	-2.48438715607898	-2.9136284307938	4.71493363573692	-2.50916946815835	-1.48370328527788	12.1607828876776	-6.55837717936753	-6.69028945621109	-20.4757782422209	-9.45354482631652	1.7332146881661	2.29704394451176
dpp	dpp	FBgn0000490	Literature & Roshan & This	Gd7	Up	Gd7	Up	Region254	Gd7	Up	Gd7	Up	Region137	Gd7	Up	-1.45082930620762	6.48117849718107	-4.76697150423632	-2.31523241262004	-1.40045901776982	3.29861532666164	-2.28680096495044	-0.896098912895267	1.13377333381254	3.28343243983718	-3.04803282226604	-0.0959242723983029	2.98379124480501	-2.43327450776838	-1.36302534052235	3.68552224888402	-1.93158112504682	-1.19312961892954	9.95274593352621	-7.41288845508124	-2.65207923185019	-18.9375806253607	-4.72845469032998	0.0158591724802548	2.21405689910456
gsb	gsb	FBgn0001148	This	Gd7	Down	Toll9	Up	Region3290	Gd7	Up	Gd7	Up	Region2231	Gd7	Up	1.62129635836724	-6.10301052606823	3.09220388135667	4.08479148186758	-0.546617032373565	-0.0716361854039278	-0.427195937379994	0.789455936200228	-2.00172395365694	2.60883681918232	-1.70276586820239	-1.05778152399024	5.97927713041083	-4.30414998803814	-3.49681526505167	4.77066478147683	-2.12448026178606	-1.96573470047761	13.35877873107	-8.13139611802659	-6.52033148951952	-15.1041362013414	-3.28893364024841	-1.03890953520062	-14.2260102859594
gsb	gsb.1	FBgn0001148	This	Gd7	Down	Toll9	Up	Region3290	Gd7	Up	Gd7	Up	Region2232	Gd7	Up	1.62129635836724	-6.10301052606823	3.09220388135667	4.08479148186758	-0.546617032373565	-0.0716361854039278	-0.427195937379994	0.789455936200228	-2.00172395365694	2.60883681918232	-1.70276586820239	-1.05778152399024	5.97927713041083	-4.30414998803814	-3.49681526505167	4.7689582345364	-2.26888618442158	-1.80229712663266	13.3570721841295	-8.27580204066211	-6.35689391567457	-15.207323943492	-3.11727060257641	-1.11963320776763	-14.1972882415449
wor	wor	FBgn0001983	This	Gd7	Down	Gd7	Down	Region1123	Gd7	Down	Toll10b	Up	Region749	Toll10b	Up	2.61428279384725	-6.00249195382304	2.65908160544537	4.53873092396599	2.48192467385142	-6.98453816570046	2.37521640910733	5.88076331126725	-2.07554795537879	-2.12407107258961	0.881165194967625	1.55088118072933	-2.47174335700081	2.64387551632418	0.288429966862702	-5.27191834462554	6.00373416218933	-1.92622733910742	-9.86773277421596	9.52877487348113	-0.0869161915153882	10.2704846363434	3.502565016195	3.80312253034156	-0.820850631317068
wor	wor.1	FBgn0001983	This	Gd7	Down	Gd7	Down	Region1125	Toll9	Up	Gd7	Down	Region750	Toll10b	Up	2.61428279384725	-6.00249195382304	2.65908160544537	4.53873092396599	2.48192467385142	-6.98453816570046	2.37521640910733	5.88076331126725	0.309203570392007	-2.10341080142493	0.138779642539983	2.53753716319778	-3.88378895739623	2.3521496344159	2.86496309435424	-2.6673314574774	3.56713110342784	-1.56819965192685	-8.65453121629856	6.05806038038372	3.83430060562517	7.00975646727964	7.23473056740101	1.79505776713255	-0.609526122887324
wor	wor.2	FBgn0001983	This	Gd7	Down	Gd7	Down	Region1126	Toll9	Up	Gd7	Down	Region750	Toll10b	Up	2.61428279384725	-6.00249195382304	2.65908160544537	4.53873092396599	2.48192467385142	-6.98453816570046	2.37521640910733	5.88076331126725	1.29974049259946	-1.28224196440164	-0.561394604685695	2.42874282450529	-2.34048565345637	1.00980214206162	2.27209962707466	-2.6673314574774	3.56713110342784	-1.56819965192685	-6.29005907533541	4.01553864080376	3.1326427996531	4.2535878518203	6.60113525725448	1.30981897325197	-2.01948012859804
