Enhancer_row	Enhancer_ID	Enhancer_Chr	Enhancer_Start	Enhancer_End	Enhancer_Factor	Enhancer_Direction	enhancerID	insituID	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	Enhancer_Time	Background	Gene_row	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	Gene_Strand	Gene_Direction	Gene_Factor	Gene_Gd7	Gene_Toll10b	Gene_Toll9	Gene_Time	Distance	PROseq_Classification	ATACseq_Classification	pair_score
92	Region208	chr2L	1884348	1885462	Time	Up	None	None	-0.572225980878961	-2.22278778744889	3.35182419909834	2.9141878932483	No	5879	FBgn0031374	chr2L	1910072	1942962	+	Up	Time	-0.478056068688899	-0.50074681457984	1.33318607363196	1.78895024742067	24609	Time Up	Time Up	4.70313814066897
112	Region230	chr2L	2164421	2165493	Time	Up	None	region 7064	0.461114119079002	-3.32656531072644	2.79863914146336	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706
113	Region230	chr2L	2164421	2165493	Time	Up	None	region 7065	0.461114119079002	-3.32656531072644	2.79863914146336	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706
114	Region230	chr2L	2164421	2165493	Time	Up	None	region 7066	0.461114119079002	-3.32656531072644	2.79863914146336	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706
115	Region230	chr2L	2164421	2165493	Time	Up	None	region 7064	-0.465019912546984	-4.40466542047535	4.81259676526381	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706
116	Region230	chr2L	2164421	2165493	Time	Up	None	region 7065	-0.465019912546984	-4.40466542047535	4.81259676526381	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706
117	Region230	chr2L	2164421	2165493	Time	Up	None	region 7066	-0.465019912546984	-4.40466542047535	4.81259676526381	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706
220	Region420	chr2L	4823272	4823506	Time	Down	None	None	-0.256533274899598	-4.73615390149867	5.1667276136935	-3.40042038848341	No	6048	FBgn0031632	chr2L	4825610	4827569	+	Down	Time	0.430396844245133	-0.671362351396016	0.33011391492698	-3.02781779918484	2103	Time Down	Time Down	6.42823818766825
342	Region634	chr2L	7811303	7811724	Time	Up	None	None	1.14825501944003	0.575749961821143	-2.02242301437682	2.11558675874294	Yes	6262	FBgn0261800	chr2L	7814948	7820387	+	Up	Time	-0.542099264442347	0.716199741842177	-0.239314616438844	0.931661680964788	3223	Time Up	Time Up	3.04724843970773
392	Region703	chr2L	8809571	8810598	Toll9	Up	region 546	region 7415	-1.4636562282697	-6.96526261547682	9.37926740930874	-0.576924186545068	No	6351	FBgn0029123	chr2L	8826494	8828776	+	Up	Toll9	-4.53947873280454	0.252526448904753	5.83057622758844	0.49764669140349	15895	Toll9 Up	Toll9 Up	15.2098436368972
