Chr	Start	End	Target	Score	IM_PET
chr2L	28390	30390	Hsp60B	0.944	0
chr2L	28390	30390	GABA-B-R3	0.969	0
chr2L	28390	30390	IA-2	0.947	0
chr2L	90749	92749	GABA-B-R3	0.973	0
chr2L	90749	92749	Pkg21D	0.977	0
chr2L	90749	92749	Pex12	0.967	0
chr2L	430707	432707	CG3436	0.931	0
chr2L	430707	432707	CG4552	0.935	0
chr2L	430707	432707	CG4577	0.98	0
chr2L	441196	443196	CG4297	0.978	0
chr2L	441196	443196	CG4577	0.981	0
chr2L	441196	443196	CG4896	0.946	0
chr2L	519491	521491	CG4896	0.959	0
chr2L	519491	521491	FBgn0040723	0.966	0
chr2L	519491	521491	CG7420	0.957	0
chr2L	1065678	1067678	RpLP1	0.961	0
chr2L	1065678	1067678	CG17712	0.966	0
chr2L	1065678	1067678	FBgn0045497	0.96	0
chr2L	1116633	1118633	RpLP1	0.982	0
chr2L	1116633	1118633	shv	0.977	0
chr2L	1116633	1118633	FBgn0051664	0.971	0
chr2L	1117151	1119151	RpLP1	0.982	0
chr2L	1117151	1119151	shv	0.977	0
chr2L	1117151	1119151	FBgn0051664	0.971	0
chr2L	1409893	1411893	Spp	0.947	0
chr2L	1409893	1411893	CG15386	0.921	0
chr2L	1409893	1411893	CG15390	0.965	0
chr2L	1411424	1413424	Spp	0.947	0
chr2L	1411424	1413424	CG15386	0.921	0
chr2L	1411424	1413424	CG15390	0.965	0
chr2L	1722543	1724543	Pkg21D	0.971	0
chr2L	1722543	1724543	IA-2	0.972	0
chr2L	1722543	1724543	S	0.979	0
chr2L	2159233	2161233	FBgn0263081	0.966	0
chr2L	2159233	2161233	FBgn0051928	0.979	0
chr2L	2159233	2161233	FBgn0031465	0.965	0
chr2L	2159773	2161773	FBgn0263081	0.966	0
chr2L	2159773	2161773	FBgn0051928	0.979	0
chr2L	2159773	2161773	FBgn0031465	0.96	0
chr2L	2163548	2165548	FBgn0263081	0.966	0
chr2L	2163548	2165548	FBgn0051928	0.98	0
chr2L	2163548	2165548	FBgn0031465	0.959	0
chr2L	2164443	2166443	FBgn0263081	0.966	0
chr2L	2164443	2166443	FBgn0051928	0.98	0
chr2L	2164443	2166443	FBgn0031465	0.959	0
chr2L	2166949	2168949	FBgn0263081	0.967	0
chr2L	2166949	2168949	FBgn0053922	0.959	0
chr2L	2166949	2168949	FBgn0051928	0.981	0
chr2L	2175589	2177589	FBgn0263081	0.961	0
chr2L	2175589	2177589	FBgn0053922	0.959	0
chr2L	2175589	2177589	FBgn0051928	0.983	0
chr2L	2235834	2237834	CG7420	0.956	0
chr2L	2235834	2237834	FBgn0264979	0.937	0
chr2L	2235834	2237834	toc	0.961	0
chr2L	2454223	2456223	CG7420	0.963	0
chr2L	2454223	2456223	FBgn0045500	0.966	0
chr2L	2454223	2456223	FBgn0259949	0.965	0
chr2L	2457343	2459343	CG7420	0.963	0
chr2L	2457343	2459343	FBgn0045500	0.967	0
chr2L	2457343	2459343	FBgn0259949	0.963	0
chr2L	2458019	2460019	CG7420	0.963	0
chr2L	2458019	2460019	FBgn0045500	0.967	0
chr2L	2458019	2460019	dpp	0.989	1
chr2L	2458019	2460019	FBgn0259949	0.963	0
chr2L	4031226	4033226	CG9664	0.959	0
chr2L	4031226	4033226	CG3285	0.969	0
chr2L	4031226	4033226	FBgn0031526	0.968	0
chr2L	4033406	4035406	CG3285	0.968	0
chr2L	4033406	4035406	FBgn0031526	0.968	0
chr2L	4033406	4035406	FBgn0264295	0.968	0
chr2L	4033890	4035890	FBgn0051698	0.958	0
chr2L	4033890	4035890	CG3285	0.967	0
chr2L	4033890	4035890	FBgn0031526	0.968	0
chr2L	4034572	4036572	FBgn0051698	0.958	0
chr2L	4034572	4036572	CG3285	0.967	0
chr2L	4034572	4036572	FBgn0031526	0.968	0
chr2L	4052900	4054900	CG3285	0.956	0
chr2L	4052900	4054900	FBgn0031526	0.97	0
chr2L	4052900	4054900	CG44001	0.95	0
chr2L	4363075	4365075	FBgn0031562	0.978	0
chr2L	4363075	4365075	FBgn0031563	0.978	0
chr2L	4363075	4365075	CG44001	0.984	0
chr2L	4367461	4369461	FBgn0031562	0.978	0
chr2L	4367461	4369461	FBgn0031563	0.979	0
chr2L	4367461	4369461	CG44001	0.982	0
chr2L	4822689	4824689	Sr-CIII	0.981	0
chr2L	4822689	4824689	FBgn0031630	0.935	0
chr2L	4822689	4824689	Vps52	0.981	0
chr2L	5201529	5203529	FBgn0250847	0.976	0
chr2L	5201529	5203529	FBgn0262814	0.978	0
chr2L	5201529	5203529	FBgn0002855	0.983	0
chr2L	5235109	5237109	FBgn0262814	0.963	0
chr2L	5235109	5237109	FBgn0002855	0.963	0
chr2L	5235109	5237109	FBgn0003980	0.97	0
chr2L	5235276	5237276	FBgn0262814	0.963	0
chr2L	5235276	5237276	FBgn0002855	0.963	0
chr2L	5235276	5237276	FBgn0003980	0.97	0
chr2L	6611718	6613718	FBgn0262814	0.966	0
chr2L	6611718	6613718	FBgn0002855	0.971	0
chr2L	6611718	6613718	FBgn0003980	0.962	0
chr2L	6736756	6738756	FBgn0001170	0.957	0
chr2L	6736756	6738756	CG9109	0.971	0
chr2L	6736756	6738756	Liprin-alpha	0.958	0
chr2L	6736756	6738756	FBgn0262880	0.957	0
chr2L	6793112	6795112	CG9150	0.969	0
chr2L	6793112	6795112	CG31642	0.98	0
chr2L	6793112	6795112	FBgn0260479	0.969	0
chr2L	7529005	7531005	FBgn0032029	0.965	0
chr2L	7529005	7531005	CG13390	0.961	0
chr2L	7529005	7531005	FBgn0032048	0.952	0
chr2L	8385943	8387943	FBgn0014454	0.961	0
chr2L	8385943	8387943	Pp2A-29B	0.968	0
chr2L	8385943	8387943	FBgn0015583	0.991	0
chr2L	8508614	8510614	FBgn0003961	0.967	0
chr2L	8508614	8510614	numb	0.963	0
chr2L	8508614	8510614	FBgn0053723	0.967	0
chr2L	8808825	8810825	Wwox	0.941	0
chr2L	8808825	8810825	numb	0.964	0
chr2L	8808825	8810825	FBgn0032126	0.957	0
chr2L	8824896	8826896	Wwox	0.96	0
chr2L	8824896	8826896	FBgn0032126	0.971	0
chr2L	8824896	8826896	Mtpalpha	0.932	0
chr2L	8841226	8843226	Wwox	0.966	0
chr2L	8841226	8843226	FBgn0032126	0.981	0
chr2L	8841226	8843226	Mtpalpha	0.962	0
chr2L	8849084	8851084	Wwox	0.966	0
chr2L	8849084	8851084	FBgn0032126	0.981	0
chr2L	8849084	8851084	Mtpalpha	0.969	0
chr2L	8850024	8852024	Wwox	0.966	0
chr2L	8850024	8852024	FBgn0032126	0.981	0
chr2L	8850024	8852024	Mtpalpha	0.969	0
chr2L	8876250	8878250	CG8419	0.966	0
chr2L	8876250	8878250	Ssb-c31a	0.966	0
chr2L	8876250	8878250	CG8360	0.979	0
chr2L	8876250	8878250	gcm	0.971	0
chr2L	8876650	8878650	CG8419	0.967	0
chr2L	8876650	8878650	CG8360	0.979	0
chr2L	8876650	8878650	gcm	0.971	0
chr2L	9125198	9127198	FBgn0032039	0.966	0
chr2L	9125198	9127198	mus201	0.974	0
chr2L	9125198	9127198	FBgn0032096	0.961	0
chr2L	9125198	9127198	CG44153	0.961	0
chr2L	9450581	9452581	CG13096	0.967	0
chr2L	9450581	9452581	Cdk5alpha	0.962	0
chr2L	9450581	9452581	Cnot4	0.962	0
chr2L	9992962	9994962	FBgn0032140	0.965	0
chr2L	9992962	9994962	FBgn0032285	0.98	0
chr2L	9992962	9994962	CG17139	0.964	0
chr2L	10407966	10409966	CG14915	0.972	0
chr2L	10407966	10409966	CG43725	0.978	0
chr2L	10407966	10409966	FBgn0032338	0.972	0
chr2L	10545329	10547329	Mtpalpha	0.967	0
chr2L	10545329	10547329	CG33695	0.96	0
chr2L	10545329	10547329	FBgn0032364	0.96	0
chr2L	11485592	11487592	CG6094	0.957	0
chr2L	11485592	11487592	FBgn0032422	0.98	0
chr2L	11485592	11487592	CG6405	0.974	0
chr2L	12613688	12615688	CG14937	0.955	0
chr2L	12613688	12615688	ND-B22	0.931	0
chr2L	12613688	12615688	FBgn0028942	0.96	0
chr2L	12614150	12616150	CG14937	0.955	0
chr2L	12614150	12616150	ND-B22	0.931	0
chr2L	12614150	12616150	FBgn0028942	0.96	0
chr2L	12893407	12895407	Plzf	0.965	0
chr2L	12893407	12895407	FBgn0032422	0.97	0
chr2L	12893407	12895407	RpII33	0.968	0
chr2L	12893962	12895962	Plzf	0.965	0
chr2L	12893962	12895962	FBgn0032422	0.968	0
chr2L	12893962	12895962	RpII33	0.968	0
chr2L	12999294	13001294	Tom70	0.966	0
chr2L	12999294	13001294	CG6766	0.965	0
chr2L	12999294	13001294	Rab3-GAP	0.967	0
chr2L	15686072	15688072	THG	0.979	0
chr2L	15686072	15688072	FBgn0028864	0.975	0
chr2L	15686072	15688072	CaBP1	0.979	0
chr2L	15686876	15688876	THG	0.979	0
chr2L	15686876	15688876	CG4455	0.966	0
chr2L	15686876	15688876	CaBP1	0.979	0
chr2L	15721302	15723302	FBgn0032551	0.971	0
