geneID	Chr	ATAC_Start	ATAC_End	ATAC_factor	ATAC_direction	enhancerID	insituID	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	Enhancer_Time
Region54	chr2L	18442	18705	Gd7	Down	NA	region 6896	-4.09215481256126	4.50215472157743	-0.364956726275258	0.996037219592088
Region54	chr2L	18442	18705	Gd7	Down	NA	region 6897	-4.09215481256126	4.50215472157743	-0.364956726275258	0.996037219592088
Region55	chr2L	27035	27519	Time	Down	NA	region 6902	2.66784385106275	-2.15145320361421	-0.265929932366349	-5.93021009993913
Region55	chr2L	27035	27519	Time	Down	NA	region 6902	2.46746641911654	-2.55347479097318	0.367185984050509	-5.93021009993913
Region56	chr2L	28009	29052	Toll10b	Down	NA	NA	3.62233467900087	-4.84855031904507	1.90646339355217	-4.17829287789338
Region58	chr2L	66674	67518	Toll9	Down	NA	NA	-0.015449866516412	0.834986855182792	-1.2790791252689	0.801504951230991
Region61	chr2L	91221	91973	Time	Down	NA	NA	8.98040785894209	-0.928914245859042	-9.67646585972051	-3.99697033105188
Region62	chr2L	102167	102646	Gd7	Up	NA	NA	1.10312957892202	0.555464891566752	-2.22292630000441	-0.166958940741244
Region63	chr2L	107736	108386	Toll9	Down	NA	NA	-0.169259160887066	1.5598074608856	-1.66285091788899	0.490965226445794
Region64	chr2L	114532	114855	Time	Down	NA	NA	0.498588637957074	1.3149327734687	-2.17421221871855	-1.33869951138325
Region70	chr2L	207184	207645	Time	Down	NA	NA	0.63752869812573	-0.749909827714785	0.152778313148367	-0.464062504316405
Region71	chr2L	220420	220886	Time	Up	NA	NA	0.74403590075387	-1.06963342855468	0.369599589719654	-0.363464481441843
Region71	chr2L	220420	220886	Time	Up	NA	NA	0.16473556672167	-0.937352073962403	0.748632983542715	-0.363464481441843
Region72	chr2L	221620	224740	Time	Down	NA	NA	-0.291787985487541	-0.269812091284359	0.49032275171886	-0.943440229593058
Region72	chr2L	221620	224740	Time	Down	NA	NA	0.273482653544544	0.15266840048547	-0.497891615592603	-0.943440229593058
Region73	chr2L	224978	225429	Time	Down	NA	NA	1.34810537199504	-0.858995916135759	-0.675183714714742	-1.67107292015913
