Geneid	Chr	Start	End	Strand	Length	factor	direction	PC1	PC2	PC3	distance	Gd7	Time	Toll10B	Toll9
Region56	chr2L	28009	29052	.	1044	Toll9	Down	-2.05461323755685	-1.61452057412318	-1.04466247250351	2.81414852516139	1.40254886269857	-1.58105520089954	1.53804743694917	-2.44249803771051
Region57	chr2L	35512	35929	.	418	Gd7	Down	-0.915484908803945	-0.247698605524251	1.94889678997348	2.16740995554495	-1.82678691087781	-0.809757076767753	1.5578033990823	-0.196172590508014
Region59	chr2L	89189	89518	.	330	Toll10B	Up	-2.74874286252273	-1.60564206013094	2.60475822497401	4.11320302928277	-2.12655184312011	-2.23163556097491	3.67575930047454	-1.99467320362528
Region60	chr2L	90106	90445	.	340	Gd7	Down	-1.10719434721804	3.16117063391073	2.62365736834491	4.25469823673568	-3.39868953058899	-1.86082502159591	-0.591933456491572	2.94526188974753
Region61	chr2L	91221	91973	.	753	Time	Down	-2.82604993889534	0.160672188779959	2.23070847260615	3.60394701669358	-2.24385150430052	-2.75947601298475	2.18453016286647	-0.498056020847659
Region81	chr2L	278601	279126	.	526	Time	Down	-3.44529766806769	1.31490554079968	-1.0766191239114	3.84163524306903	0.617903245556175	-3.67344202369131	-0.11274821422094	-0.326463581899924
Region82	chr2L	282210	283269	.	1060	Time	Down	-2.54266404930339	-0.252226925412845	0.776121234967161	2.67041627108773	-0.726778474950126	-2.38920361483563	1.63861760829829	-1.04436830514217
Region89	chr2L	354077	354643	.	567	Toll10B	Up	-2.04058534118418	-1.52318287994803	1.11906238284877	2.78143402530595	-0.705087164465464	-1.57727239274348	2.56422416313652	-1.93746590543205
Region91	chr2L	356175	356749	.	575	Time	Down	-2.6401024154579	-0.312661263116389	-0.0448183993879871	2.65892958133228	0.0781075984288917	-2.47312409667194	1.30689219698733	-1.29429506366267
Region93	chr2L	377626	378142	.	517	Toll9	Down	0.279786139459385	-1.95912143977518	-0.501370357705229	2.04152132861889	1.01591444888475	0.767341243728221	1.10742750263604	-1.76289422680495
Region99	chr2L	441747	442435	.	689	Toll9	Down	-0.737326852174769	-2.58933432169626	-0.382682066175226	2.71932871867752	1.0524789623467	-0.0545042318444651	2.06477493428864	-2.69652827365622
Region103	chr2L	480736	481586	.	851	Time	Up	2.03120208513584	-1.15950109091879	0.681736188932468	2.43618326933797	-0.305988191110807	2.26406901312637	0.380389646893641	-0.146156411011111
Region107	chr2L	501595	502174	.	580	Toll10B	Up	0.297066091018159	-2.59051385709187	2.26602446337199	3.45454442362783	-1.47812132340089	0.962480450824948	2.98481123539676	-1.79416019448142
Region110	chr2L	515269	515648	.	380	Gd7	Down	0.0089313034432297	-1.00034840608017	2.80133387007231	2.9746005031504	-2.42743994303871	0.281435358278856	2.17654102831968	-0.36170948562964
Region111	chr2L	516317	517177	.	861	Gd7	Down	0.548509864810239	-0.388319690944609	2.47304140115487	2.56273077516845	-2.26621013851635	0.644897479113039	1.32410251796128	0.333691286695963
Region112	chr2L	517544	519906	.	2363	Toll10B	Up	-1.57797007555234	-2.01970380497807	3.31925802503458	4.19364600985086	-2.68104035304391	-0.989517225093814	3.86673917419219	-1.78688696763722
Region115	chr2L	538660	539313	.	654	Toll10B	Up	-1.13439581064842	-0.923379137607269	2.25841117469293	2.69070695560905	-1.94679503551925	-0.847049252975089	2.31587493122565	-0.830984816972571
Region125	chr2L	599461	599883	.	423	Toll9	Down	0.659594853627638	-2.21364189135628	-0.786049941819351	2.43990784767247	1.36569330304412	1.19773917034627	0.997304970783546	-1.90378510916427
Region126	chr2L	600510	601005	.	496	Time	Down	-2.40822918159877	0.781888677493541	0.657182730322176	2.61587592139425	-0.888432481201464	-2.52386824569386	0.742018450662862	-0.0806123863979898
Region127	chr2L	601494	602023	.	530	Time	Down	-1.93727729030454	0.5786545540582	-0.405122593845069	2.06203993863013	0.197943204923655	-2.02329693523915	0.159773561545984	-0.290373582170307
Region128	chr2L	701631	702371	.	741	Time	Up	0.962248141747451	-1.82080910449801	-0.277258572710275	2.07801337759424	0.775605777952992	1.39329726598172	0.834348290665849	-1.33534168667808
Region129	chr2L	708328	708623	.	296	Toll9	Down	0.244510669510291	-2.51085651026127	-1.04429249898973	2.73033563982013	1.6866792151253	0.870640308121139	1.2621628576895	-2.38012739132282
Region130	chr2L	712746	713077	.	332	Gd7	Up	0.484885560033699	-1.99311128736155	-1.93701722831988	2.82128381290242	2.41117798062517	0.965343258453751	0.317643242067273	-1.9924711352247
Region131	chr2L	713296	713808	.	513	Toll9	Down	1.01353632157984	-3.09836551444081	-1.30629037957187	3.51191105980771	2.11162433487756	1.76247918054075	1.25362275624687	-2.67008499721561
Region132	chr2L	714812	715627	.	816	Toll9	Down	0.865507610432991	-2.79613029851534	-0.707605208434778	3.01133744389381	1.45098361028647	1.54596890914101	1.39148309590268	-2.33746262991836
Region144	chr2L	901304	901796	.	493	Gd7	Up	0.0844514918086891	0.669339004038006	-2.31284986373242	2.40923665275174	2.04806318742623	-0.103619980183134	-1.71689035005329	0.19185354875002
Region147	chr2L	1062414	1062900	.	487	Time	Up	2.42377147854226	-0.775452807951183	-0.575555567548955	2.60907252656781	0.808395847629671	2.5377635799372	-0.711781770235722	0.108072537776306
Region149	chr2L	1066045	1067117	.	1073	Toll9	Down	-1.17891244616105	-1.98422887514208	-0.91058171192027	2.48116058302253	1.38943798519486	-0.639180759278048	1.52247890635963	-2.41853620723093
Region154	chr2L	1118804	1120220	.	1417	Time	Down	-2.70202429201772	1.05485673097823	1.14225284734112	3.11743477314327	-1.43451703723477	-2.87455707920697	0.90454554189561	0.148265086320139
Region164	chr2L	1220933	1221480	.	548	Toll10B	Up	-1.8642118132743	-1.28327186627935	0.667120117960245	2.35947486092199	-0.331306159829302	-1.47079229431006	2.08015760325097	-1.74052807234837
Region171	chr2L	1421442	1422475	.	1034	Gd7	Up	-0.408162499465681	-1.63465252247741	-1.74989912259562	2.42916290817901	2.11773892192789	0.0115754027037478	0.51231565854057	-1.97128768524926
Region172	chr2L	1425865	1426627	.	763	Gd7	Up	1.37133200307748	-0.575299844808253	-2.53580212946149	2.93969621115555	2.62217331534467	1.45685767495991	-1.42420331446813	-0.488424891190696
Region174	chr2L	1432267	1432756	.	490	Toll10B	Up	0.199107416365386	-1.85620957443536	0.784949155895637	2.02516738192636	-0.251823413113953	0.671115495680113	1.71767627822626	-1.45248526053124
Region177	chr2L	1461859	1462731	.	873	Toll9	Up	2.76290833970469	1.32407840471954	0.723506173582798	3.14806405568038	-1.00183458696611	2.33799549608778	-1.77570761160212	2.38684288320173
Region178	chr2L	1463216	1463874	.	659	Toll9	Down	0.827923632359045	-2.37045822561288	-1.03510176410033	2.71587286197973	1.65088959226238	1.39895274930798	0.919190719331981	-2.02973561412534
Region180	chr2L	1485782	1486395	.	614	Gd7	Up	-0.672605180808198	0.934356682152551	-2.09250682234696	2.38830587243379	1.7503551940271	-0.901848447135078	-1.4911370478993	0.186552849951805
Region185	chr2L	1517079	1517344	.	266	Time	Down	-2.12124760117917	0.441555817097259	-0.893480310742248	2.34370859767269	0.701655972072939	-2.16923859662088	0.0909706970227782	-0.578423299983161
Region186	chr2L	1517660	1518466	.	807	Time	Down	-2.55271207262282	-0.55236161009636	-1.85612425223267	3.20415972038673	1.88830240093369	-2.33878372122474	0.52997338024336	-1.82710774174496
Region187	chr2L	1525084	1525528	.	445	Time	Down	-2.34221071180313	0.534485849043711	-0.095975015126647	2.40433719449703	-0.0953701921892303	-2.40160997974278	0.518158086853668	-0.424549558959303
Region188	chr2L	1556712	1557004	.	293	Time	Up	1.83385810362427	-0.875997914223732	-1.60461313797379	2.58943839712606	1.81527518760963	1.98661902645605	-0.915105665576228	-0.405313988145395
Region196	chr2L	1679686	1680314	.	629	Toll10B	Up	-1.8291579846188	-1.35705508241039	1.19967220293798	2.57422431499134	-0.823521178903544	-1.41474089026909	2.39228099263578	-1.69131807754111
Region199	chr2L	1723682	1723924	.	243	Toll10B	Up	0.833518325876702	-2.16771690194445	1.48905378508553	2.75880962399102	-0.833956697516105	1.36840560886249	2.04818036322535	-1.35763941441889
Region209	chr2L	1886347	1887109	.	763	Toll9	Down	0.102983923133704	-3.058040268858	-1.43412810318227	3.37919212101329	2.20683805021027	0.871003982442676	1.53537295091671	-3.00409155048573
Region210	chr2L	1909758	1910157	.	400	Toll10B	Up	0.516693401011738	-1.99578427278387	0.912565688892697	2.25452945660169	-0.331151090141604	1.01459639030603	1.75636710958569	-1.43354063668971
Region212	chr2L	1958057	1958770	.	714	Time	Down	-2.40165220418712	-0.640353445078608	-0.429963127780037	2.52246984833343	0.541695636137549	-2.16135639440562	1.25943334573709	-1.57444475173962
Region220	chr2L	2013757	2014279	.	523	Gd7	Up	-0.813579945200156	-0.832225227215204	-1.8109916275438	2.15271963596727	1.95274504019633	-0.585568247717068	0.0436423152598712	-1.41105158762003
Region224	chr2L	2130235	2130650	.	416	Time	Up	2.13603885145094	0.11009843619154	1.21559535987112	2.46017392057957	-1.16018339094341	2.04477400233065	-0.349506725974372	1.14524157071257
Region231	chr2L	2172213	2172892	.	680	Gd7	Up	-1.32541293979247	-1.49179969564467	-2.34665897059026	3.08042109412765	2.63668656557696	-0.915472457002342	0.480878699906212	-2.30546253676981
Region232	chr2L	2175334	2175820	.	487	Toll9	Down	0.880176114108974	-1.86317086728277	-0.225282339046411	2.07288875842999	0.735445177604915	1.32507987303778	0.926763129429532	-1.3948229866978
Region234	chr2L	2181426	2182501	.	1076	Time	Up	2.1513381138135	-1.61237654957861	0.301052223669035	2.70529966158163	0.184830779372542	2.49341650746279	0.478684693041416	-0.583644914066371
Region235	chr2L	2182760	2183435	.	676	Time	Up	2.66887227745159	-1.89629589208221	-0.0740083688824139	3.27479687650122	0.632125131798913	3.06391429432151	0.287704218545531	-0.716244375735724
