# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "gbc" "-g" "transcript_id" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/PolII-PROseq.counts.cds.txt" "./ChIP-nexus/mapped/bam_dm6/Input_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped/bam_dm6/PolII_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep2.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep1.dm6.bowtie2.sorted.bam" "./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep2.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP-nexus/mapped/bam_dm6/Input_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped/bam_dm6/PolII_Toll10b_Levine_R1_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/Input_g7_Levine_rep2.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep1.dm6.bowtie2.sorted.bam	./ChIP-nexus/mapped2/bam_dm6/PolII_g7_Levine_rep2.dm6.bowtie2.sorted.bam
FBtr0347010	211000022280328	7486	9027	-	1542	0	0	0	0	0	0
FBtr0078171	2L	9939	18070	-	8132	0	0	0	0	0	0
FBtr0330655	2L	9939	20876	-	10938	587	3898	306	704	8601	8742
FBtr0113008	2L	21923	24655	-	2733	696	245	406	1143	956	909
FBtr0309229	2L	25502	58768	-	33267	0	0	0	0	0	0
FBtr0309226	2L	25502	64904	-	39403	1164	299	736	2013	1166	1035
FBtr0306539	2L	66982	71290	+	4309	111	540	71	183	1193	1328
FBtr0306536	2L	67543	70981	+	3439	0	0	0	0	0	0
FBtr0306537	2L	67543	71290	+	3748	0	0	0	0	0	0
FBtr0306540	2L	72257	76111	+	3855	178	184	123	306	574	504
FBtr0078101	2L	72887	76111	+	3225	0	0	0	0	0	0
FBtr0331680	2L	73985	76111	+	2127	0	0	0	0	0	0
FBtr0301733	2L	74629	76111	+	1483	0	0	0	0	0	0
FBtr0306541	2L	76848	77683	+	836	220	83	109	335	578	511
FBtr0290323	2L	82521	86887	-	4367	72	241	36	67	1564	937
FBtr0330637	2L	83084	86887	-	3804	0	0	0	0	0	0
FBtr0078103	2L	95239	101986	+	6748	1571	1739	991	2616	6234	6267
FBtr0330636	2L	102880	104042	+	1163	391	449	231	725	1106	1282
FBtr0301452	2L	104062	106232	-	2171	564	774	340	972	2343	2547
FBtr0089437	2L	107403	114332	+	6930	172	932	99	287	2535	2849
FBtr0089429	2L	108261	114332	+	6072	0	0	0	0	0	0
FBtr0308091	2L	108261	111237	+	2977	0	0	0	0	0	0
FBtr0089428	2L	108261	114110	+	5850	0	0	0	0	0	0
FBtr0089432	2L	108437	114110	+	5674	0	0	0	0	0	0
FBtr0089430	2L	108437	114332	+	5896	0	0	0	0	0	0
FBtr0089433	2L	108589	114332	+	5744	0	0	0	0	0	0
FBtr0089434	2L	108633	114332	+	5700	0	0	0	0	0	0
FBtr0089436	2L	110094	114110	+	4017	0	0	0	0	0	0
FBtr0330639	2L	115226	155930	+	40705	3004	3532	1889	5384	10254	9968
FBtr0078160	2L	115465	115988	-	524	0	0	0	0	0	0
FBtr0100307	2L	117070	120131	-	3062	0	0	0	0	0	0
FBtr0078156	2L	117179	121254	-	4076	0	0	0	0	0	0
FBtr0078158	2L	117179	120242	-	3064	0	0	0	0	0	0
FBtr0078157	2L	117179	120131	-	2953	0	0	0	0	0	0
FBtr0100310	2L	117274	120131	-	2858	0	0	0	0	0	0
FBtr0078153	2L	122724	130291	-	7568	0	0	0	0	0	0
FBtr0100379	2L	122724	128745	-	6022	0	0	0	0	0	0
FBtr0300568	2L	132577	133895	+	1319	0	0	0	0	0	0
FBtr0078114	2L	132577	134372	+	1796	0	0	0	0	0	0
FBtr0302194	2L	138484	140492	-	2009	0	0	0	0	0	0
FBtr0346127	2L	138484	139088	-	605	0	0	0	0	0	0
FBtr0302195	2L	139546	140492	-	947	0	0	0	0	0	0
FBtr0300987	2L	141177	142591	-	1415	0	0	0	0	0	0
FBtr0330644	2L	141177	142072	-	896	0	0	0	0	0	0
