geneID	Chr	Start	End	Strand	Length	factor	direction	Gd7	Time	Toll10b	Toll9
Region53	chr2L	224	6008	.	5785	Toll10b	Up	-0.308736240267261	0.24789454633797	0.597126956332909	-0.43385789324468
Region54	chr2L	18442	18705	.	264	Gd7	Down	-1.72511190911402	0.484293977945286	1.67207559027441	-0.0511954680070521
Region55	chr2L	27035	27519	.	485	Time	Down	0.86032550055616	-1.78117433716247	-1.03577674417018	0.313384739990491
Region56	chr2L	28009	29052	.	1044	Toll10b	Down	1.53804743694947	-1.58105520089969	-2.44249803771083	1.40254886269862
Region57	chr2L	35512	35929	.	418	Toll9	Down	1.55780339908227	-0.809757076767706	-0.196172590507928	-1.8267869108779
Region58	chr2L	66674	67518	.	845	Toll9	Down	0.302872248350237	0.180741673139023	0.187141533147139	-0.67635672726166
Region59	chr2L	89189	89518	.	330	Gd7	Up	3.67575930047451	-2.23163556097492	-1.99467320362527	-2.12655184312009
Region60	chr2L	90106	90445	.	340	Toll9	Down	-0.591933456491584	-1.86082502159591	2.94526188974754	-3.398689530589
Region61	chr2L	91221	91973	.	753	Time	Down	2.18453016286647	-2.75947601298476	-0.498056020847672	-2.24385150430051
Region62	chr2L	102167	102646	.	480	Gd7	Up	0.942114259699651	-0.422524928378467	-0.287012664350962	-0.864735381395128
Region63	chr2L	107736	108386	.	651	Toll9	Down	0.284054228257287	0.00665811598685353	0.300481103570865	-0.812500874412355
Region64	chr2L	114532	114855	.	324	Time	Down	0.527642375265752	-1.23930464852848	-0.324832101150792	-0.250363669244856
Region65	chr2L	155063	155938	.	876	Toll9	Down	0.218885438678766	-0.174418710313908	-0.0225984577331243	-0.263759529954458
Region66	chr2L	158885	159311	.	427	Time	Up	0.0336016816731847	0.147766252381841	-0.0821854861833412	0.071736701510089
Region67	chr2L	160417	162272	.	1856	Time	Up	0.0450043965187909	1.45304962876167	0.345982999587343	-0.554128696324961
Region68	chr2L	165473	165923	.	451	Toll9	Up	-0.245525164268715	0.558172259193286	-0.848191215122038	1.54128053305905
Region69	chr2L	166163	167088	.	926	Toll10b	Down	0.764451349116768	0.270560777130543	-1.00524831172894	0.399501608405526
Region70	chr2L	207184	207645	.	462	Time	Down	0.331699152308149	-0.534754669301716	-0.116875412718881	-0.281894925596141
Region71	chr2L	220420	220886	.	467	Time	Up	0.249319727551949	0.375297466496526	-0.133770110007881	-0.146413822375313
Region72	chr2L	221620	224740	.	3121	Time	Down	0.0344353372824208	-0.356764174959612	0.205128436768359	-0.339018564781966
Region73	chr2L	224978	225429	.	452	Time	Down	0.6045167104262	-1.2631638766481	-0.0331492268626857	-0.770170587113319
