seqnames	start	end	width	strand	geneID	Chr	ATAC_Start	ATAC_End	Strand	Length	ATAC_factor	ATAC_direction	ATAC_Gd7	ATAC_Time	ATAC_Toll10b	ATAC_Toll9	PRO_Gd7	PRO_Toll10b	PRO_Toll9	PRO_Time	CBP_Gd7	CBP_Toll10b	CBP_Toll9	K27ac_geneID	K27ac_Chr	K27ac_Start	K27ac_End	K27ac_Strand	K27ac_Length	K27ac_factor	K27ac_direction	K27ac_Gd7	K27ac_Toll10b	K27ac_Toll9	enhancerID	enhancerGenotype	insituID	inSituLocation	inSituScore	geneID_unique	enhancer	inSitu	PC1	PC2	PC3	PC4	PC5	distance5	distance4	distance3	distance2	distance1
chr2L	18442	18705	264	*	Region54	chr2L	18442	18705	.	264	Gd7	Down	-1.72511190911402	0.484293977945286	1.67207559027441	-0.0511954680070521	-0.268026785127851	0.691500197216593	-0.588355544597988	0.511743241646802	-1.71523967892354	1.7946766297055	0.253709332082303	Region1	chr2L	17384	18681	.	1298	Toll10b	Up	-0.651803224523698	1.03540250159752	-0.567470590350509	None	None	region 6896	ubiquitous	4	Region54	0	0	-3.36862276312384	-0.600755905026526	0.0708247860987477	0.24143692709758	-1.01066029733658	3.57676797603158	3.43101077202515	3.42250538757593	3.42177249063411	3.36862276312384
chr2L	18442	18705	264	*	Region54	chr2L	18442	18705	.	264	Gd7	Down	-1.72511190911402	0.484293977945286	1.67207559027441	-0.0511954680070521	-0.268026785127851	0.691500197216593	-0.588355544597988	0.511743241646802	-1.71523967892354	1.7946766297055	0.253709332082303	Region1	chr2L	17384	18681	.	1298	Toll10b	Up	-0.651803224523698	1.03540250159752	-0.567470590350509	None	None	region 6897	ubiquitous	3	Region54.1	0	0	-3.36862276312384	-0.600755905026526	0.0708247860987477	0.24143692709758	-1.01066029733658	3.57676797603158	3.43101077202515	3.42250538757593	3.42177249063411	3.36862276312384
chr2L	27035	27519	485	*	Region55	chr2L	27035	27519	.	485	Time	Down	0.86032550055616	-1.78117433716247	-1.03577674417018	0.313384739990491	1.1791113735931	-1.49920954607225	0.418145911962778	-4.14903576277666	0.594529634194259	-0.895789192031403	0.278347797575174	Region3	chr2L	26270	27063	.	794	Gd7	Up	1.21298871631233	-0.219887267412629	-0.857662469932014	None	None	region 6902	procephalic_ectoderm_AISN	4	Region55	0	0	3.73821852331665	-1.16160069696472	-3.25571431118849	-0.257981621061831	-1.27158480609109	5.25421278777531	5.09802158686483	5.09148991782701	3.91453623144002	3.73821852331665
chr2L	27035	27519	485	*	Region55	chr2L	27035	27519	.	485	Time	Down	0.86032550055616	-1.78117433716247	-1.03577674417018	0.313384739990491	1.1791113735931	-1.49920954607225	0.418145911962778	-4.14903576277666	0.594529634194259	-0.895789192031403	0.278347797575174	Region4	chr2L	27347	29393	.	2047	Gd7	Up	1.01261128436612	-0.6219088547716	-0.224546553515156	None	None	region 6902	procephalic_ectoderm_AISN	4	Region55.1	0	0	3.82981827027719	-0.626520175903956	-3.09724298854891	-0.774860219647763	-1.30085313608299	5.19091291450055	5.02527193336556	4.96517367715159	3.88072615810027	3.82981827027719
chr2L	28009	29052	1044	*	Region56	chr2L	28009	29052	.	1044	Toll10b	Down	1.53804743694947	-1.58105520089969	-2.44249803771083	1.40254886269862	1.08741632225848	-2.00518628321349	1.2613197265297	-2.59723767699369	1.07167595768528	-1.78414342656264	0.728461084368706	Region4	chr2L	27347	29393	.	2047	Gd7	Up	1.01261128436612	-0.6219088547716	-0.224546553515156	None	None	None	None	-1	Region56	0	0	4.9923530733506	0.508527722629259	-2.41550696768123	0.661283115836459	0.244688198235446	5.61373594304527	5.6084007456567	5.56927854973984	5.01818589269824	4.9923530733506
chr2L	91221	91973	753	*	Region61	chr2L	91221	91973	.	753	Time	Down	2.18453016286647	-2.75947601298476	-0.498056020847672	-2.24385150430051	2.25780713487403	-0.548938597720173	-2.46513915292944	-1.23749431806712	3.56952909647206	-2.52060278531388	-2.15282952061508	Region8	chr2L	88477	91752	.	3276	Toll9	Down	3.22634859960356	2.08974456030251	-5.27978483480492	None	None	None	None	-1	Region61	0	0	4.13066170407954	-8.42998081968095	-1.86650485897894	0.324239498576635	1.36587956282916	9.6737552871117	9.57684260989848	9.57135220971049	9.38759515178077	4.13066170407954
chr2L	114532	114855	324	*	Region64	chr2L	114532	114855	.	324	Time	Down	0.527642375265752	-1.23930464852848	-0.324832101150792	-0.250363669244856	1.28848338336128	-0.402385680336437	-1.28145135548032	-0.0993948628547686	0.03195358754447	0.421817765731251	-0.61392386319605	Region13	chr2L	114663	115221	.	559	Toll9	Down	-0.0610073248531477	1.21794710888824	-1.30992468627764	None	None	None	None	-1	Region64	0	0	0.326733081098643	-2.41237815237863	-1.15729073306507	-0.277876235217908	0.887204342993253	2.85131398578291	2.70977118947248	2.69548598534592	2.43440400434233	0.326733081098643
chr2L	278601	279126	526	*	Region81	chr2L	278601	279126	.	526	Time	Down	-0.112748214220932	-3.67344202369131	-0.326463581899932	0.617903245556172	0.282936250895585	-0.624414830438662	0.472616764562952	-2.48631280107714	0.412414878871272	-0.605574196323233	0.171916457197814	Region27	chr2L	276759	281526	.	4768	Toll9	Up	-0.151049470745679	-0.0578009940795805	0.202301669390373	None	None	None	None	-1	Region81	0	0	1.9324560959815	0.161583644063223	-3.78047728298805	-1.02921206928064	-0.970372010908162	4.47810268386293	4.37170239239434	4.24882387539346	1.93919979293646	1.9324560959815
chr2L	282210	283269	1060	*	Region82	chr2L	282210	283269	.	1060	Time	Down	1.63861760829829	-2.38920361483563	-1.04436830514216	-0.726778474950124	0.59510766511992	-0.889976336806761	0.398557317645665	-1.4994150263426	0.20248686413975	-0.286740752142012	0.0702453202287381	Region28	chr2L	281834	283704	.	1871	Toll10b	Down	0.88693911311431	-0.901435539482003	0.203234342965298	None	None	region 6919	None	0	Region82	0	0	2.95857587130828	-0.528749537572082	-1.66559488888178	-1.09791674511883	-0.172214751253879	3.61137545727402	3.60726693950582	3.43612479308295	3.00545292090397	2.95857587130828
chr2L	441747	442435	689	*	Region99	chr2L	441747	442435	.	689	Toll10b	Down	2.06477493428863	-0.0545042318444488	-2.69652827365622	1.0524789623467	0.807899646420301	-0.954157001959005	0.18372949411123	0.130529682031427	0.256893377973417	-1.32260059786952	1.37216440943687	Region39	chr2L	441220	442900	.	1681	Gd7	Up	3.09853750927607	-2.51573722795323	-0.000160974518060881	region 5	Gd7	None	None	-1	Region99	1	0	4.99284007365145	0.422003136762653	1.8209453482926	0.927775106506351	-0.414016390695308	5.42720525040126	5.41139051060064	5.33126444757393	5.01064253848719	4.99284007365145
chr2L	517544	519906	2363	*	Region112	chr2L	517544	519906	.	2363	Gd7	Up	3.86673917419218	-0.989517225093821	-1.78688696763722	-2.6810403530439	1.88514081668435	-0.570749919747228	-1.90012648109417	-0.469529071359716	3.72819208606428	-2.20025481290977	-2.8271227332241	Region42	chr2L	519452	520494	.	1043	Gd7	Up	5.16596713877854	-1.95260462003891	-2.51347535105449	region 10	Gd7	None	None	-1	Region112	1	0	6.83215208792363	-6.36845568266967	1.90013171942353	-1.29833972264709	0.818316430716073	9.65408505773538	9.61934075294194	9.53131840228865	9.33999624917734	6.83215208792363
chr2L	544313	544788	476	*	Region118	chr2L	544313	544788	.	476	Toll9	Down	0.22968133244603	-0.00503083112218647	0.150692201900517	-0.525421043586205	0.462431913312598	-0.0734497997496864	-0.559726510055913	-0.542078831227553	0.261598384206781	-0.209941220798326	-0.124031771779513	Region44	chr2L	542993	544648	.	1656	Gd7	Up	4.83511103267121	-2.09284777767867	-2.0550688148159	None	None	region 6926	None	0	Region118	0	0	2.89613201586332	-2.99946779505234	1.95933417029076	0.953169800459854	-3.08761792679366	5.62719248187761	4.70445647936532	4.60688377297861	4.16945892255394	2.89613201586332
chr2L	544313	544788	476	*	Region118	chr2L	544313	544788	.	476	Toll9	Down	0.22968133244603	-0.00503083112218647	0.150692201900517	-0.525421043586205	0.462431913312598	-0.0734497997496864	-0.559726510055913	-0.542078831227553	0.261598384206781	-0.209941220798326	-0.124031771779513	Region44	chr2L	542993	544648	.	1656	Gd7	Up	4.83511103267121	-2.09284777767867	-2.0550688148159	None	None	region 6927	None	0	Region118.1	0	0	2.89613201586332	-2.99946779505234	1.95933417029076	0.953169800459854	-3.08761792679366	5.62719248187761	4.70445647936532	4.60688377297861	4.16945892255394	2.89613201586332
chr2L	867041	868514	1474	*	Region141	chr2L	867041	868514	.	1474	Toll10b	Down	0.689644230739746	0.188375864661698	-1.22337313338448	0.811640344784111	1.20714796552524	-1.5903539540012	0.50614929332801	-0.175576851197218	0.135399809044663	-0.326240047812322	0.226955337061764	Region57	chr2L	867769	868380	.	612	Gd7	Up	1.6148022681627	-1.2758858769881	-0.0395360956194257	None	None	None	None	-1	Region141	0	0	3.01561344959043	0.079498564502154	0.667623540463965	0.674742836757434	-0.258808207935371	3.17304668656804	3.16247428236906	3.08965462323708	3.01666115086011	3.01561344959043
