geneID	Chr	ATAC_Start	ATAC_End	ATAC_factor	ATAC_direction	enhancerID	insituID	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	Enhancer_Time	Background
Region54	chr2L	18442	18705	Gd7	Down	None	region 6896	-4.12741702820668	5.38913134267253	-0.982533334066082	0.994393466845742	No
Region54	chr2L	18442	18705	Gd7	Down	None	region 6897	-4.12741702820668	5.38913134267253	-0.982533334066082	0.994393466845742	No
Region55	chr2L	27035	27519	Time	Down	None	region 6902	3.78761445706479	-4.03032412678934	0.115076518144742	-5.92898838669508	No
Region55	chr2L	27035	27519	Time	Down	None	region 6902	3.5833052978455	-4.45345418779947	0.76031795238577	-5.92898838669508	No
Region56	chr2L	28009	29052	Toll10b	Down	None	None	4.15977383090231	-7.19180354543802	3.1419804652361	-4.17711631044746	No
Region58	chr2L	66674	67518	Toll9	Down	None	None	-0.361404068062313	1.89724807606592	-1.75534201750905	0.800230895363893	Yes
Region61	chr2L	91221	91973	Time	Down	None	None	11.8342399842173	-0.836202699573896	-12.2603606348272	-3.99463531063841	No
Region62	chr2L	102167	102646	Gd7	Up	None	None	1.78270272890077	0.2113905076345	-2.57371793697049	-0.167393127798732	Yes
Region63	chr2L	107736	108386	Toll9	Down	None	None	-0.181390872927118	2.42652002503657	-2.28403109241671	0.489942121638416	Yes
Region64	chr2L	114532	114855	Time	Down	None	None	1.96682586044167	1.35674054609547	-3.49990569405381	-1.33817669015861	No
Region70	chr2L	207184	207645	Time	Down	None	None	1.23465153665287	-0.95188389610769	-0.2463042692353	-0.464376419178764	Yes
Region71	chr2L	220420	220886	Time	Up	None	None	0.862051687848889	-1.62773856394088	0.660437922691295	-0.364918658291936	Yes
Region71	chr2L	220420	220886	Time	Up	None	None	0.27064569478732	-1.48626746582713	1.04645557341862	-0.364918658291936	Yes
Region72	chr2L	221620	224740	Time	Down	None	None	-0.091896314169552	-0.622424965849391	0.559118370039293	-0.94397133629538	Yes
Region72	chr2L	221620	224740	Time	Down	None	None	0.485152279927717	-0.17956618545951	-0.447507918079725	-0.94397133629538	Yes
Region73	chr2L	224978	225429	Time	Down	None	None	1.67849178487465	-1.47115067829001	-0.522702239767583	-1.67061775749234	Yes
Region74	chr2L	246472	247148	Toll9	Up	None	region 6917	-0.0773573978392174	-1.76277399693876	1.82008692325855	-0.466786425341754	Yes
Region74	chr2L	246472	247148	Toll9	Up	None	region 6917	-0.110712013340282	-0.981899636420095	1.00365425060771	-0.466786425341754	Yes
Region75	chr2L	247430	247810	Time	Down	None	region 6917	-0.586713346582692	0.1810278842051	0.50135268922803	-0.699120014076597	Yes
Region76	chr2L	248757	249585	Toll9	Down	None	None	0.298373357566381	0.431183360426815	-1.08387282938188	-0.501485666844665	Yes
Region77	chr2L	249822	251232	Toll10b	Down	None	region 6918	-0.045635863091891	0.328324195185274	-0.183253687901879	-0.074781485155375	Yes
Region78	chr2L	252153	252470	Toll9	Down	None	None	0.744611687128519	-0.587861292462966	0.061178089279289	0.935492323987156	Yes
Region79	chr2L	273416	273935	Toll10b	Down	None	None	-0.236914021527234	2.03338061821687	-1.36315215826335	0.359908481724893	Yes
Region80	chr2L	277007	278241	Time	Down	None	None	-0.587792145310925	0.0549962671157506	0.691846283388163	-1.12656393150333	Yes
Region81	chr2L	278601	279126	Time	Down	None	None	0.392495380436223	-1.91465122801626	1.44996585792374	-6.15619436705915	No
Region82	chr2L	282210	283269	Time	Down	None	region 6919	3.14904882865114	-3.29386443586098	-0.0690775042525699	-3.88653407877876	No
Region84	chr2L	285460	285868	Time	Up	None	region 6920	1.84539408366293	-2.15663927573359	0.589032328459487	2.40105387915507	Yes
Region84	chr2L	285460	285868	Time	Up	None	region 6921	1.84539408366293	-2.15663927573359	0.589032328459487	2.40105387915507	Yes
Region85	chr2L	294945	295369	Toll9	Down	None	None	-0.110359380614751	1.57407487618793	-1.58789382082378	-0.014385403016497	Yes
Region86	chr2L	297698	298334	Time	Up	None	None	-0.467628558076043	0.520610742513532	0.156851556049483	1.46459456261054	Yes
Region95	chr2L	414404	415407	Time	Up	None	None	-1.3376724799987	0.808961143720192	0.816072823461151	0.583952446955272	Yes
Region96	chr2L	419855	420262	Time	Up	None	None	-0.999879763241295	1.47456238018679	-0.14151396976947	0.834781343020229	Yes
Region97	chr2L	421221	421676	Time	Up	None	None	0.634855819646231	0.543682880727373	-0.990710027075946	0.401754066655687	Yes
Region98	chr2L	430887	431959	Toll10b	Down	None	None	0.105705333901956	-0.0537499803285488	-0.0835883106934607	0.623620329564677	Yes
Region99	chr2L	441747	442435	Toll10b	Down	region 5	None	5.96319087546783	-7.48963900576529	2.58634396084156	0.0753237752905893	No
Region100	chr2L	452821	453223	Time	Up	None	None	-1.66568672310146	1.58929092466159	0.189201224290004	1.66949120493775	Yes
Region100	chr2L	452821	453223	Time	Up	None	None	-1.37461589727996	1.29645698205173	0.241282815564341	1.66949120493775	Yes
Region112	chr2L	517544	519906	Gd7	Up	region 10	None	15.0608891262331	-6.11822429577663	-9.99134826303761	-1.45874197828695	No
Region117	chr2L	542147	542633	Toll9	Down	None	region 6925	0.364062589020896	1.06837752510785	-1.39596703890644	-0.023733658276498	Yes
Region118	chr2L	544313	544788	Toll9	Down	None	region 6926	6.03226634591149	-2.24023027980793	-3.323352974319	-0.548136399136821	No
