geneID	Chr	Start	End	ATACseq_Geneid	ATACseq_Start	ATACseq_End	SYMBOL	SYMBOL_unique	annotation	factor	direction	PPC_factor	PPC_direction	ATACseq_factor	ATACseq_direction	CBP_factor	CBP_direction	K27ac_Geneid	K27ac_factor	K27ac_direction	PROseq_Time	PROseq_Gd7	PROseq_Toll10b	PROseq_Toll9	PPC_Time	PPC_Gd7	PPC_Toll10b	PPC_Toll9	ATACseq_Time	ATACseq_Gd7	ATACseq_Toll10b	ATACseq_Toll9	CBP_Gd7	CBP_Toll10b	CBP_Toll9	K27ac_Gd7	K27ac_Toll10b	K27ac_Toll9	hclust	PC1	PC2	tsne1	tsne2	umap1	umap2	kmeans_UMAP	ATAC_NC_PC2	MoreOpenInNC13	NaiveState	log2FoldChange	padj
FBgn0000137	X	461247	463076	Region17255	474703	482749	ase	ase	This	Gd7	Down	Gd7	Down	Toll9	Up	Toll9	Up	Region4819	Toll9	Up	2.06822332487572	-4.24141935505992	2.57245339159992	2.26131940327448	1.83891337155995	-4.74637359417483	2.35862424379748	2.79407850936431	0.137368086971381	-0.139532449074203	-0.512164506874753	0.867042939832761	-0.328363583100175	0.0184313354771085	0.452643960612142	-1.31534122924325	-0.397340508795097	1.64404912942243	10	-3.63133916795258	5.14442094984997	4.78439541717312	-10.4240259353695	-3.86784468089428	0.610607461612098	2	0.519059443944037	FALSE	FALSE	-0.273943413398796	0.287813613152654
FBgn0000157	2R	24815322	24834502	Region7377	24796194	24799533	Dll	Dll	Roshan & This	Gd7	Up	Gd7	Up	Toll10b	Down	Toll10b	Down	Region2217	Toll9	Up	-0.187084275612828	6.45899854608194	-4.83219973339618	-2.19610613181756	-0.515389617554811	1.78087280271511	-1.24176782138622	-0.472231519572488	0.201297289878512	0.223514505669552	-0.396034019170876	0.270955684708344	0.596275781717919	-0.715322110861324	0.112142519152633	-0.324405890871326	-1.22012696615235	1.66341013667624	1	8.39214410180455	-2.82905508155529	-2.6353762485003	14.8224726414832	2.64904692110402	1.63458764765091	5	1.00421839236416	FALSE	TRUE	-0.22524965087296	0.0150381955810035
FBgn0000395	2R	21355115	21378964	Region6756	21363349	21365401	cv-2	cv.2	Roshan & This	Gd7	Up	Gd7	Up	Gd7	Up	Gd7	Up	Region1990	Gd7	Up	-1.52698576439372	8.33961633635676	-6.12614256528664	-2.9896508047406	-0.357056201283015	1.66318446978712	-1.64514190011459	0.342821107236931	0.422032843180415	1.85866619221777	-1.60070606457857	-0.0563351984385096	2.19450877881573	-1.8200543833029	-0.700473907182228	2.76690140835065	-0.650894203918354	-1.79170538127054	3	11.5165622398491	-5.91297359623086	-1.96456563052363	10.4620421277333	2.78547646114464	4.25875685405619	5	-1.45825151219916	TRUE	FALSE	0.10851442482652	0.564269700541432
FBgn0000395	2R	21355115	21378964	Region6756	21363349	21365401	cv-2	cv.2.1	Roshan & This	Gd7	Up	Gd7	Up	Gd7	Up	Gd7	Up	Region1991	Toll9	Down	-1.52698576439372	8.33961633635676	-6.12614256528664	-2.9896508047406	-0.357056201283015	1.66318446978712	-1.64514190011459	0.342821107236931	0.422032843180415	1.85866619221777	-1.60070606457857	-0.0563351984385096	2.19450877881573	-1.8200543833029	-0.700473907182228	2.36680466668736	0.338268977464641	-2.53598763545094	3	11.1214115807698	-6.20270479958727	-2.44924290083638	10.8925732178531	2.863152079358	4.33227154825003	5	-1.45825151219916	TRUE	FALSE	0.10851442482652	0.564269700541432
FBgn0000395	2R	21355115	21378964	Region6756	21363349	21365401	cv-2	cv.2.2	Roshan & This	Gd7	Up	Gd7	Up	Gd7	Up	Gd7	Up	Region1992	Gd7	Up	-1.52698576439372	8.33961633635676	-6.12614256528664	-2.9896508047406	-0.357056201283015	1.66318446978712	-1.64514190011459	0.342821107236931	0.422032843180415	1.85866619221777	-1.60070606457857	-0.0563351984385096	2.19450877881573	-1.8200543833029	-0.700473907182228	3.92057925524253	-1.74395457078089	-1.61766204425083	3	12.0784998272022	-5.91251097217573	-1.42782619820458	9.80331655717004	2.76962543405785	4.21190964527834	5	-1.45825151219916	TRUE	FALSE	0.10851442482652	0.564269700541432
FBgn0000395	2R	21355115	21378964	Region6757	21366082	21370512	cv-2	cv.2.3	Roshan & This	Gd7	Up	Gd7	Up	Gd7	Up	Gd7	Up	Region1993	Gd7	Up	-1.52698576439372	8.33961633635676	-6.12614256528664	-2.9896508047406	-0.357056201283015	1.66318446978712	-1.64514190011459	0.342821107236931	-1.48874939139149	2.28066054481864	-1.71482317274807	-0.40930752717424	5.00082612517615	-3.66665303805112	-2.2549977173395	4.60810864486463	-1.9424414977218	-2.02167317468512	3	13.1728437777479	-7.00921979607255	-18.1425614434605	-11.7655789352792	3.35176812802651	4.27109505285758	5	-1.44603934348823	TRUE	FALSE	0.121571903558535	0.40757833197867
FBgn0000395	2R	21355115	21378964	Region6757	21366082	21370512	cv-2	cv.2.4	Roshan & This	Gd7	Up	Gd7	Up	Gd7	Up	Gd7	Up	Region1994	Gd7	Up	-1.52698576439372	8.33961633635676	-6.12614256528664	-2.9896508047406	-0.357056201283015	1.66318446978712	-1.64514190011459	0.342821107236931	-1.48874939139149	2.28066054481864	-1.71482317274807	-0.40930752717424	5.00082612517615	-3.66665303805112	-2.2549977173395	5.13157863195866	-2.80689441414504	-1.52961948263366	3	13.5487785907154	-6.83411200423333	-18.8687716560593	-12.4219398632744	3.20388928122627	4.30548709616651	5	-1.44603934348823	TRUE	FALSE	0.121571903558535	0.40757833197867
FBgn0000395	2R	21355115	21378964	Region6757	21366082	21370512	cv-2	cv.2.5	Roshan & This	Gd7	Up	Gd7	Up	Gd7	Up	Gd7	Up	Region1995	Gd7	Up	-1.52698576439372	8.33961633635676	-6.12614256528664	-2.9896508047406	-0.357056201283015	1.66318446978712	-1.64514190011459	0.342821107236931	-1.48874939139149	2.28066054481864	-1.71482317274807	-0.40930752717424	5.00082612517615	-3.66665303805112	-2.2549977173395	4.71493363573692	-2.50916946815835	-1.48370328527788	3	13.3776885417188	-6.78822581476145	-18.2198071665549	-12.5703938486297	3.16587800467958	4.38721258247863	5	-1.44603934348823	TRUE	FALSE	0.121571903558535	0.40757833197867
FBgn0000490	2L	2455237	2459723	Region408	2446640	2463973	dpp	dpp	Literature & Roshan & This	Gd7	Up	Gd7	Up	Gd7	Up	Gd7	Up	Region135	Gd7	Up	-1.45082930620762	6.48117849718107	-4.76697150423632	-2.31523241262004	-1.40045901776982	3.29861532666164	-2.28680096495044	-0.896098912895267	0.432940370576975	1.61161113434677	-1.56638548389255	0.194642087979375	3.2342091483651	-2.61893596372367	-1.11921102474258	5.52970892335389	-3.52190807067049	-1.0908733911555	3	12.1100466296451	-5.33013983656447	0.416701229846797	6.57272914502852	2.58211719599439	4.06790490737276	5	-0.216894804420209	TRUE	TRUE	-0.184121466072471	0.0418144595014988
FBgn0000490	2L	2455237	2459723	Region408	2446640	2463973	dpp	dpp.1	Literature & Roshan & This	Gd7	Up	Gd7	Up	Gd7	Up	Gd7	Up	Region136	Gd7	Up	-1.45082930620762	6.48117849718107	-4.76697150423632	-2.31523241262004	-1.40045901776982	3.29861532666164	-2.28680096495044	-0.896098912895267	0.432940370576975	1.61161113434677	-1.56638548389255	0.194642087979375	3.2342091483651	-2.61893596372367	-1.11921102474258	6.42549006846789	-3.67912406800922	-1.73092220577428	3	12.3193730223671	-5.65799143591188	0.349337083788263	7.11059192824353	2.54152373863568	4.0234204123021	5	-0.216894804420209	TRUE	TRUE	-0.184121466072471	0.0418144595014988
