EnhancerID	Chr	ATAC_Start	ATAC_End	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	EnhancerDistance	PROseq_Classification	ATACseq_Classification
Region74	chr2L	246472	247148	FBgn0283652	chr2L	251197	252317	4048	Toll9 Down	Toll9 Up
Region75	chr2L	247430	247810	FBgn0283652	chr2L	251197	252317	3386	Toll9 Down	Time Down
Region177	chr2L	1461859	1462731	FBgn0031344	chr2L	1500917	1502628	38185	Time Down	Toll10b Up
Region196	chr2L	1679686	1680314	FBgn0011570	chr2L	1705112	1706224	24797	Toll10b Up	Gd7 Up
Region229	chr2L	2162298	2164218	FBgn0000097	chr2L	2158168	2160491	1806	Time Up	Time Up
Region385	chr2L	4281217	4283806	FBgn0010473	chr2L	4295225	4321061	11418	Gd7 Up	Time Down
Region420	chr2L	4823272	4823506	FBgn0031632	chr2L	4825610	4827569	2103	Time Down	Time Down
Region645	chr2L	7993911	7994651	FBgn0031969	chr2L	7987880	7991480	2430	Time Up	Gd7 Down
Region703	chr2L	8809571	8810598	FBgn0029123	chr2L	8826494	8828776	15895	Toll9 Up	Toll9 Up
Region710	chr2L	8841302	8842999	FBgn0029123	chr2L	8826494	8828776	12525	Toll9 Up	Toll9 Up
Region740	chr2L	9449025	9450175	FBgn0002973	chr2L	9460288	9462275	10112	Time Down	Gd7 Down
Region959	chr2L	12861725	12862254	FBgn0015399	chr2L	12819021	12821660	40064	Toll10b Up	Gd7 Down
Region961	chr2L	12894060	12894580	FBgn0015399	chr2L	12819021	12821660	72399	Toll10b Up	Gd7 Down
Region1030	chr2L	14233360	14233649	FBgn0261563	chr2L	14263721	14327748	30071	Gd7 Down	Gd7 Down
Region1132	chr2L	15654064	15654581	FBgn0010382	chr2L	15728884	15746483	74302	Time Down	Gd7 Down
Region1134	chr2L	15686748	15688180	FBgn0010382	chr2L	15728884	15746483	40703	Time Down	Gd7 Down
Region1136	chr2L	15721743	15723172	FBgn0010382	chr2L	15728884	15746483	5711	Time Down	Gd7 Down
