Geneid	Chr	Start	End	Strand	Length	factor	direction	Gd7	Toll10b	Toll9
Region53	chr2L	224	6008	.	5785	Gd7	Down	-0.242209679003734	0.226041512351943	0.0724752939556986
Region54	chr2L	18442	18705	.	264	Toll10b	Up	-1.74235533602562	1.77840773897221	0.317454252497615
Region55	chr2L	27035	27519	.	485	Toll10b	Down	0.597345685758789	-0.894110157664698	0.271783147627553
Region56	chr2L	28009	29052	.	1044	Toll10b	Down	1.07079616782604	-1.78469924272519	0.730667468740553
Region57	chr2L	35512	35929	.	418	Toll9	Down	0.172158779015067	0.589424495488006	-1.05536190793399
Region58	chr2L	66674	67518	.	845	Gd7	Up	0.303497827649435	-0.134898162076774	-0.289338263520077
Region59	chr2L	89189	89518	.	330	Gd7	Up	4.2442263250166	-2.88958712879014	-2.70373594039146
Region60	chr2L	90106	90445	.	340	Toll10b	Up	-1.56828523539594	6.04047274789587	-5.65596434661815
Region61	chr2L	91221	91973	.	753	Gd7	Up	3.56751424095941	-2.52187786740097	-2.14816203094283
Region62	chr2L	102167	102646	.	480	Toll9	Down	0.280107488468887	0.379005105211283	-0.94088268770697
Region63	chr2L	107736	108386	.	651	Toll9	Up	-0.268987363366282	0.105005411984471	0.275914966808463
Region64	chr2L	114532	114855	.	324	Toll9	Down	0.0156923168517812	0.412043116281281	-0.575732319047535
Region65	chr2L	155063	155938	.	876	Toll10b	Up	-0.104691415379108	0.131302950617805	-0.0136405417496048
Region66	chr2L	158885	159311	.	427	Toll10b	Up	-0.162796023441631	0.35803798275887	-0.227123182414189
Region67	chr2L	160417	162272	.	1856	Toll10b	Up	-0.00770030856483674	0.0157705778978687	-0.00918422873719098
Region68	chr2L	165473	165923	.	451	Toll9	Up	-0.338224221170505	-0.580146562794285	1.30004625085915
Region69	chr2L	166163	167088	.	926	Toll10b	Down	0.430026390692425	-0.68330692869854	0.248707236511789
Region70	chr2L	207184	207645	.	462	Toll10b	Down	0.0575509605312024	-0.216649726700636	0.200842620774133
Region71	chr2L	220420	220886	.	467	Toll10b	Down	0.324169042697403	-0.557655738748057	0.244435536646962
Region72	chr2L	221620	224740	.	3121	Toll10b	Down	0.0816061809923548	-0.229564201832478	0.180883999136708
Region73	chr2L	224978	225429	.	452	Toll10b	Down	0.579540548782046	-1.0069355635836	0.450343225571808
Region74	chr2L	246472	247148	.	677	Toll9	Up	0.0178122556199246	-0.201467910133042	0.242047885636844
Region75	chr2L	247430	247810	.	381	Toll9	Up	-0.140014045095087	-0.0438510860686084	0.275454413244687
Region76	chr2L	248757	249585	.	829	Gd7	Up	0.238988177873076	-0.163186383879819	-0.151606861578965
Region77	chr2L	249822	251232	.	1411	Toll9	Up	-0.137247739434257	0.0483411613337024	0.147790688959515
Region78	chr2L	252153	252470	.	318	Toll9	Up	-0.248596249842874	-0.197129154892091	0.648692551594992
Region79	chr2L	273416	273935	.	520	Toll10b	Up	-0.46016462335425	0.605326150796487	-0.0976857642392587
Region80	chr2L	277007	278241	.	1235	Toll9	Up	-0.248111489882623	-0.069380723373286	0.476976227291189
Region81	chr2L	278601	279126	.	526	Toll10b	Down	0.415614140688641	-0.603660288102111	0.164428991040184
Region82	chr2L	282210	283269	.	1060	Toll10b	Down	0.204177427077348	-0.285728956055982	0.0662856440426059
Region83	chr2L	283860	284182	.	323	Toll10b	Down	0.605037677118923	-0.743942946872427	0.0589055838122504
