# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/H3K4me1.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/H3K4me1.featureCount.count.tab.txt" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_H3K4me1_rep1.dm6.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_H3K4me1_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_H3K4me1_rep1.dm6.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region1	chr2L	18528	18731	.	204	244	968	807	34	84	38	61	11	16	5	52	19
Region2	chr2L	21288	21527	.	240	162	652	896	29	63	47	49	6	9	14	61	27
Region3	chr2L	35523	35917	.	395	572	783	3164	55	114	147	135	5	24	18	67	42
Region4	chr2L	223062	223312	.	251	187	217	529	43	66	130	98	1	14	15	73	41
Region5	chr2L	251011	251170	.	160	119	388	607	43	41	58	58	2	13	9	38	24
Region6	chr2L	295015	295185	.	171	117	796	1014	50	60	44	31	3	11	8	34	26
Region7	chr2L	576910	577082	.	173	90	382	331	20	33	68	36	3	4	1	35	17
Region8	chr2L	821296	821555	.	260	141	494	654	44	85	104	72	2	22	8	68	32
Region9	chr2L	1006599	1006827	.	229	182	383	986	27	74	50	42	3	12	7	24	13
Region10	chr2L	1086765	1086928	.	164	114	497	485	22	39	62	77	4	20	9	37	26
Region11	chr2L	1118189	1118448	.	260	385	1067	2166	31	76	91	100	10	25	12	53	28
Region12	chr2L	1142705	1142957	.	253	334	1320	1952	41	59	117	103	3	11	9	50	22
Region13	chr2L	1410281	1410898	.	618	494	465	1559	95	156	236	232	8	51	23	163	90
Region14	chr2L	1492324	1492601	.	278	238	704	1368	42	69	108	106	1	16	15	58	40
Region15	chr2L	1715813	1715994	.	182	321	1211	2202	23	52	56	82	6	18	6	47	29
Region16	chr2L	1909774	1910060	.	287	390	1012	2188	45	82	94	61	2	15	12	48	36
Region17	chr2L	2037547	2037751	.	205	121	266	362	28	61	98	81	1	13	10	44	28
Region18	chr2L	2724507	2724702	.	196	237	345	1257	25	62	26	32	6	10	3	11	11
Region19	chr2L	2957106	2957311	.	206	115	477	618	31	58	99	62	2	16	8	49	23
Region20	chr2L	3491045	3491242	.	198	129	601	797	25	37	106	68	2	24	9	46	26
Region21	chr2L	3605450	3606038	.	589	263	374	585	72	123	468	246	0	40	23	81	97
Region22	chr2L	3607118	3607413	.	296	370	112	648	34	60	276	113	1	29	15	49	44
Region23	chr2L	4019886	4020050	.	165	97	673	706	25	58	42	39	2	10	4	45	15
Region24	chr2L	4345807	4346066	.	260	338	1182	2273	48	81	60	62	8	19	7	43	32
Region25	chr2L	4454366	4454621	.	256	413	1213	2772	53	90	91	83	5	9	9	59	24
Region26	chr2L	4726135	4726387	.	253	310	580	2033	40	54	63	50	1	16	13	33	34
Region27	chr2L	4810129	4810291	.	163	51	434	446	25	79	54	42	0	12	2	35	10
Region28	chr2L	4852651	4852827	.	177	126	859	787	30	49	71	57	5	14	9	49	18
Region29	chr2L	4893412	4893688	.	277	100	338	229	48	67	116	113	2	28	14	55	69
Region30	chr2L	5009691	5009966	.	276	539	1156	2305	42	67	128	91	7	27	8	68	44
Region31	chr2L	5723962	5724189	.	228	143	973	1322	39	68	46	43	11	16	6	26	14
Region32	chr2L	5771249	5771440	.	192	134	342	275	36	64	34	38	4	10	3	32	13
