seqnames	start	end	width	strand	VTID	Length	Verification.Status	Positive	stg4_6	stg7_8	stg9_10	stg11_12	stg13_14	stg15_16
chr2L	19513955	19514673	719	*	VT10000	718	correct	0	NA	NA	NA	NA	NA	NA
chr2L	19514746	19517179	2434	*	VT10001	2433	correct	0	NA	NA	NA	NA	NA	NA
chr2L	19595123	19597286	2164	*	VT10045	2163	correct	0	NA	NA	NA	NA	NA	NA
chr2L	19608825	19611457	2633	*	VT10053	2632	correct	0	NA	NA	NA	NA	NA	NA
chr2L	19611313	19613535	2223	*	VT10054	2222	correct	0	NA	NA	NA	NA	NA	NA
chr2L	19613002	19615344	2343	*	VT10055	2342	correct	1	NA	NA	NA	NA	NA	anterior_ventral_nerve_cord_subset;2
chr2L	19622726	19624869	2144	*	VT10060	2143	correct	0	NA	NA	NA	NA	NA	lateral_epidermis_subset;1
chr2L	19626254	19628356	2103	*	VT10062	2102	correct	1	NA	NA	NA	NA	ventral_nerve_cord_subset;1|brain_broad;2	ventral_nerve_cord_subset;1|brain_subset;1
chr2L	19627960	19630119	2160	*	VT10063	2159	correct	1	NA	NA	NA	NA	ventral_nerve_cord_broad;1|brain_subset;2	ventral_nerve_cord_subset;3|brain_subset;3
chr2L	19629718	19631896	2179	*	VT10064	2178	correct	1	NA	NA	NA	NA	ventral_nerve_cord_subset;3	ventral_nerve_cord_subset;3|brain_subset;1
chr2L	19631392	19633594	2203	*	VT10065	2202	correct	1	NA	anterior_endoderm_anlage;3	anterior_endoderm_anlage;3	brain_primordium_subset;1	brain_subset;1	head_subset;3|ventral_nerve_cord_subset;1
chr2L	19680676	19682797	2122	*	VT10081	2121	correct	0	NA	NA	NA	NA	NA	NA
chr2L	19770969	19773042	2074	*	VT10116	2073	correct	1	procephalic_ectoderm_AISN;1	NA	NA	brain_primordium_subset;3	brain_subset;3	brain_subset;3
