# Program:featureCounts v2.0.0; Command:"featureCounts" "-s" "2" "-t" "gbc" "-O" "-g" "transcript_id" "-a" "references/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "counts.gbc.txt" "bam_dmel6/gd7_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/gd7_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll10b_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_2-5_3h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_2-5_3h_rep2.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_4-5_5h_rep1.dmel6.bowtie2.sorted.bam" "bam_dmel6/toll9_10_4-5_5h_rep2.dmel6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_dmel6/gd7_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/gd7_4-5_5h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll10b_4-5_5h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_2-5_3h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_2-5_3h_rep2.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_4-5_5h_rep1.dmel6.bowtie2.sorted.bam	bam_dmel6/toll9_10_4-5_5h_rep2.dmel6.bowtie2.sorted.bam
FBtr0347010	211000022280328	7486	9027	-	1542	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078171	2L	9939	18070	-	8132	6612	3376	4181	4432	3011	3524	2782	3010	4975	4895	1503	3795
FBtr0330655	2L	9939	20876	-	10938	9417	4977	6031	6246	5162	5869	4898	5310	7380	7154	2421	5442
FBtr0113008	2L	21923	24655	-	2733	40	29	36	25	24	21	18	13	32	23	33	34
FBtr0309229	2L	25502	58768	-	33267	1009	510	329	265	341	343	227	216	657	648	221	366
FBtr0309226	2L	25502	64904	-	39403	1056	549	372	300	354	372	250	246	688	681	250	410
FBtr0306539	2L	66982	71290	+	4309	1400	908	1184	1170	1108	1282	1401	1730	1058	1054	744	1451
FBtr0306536	2L	67543	70981	+	3439	449	218	425	403	265	351	374	391	268	234	171	477
FBtr0306537	2L	67543	71290	+	3748	478	233	459	444	288	372	396	414	292	256	182	521
FBtr0306540	2L	72257	76111	+	3855	200	79	186	174	81	117	103	114	116	116	87	164
FBtr0078101	2L	72887	76111	+	3225	93	38	101	89	32	55	45	41	53	58	42	61
FBtr0331680	2L	73985	76111	+	2127	34	18	39	43	10	17	18	14	19	26	22	19
FBtr0301733	2L	74629	76111	+	1483	21	9	28	19	8	10	11	8	15	16	11	7
FBtr0306541	2L	76848	77683	+	836	19	15	9	5	6	4	4	9	7	4	2	9
FBtr0290323	2L	82521	86887	-	4367	5043	2406	548	459	681	775	522	520	185	200	18	54
FBtr0330637	2L	83084	86887	-	3804	4637	2222	493	411	624	727	479	486	168	175	16	51
FBtr0078103	2L	95239	101986	+	6748	1445	551	944	911	562	653	735	831	658	672	449	999
FBtr0330636	2L	102880	104042	+	1163	198	105	110	117	112	108	98	90	72	106	44	97
FBtr0301452	2L	104062	106232	-	2171	120	61	190	185	109	107	206	201	138	135	122	238
FBtr0089437	2L	107403	114332	+	6930	2074	1099	2105	2124	1505	1738	1989	2397	1620	1677	960	1895
FBtr0089429	2L	108261	114332	+	6072	1094	522	1421	1338	811	918	1138	1211	860	918	517	1100
FBtr0308091	2L	108261	111237	+	2977	581	305	850	756	476	549	632	727	492	503	267	650
FBtr0089428	2L	108261	114110	+	5850	1041	492	1370	1273	777	879	1102	1164	823	872	494	1040
FBtr0089432	2L	108437	114110	+	5674	988	445	1305	1236	741	842	1065	1119	785	824	474	1000
FBtr0089430	2L	108437	114332	+	5896	1041	475	1356	1301	775	881	1101	1166	822	870	497	1060
FBtr0089433	2L	108589	114332	+	5744	1003	456	1298	1269	749	840	1065	1117	802	834	481	1032
FBtr0089434	2L	108633	114332	+	5700	989	453	1279	1253	735	829	1051	1103	792	827	477	1021
FBtr0089436	2L	110094	114110	+	4017	611	256	772	749	423	482	649	633	464	508	322	583
FBtr0330639	2L	115226	155930	+	40705	3462	1898	2198	2074	1723	1967	2258	2655	2152	2104	1180	2389
FBtr0078160	2L	115465	115988	-	524	9	4	1	1	4	1	4	2	3	2	0	5
FBtr0100307	2L	117070	120131	-	3062	11	3	16	9	5	5	12	11	8	6	7	14
FBtr0078156	2L	117179	121254	-	4076	59	24	30	21	24	34	37	28	31	33	16	22
FBtr0078158	2L	117179	120242	-	3064	10	3	16	10	5	5	11	11	8	6	7	13
FBtr0078157	2L	117179	120131	-	2953	10	3	16	9	5	5	11	11	7	6	6	13
FBtr0100310	2L	117274	120131	-	2858	10	3	14	9	4	5	11	11	7	6	6	13
FBtr0078153	2L	122724	130291	-	7568	436	257	307	285	361	421	783	810	342	272	273	514
FBtr0100379	2L	122724	128745	-	6022	69	42	76	38	47	55	106	95	65	57	43	92
FBtr0300568	2L	132577	133895	+	1319	102	61	61	54	48	55	88	99	42	49	24	62
FBtr0078114	2L	132577	134372	+	1796	119	81	85	72	70	60	124	135	55	67	35	83
FBtr0302194	2L	138484	140492	-	2009	21	11	44	35	13	20	44	45	33	20	46	81
FBtr0346127	2L	138484	139088	-	605	2	0	10	8	1	1	5	7	12	2	13	12
FBtr0302195	2L	139546	140492	-	947	13	7	20	17	8	9	28	30	14	13	20	45
FBtr0300987	2L	141177	142591	-	1415	14	10	21	19	17	11	19	18	16	15	16	37
FBtr0330644	2L	141177	142072	-	896	4	6	9	7	10	8	8	12	12	6	8	20
FBtr0330643	2L	144331	152800	-	8470	415	222	375	339	226	281	264	267	388	345	158	409
