# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "gbc" "-g" "transcript_id" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/K27me3-PROseq.counts.cds.txt" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam
FBtr0347010	211000022280328	7486	9027	-	1542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078171	2L	9939	18070	-	8132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330655	2L	9939	20876	-	10938	264	130	156	497	614	342	747	423	288	159	557	97	496	106	878
FBtr0113008	2L	21923	24655	-	2733	385	255	310	467	483	247	618	399	315	224	887	123	439	49	742
FBtr0309229	2L	25502	58768	-	33267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0309226	2L	25502	64904	-	39403	891	714	810	812	1412	475	1206	909	692	413	1489	205	638	101	1440
FBtr0306539	2L	66982	71290	+	4309	40	20	31	86	68	32	135	86	62	39	182	21	123	24	198
FBtr0306536	2L	67543	70981	+	3439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306537	2L	67543	71290	+	3748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306540	2L	72257	76111	+	3855	62	35	32	79	119	56	113	80	84	44	196	25	105	15	223
FBtr0078101	2L	72887	76111	+	3225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331680	2L	73985	76111	+	2127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301733	2L	74629	76111	+	1483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306541	2L	76848	77683	+	836	118	89	107	138	236	66	167	121	115	68	266	32	128	21	223
FBtr0290323	2L	82521	86887	-	4367	33	17	20	48	106	41	133	76	48	29	93	8	27	4	98
FBtr0330637	2L	83084	86887	-	3804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078103	2L	95239	101986	+	6748	421	287	280	767	743	438	1433	937	879	478	1952	269	982	150	1735
FBtr0330636	2L	102880	104042	+	1163	115	72	56	172	124	84	218	148	146	82	458	43	179	18	446
FBtr0301452	2L	104062	106232	-	2171	143	113	107	308	259	160	433	284	228	133	754	89	304	52	718
FBtr0089437	2L	107403	114332	+	6930	68	55	28	107	87	61	193	120	116	72	252	35	165	20	219
FBtr0089429	2L	108261	114332	+	6072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0308091	2L	108261	111237	+	2977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089428	2L	108261	114110	+	5850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089432	2L	108437	114110	+	5674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089430	2L	108437	114332	+	5896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089433	2L	108589	114332	+	5744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089434	2L	108633	114332	+	5700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089436	2L	110094	114110	+	4017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330639	2L	115226	155930	+	40705	1383	1028	946	1833	2040	915	2521	1698	1532	814	3794	447	1717	294	3543
FBtr0078160	2L	115465	115988	-	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0100307	2L	117070	120131	-	3062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078156	2L	117179	121254	-	4076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078158	2L	117179	120242	-	3064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078157	2L	117179	120131	-	2953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
