geneID	Chr	Start	End	Strand	Length	factor	direction	Gd7	Toll10b	Toll9
Region1	chr2L	17384	18681	.	1298	Toll10b	Up	-0.684423537106412	1.12494671443424	-0.595714951356136
Region2	chr2L	20214	21391	.	1178	Toll10b	Up	-0.726876899878757	1.48565788281544	-0.948182218952737
Region3	chr2L	26270	27063	.	794	Gd7	Up	1.21648291765976	-0.199501501502028	-0.893239034118039
Region4	chr2L	27347	29393	.	2047	Gd7	Up	1.01217375844047	-0.622631562512153	-0.247997599877011
Region5	chr2L	34695	35189	.	495	Toll9	Up	-0.504097482011438	-0.812343614114064	1.34079047909023
Region6	chr2L	35908	36490	.	583	Toll9	Up	-0.676984566396537	-0.512034599138786	1.17280252901959
Region7	chr2L	67055	67305	.	251	Toll10b	Up	-0.654967146249176	0.854863938210729	-0.329678979376504
Region8	chr2L	88477	91752	.	3276	Toll9	Down	3.27047285852273	2.22800913737997	-5.39938767699491
Region9	chr2L	94740	95267	.	528	Toll9	Up	-0.405399386609763	-0.56373169598434	0.981145273360018
Region10	chr2L	102392	102939	.	548	Toll10b	Up	-0.148244836045858	0.514548970112954	-0.422807820968984
Region11	chr2L	106200	106789	.	590	Gd7	Up	0.243653864466312	-0.124276780556263	-0.0874675780971886
Region12	chr2L	107378	109091	.	1714	Toll10b	Up	-0.205500660526586	1.2459455857501	-1.16378082625597
Region13	chr2L	114663	115221	.	559	Toll9	Down	-0.0825775094825609	1.31713750406517	-1.35311095878024
Region14	chr2L	143350	143800	.	451	Toll9	Up	-0.0466908358823849	-0.474407301966944	0.557082131011885
Region15	chr2L	182863	183522	.	660	Toll10b	Up	-0.402974952255001	0.609965600305096	-0.293938420557436
Region16	chr2L	203792	204221	.	430	Toll9	Down	0.299176886347454	0.245926821524138	-0.539597168828618
Region17	chr2L	207421	207910	.	490	Toll10b	Down	0.226804678332477	-0.415767161644282	0.24402188582194
Region18	chr2L	219764	220488	.	725	Toll10b	Down	0.158113324468276	-0.36341426426132	0.249901141758714
Region19	chr2L	220716	221904	.	1189	Toll9	Up	-0.433292668593293	-0.221943166147577	0.635918792486039
Region20	chr2L	222494	225189	.	2696	Toll9	Down	0.143755925503976	0.220915614242304	-0.370707495632979
Region21	chr2L	244624	245052	.	429	Toll9	Up	-0.207167635331151	-0.0177763508438465	0.208243496861665
Region22	chr2L	245455	246592	.	1138	Toll9	Up	-0.241177831782447	-0.443097832160633	0.700525688200115
Region23	chr2L	246879	251288	.	4410	Toll10b	Up	-0.274532447283512	0.33777652835803	-0.115906984450722
Region24	chr2L	251891	252364	.	474	Toll10b	Down	0.313199292134386	-0.404206305883623	0.152680514685615
Region25	chr2L	271005	272257	.	1253	Toll10b	Down	0.204207249455393	-0.327777625706992	0.16920934777537
Region26	chr2L	273303	274380	.	1078	Toll10b	Up	-0.0530254408904371	0.39387660511948	-0.378791940623241
Region27	chr2L	276759	281526	.	4768	Toll9	Up	-0.172708611085487	-0.0291635301953736	0.189161548836902
Region28	chr2L	281834	283704	.	1871	Toll10b	Down	0.885293832915786	-0.918834287996015	0.188965402512236
Region29	chr2L	284482	285700	.	1219	Gd7	Up	0.997165525232181	-0.97540085848434	0.148269520301167
Region30	chr2L	292468	292813	.	346	Toll9	Up	-0.137166730342536	-0.0744317432285719	0.205835798946761
Region31	chr2L	293995	294681	.	687	Toll9	Down	0.184972737307853	0.315397372828001	-0.510768109002027
Region32	chr2L	295046	295712	.	667	Toll9	Down	0.327341679895287	1.04053017272722	-1.42703297790343
Region33	chr2L	297901	298484	.	584	Toll10b	Down	0.120723726434031	-0.191967583074151	0.0980719747019486
Region34	chr2L	403672	404712	.	1041	Gd7	Down	-0.661871863813665	0.221049613620404	0.3639893812964
Region35	chr2L	413973	415693	.	1721	Gd7	Down	-0.778267782211945	0.0808094975128461	0.622248416294374
Region36	chr2L	418892	420479	.	1588	Gd7	Down	-0.5959346427716	0.521581425527509	-0.0220804648419184
Region37	chr2L	420905	421421	.	517	Toll10b	Down	0.166971715538333	-0.250035136505038	0.118861654837141
Region38	chr2L	431279	431708	.	430	Toll10b	Up	-0.0707140685334701	0.499418431322554	-0.477117395872227
Region39	chr2L	441220	442900	.	1681	Gd7	Up	3.14044968959375	-2.62286314384642	-0.0200279366592651
Region40	chr2L	452493	452973	.	481	Gd7	Down	-0.838239868147506	0.443901296147755	0.283178820155356
Region41	chr2L	453188	453694	.	507	Gd7	Down	-0.547169042326013	0.151067353537891	0.335260411429693
Region42	chr2L	519452	520494	.	1043	Gd7	Up	5.24599893184373	-2.02907366790264	-2.58453888805405
Region43	chr2L	541852	542605	.	754	Toll9	Down	0.360358616269523	0.100756856275045	-0.437966708285908
Region44	chr2L	542993	544648	.	1656	Gd7	Up	4.9130148805256	-2.1833882399208	-2.11345827752192
Region45	chr2L	564208	564664	.	457	Toll9	Up	-0.240204356951008	-0.717530221003177	0.99725910229481
Region46	chr2L	567483	568945	.	1463	Gd7	Down	-0.92751230526232	0.607096974250472	0.187622059891359
Region47	chr2L	573690	575013	.	1324	Toll9	Up	-0.650854383507883	-0.902777883695348	1.57272852604956
Region48	chr2L	602613	603309	.	697	Gd7	Down	-2.0429647303293	0.337568839707272	1.49736919937499
Region50	chr2L	815402	816503	.	1102	Toll9	Up	-0.240646968009814	-0.522303154986718	0.785939476260501
Region51	chr2L	819943	820529	.	587	Toll9	Up	-0.363550746166163	-0.917817409984953	1.32697883851684
Region52	chr2L	821466	822130	.	665	Toll10b	Down	0.225168589967771	-0.603397869334162	0.448999333839329
Region53	chr2L	825393	826529	.	1137	Gd7	Up	0.592678092885371	-0.0117687958607379	-0.527839856286459
Region54	chr2L	847538	849725	.	2188	Toll10b	Down	1.22128109660867	-1.64366832802752	0.668580297101495
Region55	chr2L	850112	850950	.	839	Toll9	Up	-0.0577235811484118	-0.569286314926779	0.670041588846719
Region56	chr2L	852129	853271	.	1143	Toll10b	Down	0.244408839735441	-0.779658769359026	0.622604187177514
Region57	chr2L	867769	868380	.	612	Gd7	Up	1.62510793620999	-1.31056558316556	-0.0610139809212423
Region58	chr2L	869263	872062	.	2800	Toll9	Down	0.46936621060708	0.228745293472482	-0.676199665776897
Region59	chr2L	1065576	1066116	.	541	Gd7	Up	0.707509593089691	-0.334828239350486	-0.282224518950453
Region60	chr2L	1066675	1067956	.	1282	Toll10b	Down	0.799870236200602	-1.11566907156645	0.480350263753085
Region61	chr2L	1068269	1068640	.	372	Toll10b	Up	-0.0719659071697167	0.534916248403868	-0.514472857534248
Region62	chr2L	1069003	1069619	.	617	Toll10b	Up	-0.563266147040061	1.22659848650533	-0.816468117655034
Region63	chr2L	1076062	1076448	.	387	Gd7	Down	-1.05383243218401	0.392917740982193	0.535120142833135
Region64	chr2L	1076771	1078372	.	1602	Toll10b	Up	-0.291826250143149	0.313417317575835	-0.0737151688654379
Region65	chr2L	1080941	1081434	.	494	Toll9	Up	-0.780869892313783	-0.206460904510261	0.936166049152932
Region66	chr2L	1117630	1118285	.	656	Toll10b	Down	0.0796825812510229	-0.251411483422284	0.199973871725408
Region67	chr2L	1120174	1120834	.	661	Gd7	Up	1.4491107854788	-0.266576567299138	-1.03268454334467
Region68	chr2L	1128199	1129004	.	806	Toll9	Up	-0.321358561393433	-0.298382111960637	0.616717529166147
Region69	chr2L	1129281	1129880	.	600	Toll9	Up	-0.291436512026573	-0.0390123894446783	0.308138622112473
Region70	chr2L	1147830	1148314	.	485	Toll10b	Down	0.086318481593516	-0.394945624864845	0.349583505633211
Region71	chr2L	1150196	1151293	.	1098	Gd7	Up	0.684726608087263	-0.0541682653441876	-0.565818494420435
Region72	chr2L	1158637	1159287	.	651	Toll9	Down	0.809332224707005	0.103336724169585	-0.850289610975839
Region73	chr2L	1164460	1164862	.	403	Toll9	Up	-0.670791896860155	-0.236909735145962	0.868781628005514
