# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "ppc" "-g" "transcript_id" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/CBP_PPC.featureCount.count.tab.txt" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_CBP_S7.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_input_S1.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_CBP_S8.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_input_S2.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_CBP_S11.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_input_S5.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_CBP_S12.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_input_S6.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_CBP_S9.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_input_S3.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_CBP_S10.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_input_S4.dm6.bowtie2.sorted.bam" "/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/Undetermined_S0.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_CBP_S7.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R1_input_S1.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_CBP_S8.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/gd7_R2_input_S2.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_CBP_S11.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R1_input_S5.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_CBP_S12.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll10B_R2_input_S6.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_CBP_S9.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R1_input_S3.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_CBP_S10.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/toll910_R2_input_S4.dm6.bowtie2.sorted.bam	/proj/snic2019-30-14/nobackup/CBP_ChIP_seq_mapped/CBP_toll_dm6only/bam_dm6/Undetermined_S0.dm6.bowtie2.sorted.bam
FBtr0347010	211000022280328	9427	9577	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078171	2L	18470	18620	-	151	258	74	132	93	192	113	76	125	193	89	107	100	23
FBtr0330655	2L	21276	21426	-	151	242	72	92	83	145	97	56	116	93	57	63	74	32
FBtr0113008	2L	25055	25205	-	151	14	62	10	73	13	60	7	74	11	62	7	91	4
FBtr0309229	2L	59168	59318	-	151	33	36	20	54	12	52	10	58	17	40	5	46	3
FBtr0309226	2L	65304	65454	-	151	12	87	2	80	1	70	0	83	2	80	1	80	9
FBtr0306539	2L	66432	66582	+	151	54	69	30	49	19	68	6	55	25	57	19	49	16
FBtr0306536	2L	66993	67143	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306537	2L	66993	67143	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306540	2L	71707	71857	+	151	10	90	9	72	11	72	4	81	1	83	6	70	7
FBtr0078101	2L	72337	72487	+	151	31	73	45	60	14	61	9	73	15	71	21	67	12
FBtr0331680	2L	73435	73585	+	151	20	51	24	55	8	50	12	56	16	45	15	63	7
FBtr0301733	2L	74079	74229	+	151	10	69	4	66	4	67	1	79	2	66	0	78	8
FBtr0306541	2L	76298	76448	+	151	7	77	8	79	8	77	2	68	13	68	3	90	6
FBtr0290323	2L	87287	87437	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330637	2L	87287	87437	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078103	2L	94689	94839	+	151	60	87	8	89	27	71	4	81	16	62	9	85	10
FBtr0330636	2L	102330	102480	+	151	346	64	297	86	139	85	79	91	160	64	77	81	26
FBtr0301452	2L	106632	106782	-	151	105	78	88	77	58	65	35	78	63	61	40	82	12
FBtr0089437	2L	106853	107003	+	151	16	69	18	53	13	90	1	83	17	66	7	71	7
FBtr0089429	2L	107711	107861	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0308091	2L	107711	107861	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089428	2L	107711	107861	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089432	2L	107887	108037	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089430	2L	107887	108037	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089433	2L	108039	108189	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089434	2L	108083	108233	+	151	20	14	31	13	9	15	7	15	17	8	11	18	2
FBtr0089436	2L	109544	109694	+	151	40	60	21	78	21	66	20	64	17	54	22	64	7
FBtr0330639	2L	114676	114826	+	151	157	64	147	74	82	73	40	70	95	69	40	73	19
FBtr0078160	2L	116388	116538	-	151	4	87	9	66	4	84	2	50	2	64	2	87	11
FBtr0100307	2L	120531	120681	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078157	2L	120531	120681	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0100310	2L	120531	120681	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078158	2L	120642	120792	-	151	7	20	9	32	9	33	6	17	6	18	7	24	5
FBtr0078156	2L	121654	121804	-	151	24	59	30	60	21	67	9	57	17	50	8	49	8
FBtr0100379	2L	129145	129295	-	151	37	53	65	67	39	46	21	47	39	42	22	59	10
FBtr0078153	2L	130691	130841	-	151	20	56	21	66	10	50	12	54	13	51	9	65	6
FBtr0300568	2L	132027	132177	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078114	2L	132027	132177	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0346127	2L	139488	139638	-	151	25	46	20	74	13	58	11	61	20	46	5	67	6
FBtr0302194	2L	140892	141042	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302195	2L	140892	141042	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330644	2L	142472	142622	-	151	16	41	16	60	18	60	12	75	14	54	10	60	3
FBtr0300987	2L	142991	143141	-	151	42	49	26	74	19	59	13	57	23	61	18	68	7
FBtr0330643	2L	153200	153350	-	151	20	44	25	55	13	55	15	52	15	48	10	46	7
FBtr0078147	2L	155205	155355	-	151	191	75	147	67	60	55	49	69	113	74	74	81	13
FBtr0340650	2L	155979	156129	+	151	68	49	41	47	36	44	20	42	23	57	23	33	2
FBtr0078119	2L	156099	156249	+	151	85	42	41	64	37	46	16	38	34	41	25	33	4
FBtr0330652	2L	158982	159132	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0
