Geneid	Chr	Start	End	Strand	Length	factor	direction	PC1	PC2	PC3	distance	Gd7	Time	Toll10b	Toll9
Region8	chr2L	41171	41540	.	370	Gd7	Up	-1.66466549888756	-0.332633668403384	-2.08814677401476	2.69111748728484	2.22337546296092	-1.3678652357339	-0.692958669875521	-1.73458423870226
Region9	chr2L	41984	42440	.	457	Toll9	Down	-0.963780091423684	0.00346058864699117	-2.83578773030059	2.99509200052716	2.15174159344179	-0.742552894696753	-0.0425178034130452	-2.53575848303595
Region10	chr2L	42855	44539	.	1685	Gd7	Up	-1.37589432855826	-0.591663424194505	-2.49422221935013	2.90934619637956	2.51605536796456	-0.992775408014387	-0.781171633168881	-1.96702315209051
Region11	chr2L	44846	44962	.	117	Time	Down	-1.66783798085844	0.612496628249234	-1.17598855804887	2.13067706109408	1.04385332181109	-1.69367643927909	0.0786128611497159	-1.36555902237605
Region18	chr2L	63187	63306	.	120	Time	Down	-1.91419975341659	0.0662325419006485	-0.639687512898392	2.01934334865195	1.184451418849	-1.81125660453742	-0.575074196554291	-0.643086911725039
Region21	chr2L	72124	74121	.	1998	Toll9	Down	-0.443401932517973	1.13367059787201	-1.83893192747284	2.20533102551956	0.569322622869221	-0.62401672295211	1.08375911895599	-2.16506337764992
Region23	chr2L	76411	88234	.	11824	Gd7	Up	-1.26622504071369	-0.0214864434543888	-1.90390326093184	2.28662090167338	1.73120606794743	-1.08500361659523	-0.278912648769384	-1.70627256441433
Region24	chr2L	88513	93297	.	4785	Toll9	Down	-1.58926290493593	0.436620306094114	-2.16477696851023	2.72078172518331	1.72960021752927	-1.50587037046859	0.053277512967775	-2.15760891924201
Region33	chr2L	124106	124972	.	867	Gd7	Up	-1.15152166296754	-0.852796450910433	-1.43116369858171	2.02521442299501	1.94077993840259	-0.772906168664269	-1.05557770947576	-0.899142945685129
Region34	chr2L	128227	129756	.	1530	Toll9	Down	0.851160362967262	0.709541609617307	-1.67694412326961	2.00999125665595	0.183927385720472	0.724356739652068	1.15210174151199	-1.79374962493785
Region75	chr2L	373451	374263	.	813	Gd7	Up	0.753418241162036	-2.12774517884538	-0.901572270434344	2.43059070002162	1.62522986885962	1.37458924159384	-1.58758288088907	0.207149417065245
Region78	chr2L	379828	382233	.	2406	Gd7	Up	-0.158305421908808	-1.6622090490994	-1.56289427934887	2.2870588225787	2.12088021143619	0.413365516758167	-1.42193683174119	-0.616345716428208
Region80	chr2L	391381	392198	.	818	Gd7	Up	-1.64380246408005	-1.63970409381243	-0.75688401949762	2.44204616564711	2.26345432689403	-1.06760093759487	-2.03717395922861	0.0512796723775359
Region81	chr2L	393279	393818	.	540	Toll10b	Down	0.197577253934288	-2.10476967693056	0.457628723688133	2.16298779768703	1.02286580617973	0.748618510462643	-1.91989644087622	1.38669759505322
Region82	chr2L	395543	396028	.	486	Toll9	Down	0.65699361204494	0.555845895402606	-2.88678932570712	3.01233429033372	1.10939494527906	0.658847164540804	1.0707829750175	-2.79837685778424
Region97	chr2L	440226	442924	.	2699	Toll10b	Down	0.413994871769151	-2.56109168333225	-0.516404988012263	2.64523278293778	1.82435669887819	1.1459616142134	-2.15485965764228	0.741162768431024
Region110	chr2L	497729	497870	.	142	Gd7	Up	-0.39361340300269	-0.943204118503717	-2.26227277926888	2.48242696730572	2.17662775777739	0.0316635617441281	-0.768661789290538	-1.57493656106134
Region111	chr2L	500716	500806	.	91	Gd7	Up	-0.607684901083676	-1.17276641269144	-2.12706005635952	2.50380639848659	2.33915000082349	-0.117864641647738	-1.07429275970105	-1.35381355809428
Region112	chr2L	501428	502249	.	822	Gd7	Up	0.659988013736014	-2.49799992026191	-2.70473437993861	3.74047802371911	3.01199601811049	1.50415822716559	-1.76681764437664	-1.21993499953776
Region114	chr2L	510319	511212	.	894	Time	Up	1.42012930493528	-0.804037423725918	-1.4318422276292	2.17104020835864	0.784057389244142	1.67702088012165	-0.0618898416080969	-0.860677859811194
Region115	chr2L	514146	515849	.	1704	Gd7	Up	-0.163123737349964	-1.07637897137133	-2.52114735230617	2.74615822845987	2.3218282810214	0.306292874586856	-0.778285323746789	-1.73683435368331
Region116	chr2L	516270	533118	.	16849	Gd7	Up	-0.156967825049631	-1.03264492233617	-2.22813048711407	2.46080472637198	2.11126871272417	0.281186590278605	-0.767657301991515	-1.49752142673198
Region130	chr2L	585124	585653	.	530	Time	Up	1.87025284263477	0.642138533056459	0.389591197203475	2.01543268107813	-1.47987007078061	1.58706098606146	1.24003904907832	0.0918516369673606
Region142	chr2L	625604	626229	.	626	Gd7	Up	-0.00935694637773967	-1.59020789873486	-2.45402695477992	2.92422588190971	2.55261713209664	0.593002942110105	-1.20318159426771	-1.43526496107669
Region162	chr2L	678781	678898	.	118	Toll9	Up	0.210408539961873	-1.82307401510827	1.1802152094649	2.1819208415761	0.38993319104116	0.635833540775955	-1.73408715832665	1.89611755766587
Region164	chr2L	687128	687495	.	368	Toll10b	Up	1.16955525859722	1.99487779319533	-1.39666773328901	2.7014954506545	-0.974728827315932	0.65192315345929	2.42534371495058	-2.13440405783656
Region169	chr2L	704389	709780	.	5392	Toll10b	Down	0.746115671739903	-2.36047022568378	0.413730687679847	2.5099166049659	0.978455141639725	1.34841960665942	-1.94878225680021	1.47964611777563
Region170	chr2L	711505	717916	.	6412	Toll10b	Down	0.973887082560704	-2.48553578588448	0.182337038438479	2.67574120349437	1.10270523260879	1.61641640764183	-1.95492546980906	1.33825372038661
Region193	chr2L	900676	902556	.	1881	Toll9	Up	0.297732027436352	0.326308585429236	2.06186492589651	2.10865090181576	-1.60518400264392	0.0618600232119095	0.185769535727707	1.68145517803624
Region194	chr2L	914092	914963	.	872	Toll10b	Up	0.358572901300591	2.35907032894339	-0.519073835614021	2.44197153735814	-1.39641921284311	-0.283039748517359	2.3664859201203	-1.54577460388144
Region195	chr2L	918267	919055	.	789	Toll10b	Up	0.649933856379432	2.05902606861445	-1.37849777703027	2.56169055316591	-0.800851257712864	0.135045153130192	2.29089679784052	-2.16054903533043
Region199	chr2L	983996	984329	.	334	Toll10b	Up	1.18118025407747	1.37154294513117	-0.932819224772232	2.03628793373292	-0.85186775602631	0.807679049342675	1.80359636721644	-1.43413280591175
Region200	chr2L	996937	997298	.	362	Toll10b	Up	1.44886259313644	1.22608712854415	-0.976250429198844	2.13437516877484	-0.84645060476628	1.10756986666881	1.77282000859456	-1.3986685890744
Region205	chr2L	1024344	1024505	.	162	Toll10b	Up	0.232615733086515	2.05777680439415	-0.0383507302571304	2.07123785077746	-1.43618638581117	-0.350231297064311	1.98940147829868	-0.983307907264645
Region206	chr2L	1036866	1037332	.	467	Time	Down	-2.28825459483548	0.821928019719002	0.398884310691412	2.46389599084471	0.21494478049295	-2.4474726655128	-0.12897614365865	-0.0831134727746117
