Geneid	Chr	Start	End	Strand	Length	factor	direction	Gd7	Time	Toll10B	Toll9
Region53	chr2L	224	6008	.	5785	Toll10B	Up	-0.308736240267209	0.247894546338056	0.59712695633286	-0.43385789324468
Region54	chr2L	18442	18705	.	264	Gd7	Down	-1.72511190911412	0.484293977945234	1.67207559027445	-0.0511954680070043
Region55	chr2L	27035	27519	.	485	Time	Down	0.860325500556022	-1.78117433716254	-1.03577674416999	0.313384739990411
Region56	chr2L	28009	29052	.	1044	Toll10B	Down	1.53804743694943	-1.58105520089975	-2.44249803771077	1.40254886269858
Region57	chr2L	35512	35929	.	418	Toll9	Down	1.55780339908225	-0.809757076767736	-0.196172590507946	-1.82678691087784
Region58	chr2L	66674	67518	.	845	Toll9	Down	0.30287224835042	0.18074167313895	0.187141533147048	-0.676356727261777
Region59	chr2L	89189	89518	.	330	Gd7	Up	3.67575930047461	-2.23163556097488	-1.99467320362529	-2.12655184312019
Region60	chr2L	90106	90445	.	340	Toll9	Down	-0.591933456491545	-1.8608250215959	2.9452618897475	-3.39868953058898
Region61	chr2L	91221	91973	.	753	Time	Down	2.18453016286665	-2.75947601298476	-0.498056020847727	-2.24385150430066
Region62	chr2L	102167	102646	.	480	Gd7	Up	0.942114259699572	-0.422524928378461	-0.287012664351014	-0.864735381394948
Region63	chr2L	107736	108386	.	651	Toll9	Down	0.284054228257424	0.00665811598687854	0.300481103570846	-0.812500874412514
Region64	chr2L	114532	114855	.	324	Time	Down	0.527642375265781	-1.23930464852848	-0.32483210115075	-0.250363669244958
Region65	chr2L	155063	155938	.	876	Toll9	Down	0.218885438678785	-0.174418710313957	-0.0225984577330979	-0.263759529954526
Region66	chr2L	158885	159311	.	427	Time	Up	0.0336016816730898	0.147766252381932	-0.0821854861833529	0.0717367015102284
Region67	chr2L	160417	162272	.	1856	Time	Up	0.0450043965186182	1.45304962876171	0.345982999587373	-0.554128696324855
Region68	chr2L	165473	165923	.	451	Toll9	Up	-0.245525164268725	0.558172259193329	-0.848191215122028	1.54128053305907
Region69	chr2L	166163	167088	.	926	Toll10B	Down	0.764451349116693	0.270560777130554	-1.00524831172884	0.39950160840548
Region70	chr2L	207184	207645	.	462	Time	Down	0.331699152308149	-0.534754669301631	-0.116875412718823	-0.281894925596221
Region71	chr2L	220420	220886	.	467	Time	Up	0.249319727551893	0.375297466496469	-0.133770110007911	-0.146413822375198
Region72	chr2L	221620	224740	.	3121	Time	Down	0.0344353372825224	-0.356764174959614	0.205128436768243	-0.339018564781937
Region73	chr2L	224978	225429	.	452	Time	Down	0.604516710426236	-1.26316387664814	-0.033149226862746	-0.770170587113312
Region74	chr2L	246472	247148	.	677	Toll9	Up	0.0489330074188292	0.105871917934281	-0.288734706490236	0.345486050315508
Region75	chr2L	247430	247810	.	381	Time	Down	-0.0990664251557408	-0.638178142353783	-0.0875448399774797	0.258772411076136
Region76	chr2L	248757	249585	.	829	Toll9	Down	-0.0633552015054322	0.0925006872873896	0.526759863915512	-0.665340473606743
