Geneid	Chr	Start	End	Strand	Length	factor	direction	Gd7	Toll10b	Toll9
Region1	chr2L	17384	18681	.	1298	Toll10b	Up	-0.644097437011776	0.991642608536817	-0.524713092196557
Region2	chr2L	20214	21391	.	1178	Toll10b	Up	-0.684852643975872	1.32815754451393	-0.86481562344942
Region3	chr2L	26270	27063	.	794	Gd7	Up	1.20221391751519	-0.157193969381161	-0.919314171272372
Region4	chr2L	27347	29393	.	2047	Gd7	Up	0.996801531663929	-0.530426681952289	-0.313726871454685
Region5	chr2L	34695	35189	.	495	Toll9	Up	-0.472532782290337	-0.827941606251746	1.35874351935886
Region6	chr2L	35908	36490	.	583	Toll9	Up	-0.648590796335681	-0.508190230397999	1.16072969665452
Region7	chr2L	67055	67305	.	251	Toll10b	Up	-0.623836859183912	0.779358462410206	-0.305200235838222
Region8	chr2L	88477	91752	.	3276	Toll9	Down	3.22085575710101	2.12482144058611	-5.31701993313892
Region9	chr2L	94740	95267	.	528	Toll9	Up	-0.371617503090104	-0.595850486206719	1.00660357382889
Region10	chr2L	102392	102939	.	548	Toll10b	Up	-0.121980383361801	0.428917772181133	-0.369670851679326
Region11	chr2L	106200	106789	.	590	Gd7	Up	0.253238377664898	-0.127172031799323	-0.0882037494134409
Region12	chr2L	107378	109091	.	1714	Toll10b	Up	-0.186167241452031	1.16714530070349	-1.13875033744763
Region13	chr2L	114663	115221	.	559	Toll9	Down	-0.0543668147940365	1.18072099257462	-1.27407378255008
Region14	chr2L	143350	143800	.	451	Toll9	Up	-0.0273708157117126	-0.494999845490118	0.579848553754982
Region15	chr2L	182863	183522	.	660	Toll10b	Up	-0.377508835464743	0.564329156747058	-0.28861675327286
Region16	chr2L	203792	204221	.	430	Toll9	Down	0.319167673449326	0.157418432254315	-0.467315292726168
Region17	chr2L	207421	207910	.	490	Toll10b	Down	0.240248797335069	-0.428224064097191	0.261119630033169
Region18	chr2L	219764	220488	.	725	Toll10b	Down	0.170674512735039	-0.355569134240639	0.243072161070184
Region19	chr2L	220716	221904	.	1189	Toll9	Up	-0.407606101252428	-0.229183858353308	0.628356650004231
Region20	chr2L	222494	225189	.	2696	Toll9	Down	0.146258431892235	0.260288455639941	-0.425069337050566
Region21	chr2L	244624	245052	.	429	Gd7	Down	-0.194572100870044	0.000634744260134828	0.176594675728022
Region22	chr2L	245455	246592	.	1138	Toll9	Up	-0.223692421453312	-0.414914685927623	0.668971688905788
Region23	chr2L	246879	251288	.	4410	Toll10b	Up	-0.254091077323694	0.319663438379676	-0.126806646399659
Region24	chr2L	251891	252364	.	474	Toll10b	Down	0.321981257368525	-0.400050619925494	0.155056813919997
Region25	chr2L	271005	272257	.	1253	Toll10b	Down	0.233581966631208	-0.431400851688584	0.270756116344686
Region26	chr2L	273303	274380	.	1078	Toll9	Down	-0.0464586204456218	0.412360913477283	-0.419930363387655
Region27	chr2L	276759	281526	.	4768	Toll9	Up	-0.152125012491678	-0.0516401254317798	0.196515608086851
Region28	chr2L	281834	283704	.	1871	Gd7	Up	0.879749188253059	-0.860472748687959	0.162927990729607
