geneID	Chr	Start	End	Strand	Length	logExpression	knownGene
FBgn0267431	3R	1025040	1025614	+	6246	5.30826769740121	No
FBgn0267430	3R	2554162	2554398	-	6481	5.47227067367148	No
FBgn0086917	3R	3322810	3323218	+	1659	4.4188406077966	No
FBgn0010247	3R	3461406	3462693	-	2982	7.12367278520461	No
FBgn0086378	3R	3623217	3623275	+	534	7.70120018085745	No
FBgn0263977	3R	3735023	3735166	+	519	8.11252776347864	No
FBgn0069923	3R	3750458	3750539	+	216	6.28226674689601	No
FBgn0039955	3R	3846891	3846894	+	3376	7.21817683840341	No
FBgn0259821	3R	4081690	4081819	+	2341	4.95582705760126	No
FBgn0027341	3R	4132920	4132926	+	2191	7.3356339819272	No
FBgn0058198	3R	4161597	4162048	-	552	3.09104245335832	No
FBgn0037213	3R	4175393	4176191	+	1995	9.34303391370165	No
FBgn0000500	3R	4189811	4190233	-	423	3.93182563272433	No
FBgn0037215	3R	4197415	4197562	+	2724	6.62804137617953	No
FBgn0037217	3R	4204599	4205765	-	1167	4.61512051684126	No
FBgn0037218	3R	4221143	4221317	+	3495	8.52872642722991	No
FBgn0051516	3R	4218953	4219696	-	744	4.29045944114839	No
FBgn0261436	3R	4227538	4228092	-	1344	7.07411681619736	No
FBgn0037220	3R	4230989	4232242	-	1254	8.60849534982302	No
FBgn0015331	3R	4233129	4234985	+	1857	8.30251371851416	No
FBgn0010225	3R	4236764	4236804	+	2399	7.69120009752286	No
FBgn0037222	3R	4241272	4241698	-	1176	6.44730586254121	No
FBgn0085334	3R	4242838	4243059	-	237	2.19722457733622	No
FBgn0037224	3R	4247061	4247084	+	1062	5.08140436498446	No
FBgn0037225	3R	4248854	4249017	-	834	4.98360662170834	No
FBgn0250821	3R	4251981	4252242	-	879	5.28320372873799	No
FBgn0037227	3R	4254780	4254794	+	753	4.00733318523247	No
FBgn0041621	3R	4256972	4257275	+	1155	3.80666248977032	No
FBgn0037228	3R	4266974	4267205	+	1182	3.71357206670431	No
FBgn0037229	3R	4269568	4269788	-	1020	4.20469261939097	No
FBgn0041605	3R	4284352	4284406	+	626	3.85014760171006	No
FBgn0037230	3R	4292487	4293367	-	1776	4.70953020131233	No
