# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "ppc" "-g" "transcript_id" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/K27me3-PROseq.counts.pmt.txt" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam
FBtr0347010	211000022280328	9427	9577	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078171	2L	18470	18620	-	151	23	11	9	32	65	26	71	36	18	15	43	8	45	9	64
FBtr0330655	2L	21276	21426	-	151	33	11	11	29	26	22	42	25	18	7	44	10	47	4	41
FBtr0113008	2L	25055	25205	-	151	23	23	25	32	63	35	60	44	29	17	55	8	34	7	46
FBtr0309229	2L	59168	59318	-	151	43	38	55	56	84	29	37	33	30	8	70	6	18	4	60
FBtr0309226	2L	65304	65454	-	151	11	8	4	15	42	8	49	26	28	8	46	7	24	0	50
FBtr0306539	2L	66432	66582	+	151	11	7	6	11	26	17	35	24	26	12	55	4	34	5	57
FBtr0306536	2L	66993	67143	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306537	2L	66993	67143	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306540	2L	71707	71857	+	151	15	10	13	27	55	17	36	31	19	8	40	3	21	7	57
FBtr0078101	2L	72337	72487	+	151	17	8	8	22	39	22	51	34	21	15	54	5	27	9	58
FBtr0331680	2L	73435	73585	+	151	40	15	23	36	48	16	33	38	19	16	72	13	38	2	85
FBtr0301733	2L	74079	74229	+	151	18	11	12	30	31	23	55	38	22	20	68	10	31	2	45
FBtr0306541	2L	76298	76448	+	151	18	15	20	19	38	7	51	31	14	6	42	3	22	3	45
FBtr0290323	2L	87287	87437	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330637	2L	87287	87437	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078103	2L	94689	94839	+	151	13	7	7	16	14	17	46	23	8	9	31	6	35	6	31
FBtr0330636	2L	102330	102480	+	151	12	18	12	22	26	11	60	24	22	11	62	4	34	2	63
FBtr0301452	2L	106632	106782	-	151	31	27	22	30	16	13	41	28	26	12	69	6	40	1	66
FBtr0089437	2L	106853	107003	+	151	10	3	1	8	23	11	48	43	13	6	17	4	9	7	36
FBtr0089429	2L	107711	107861	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0308091	2L	107711	107861	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089428	2L	107711	107861	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089432	2L	107887	108037	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089430	2L	107887	108037	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089433	2L	108039	108189	+	151	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
FBtr0089434	2L	108083	108233	+	151	6	2	2	8	9	2	8	7	4	6	16	0	6	2	18
FBtr0089436	2L	109544	109694	+	151	8	11	8	20	33	12	47	34	21	8	43	7	25	6	57
FBtr0330639	2L	114676	114826	+	151	10	11	9	27	26	21	39	25	11	11	54	6	40	0	58
FBtr0078160	2L	116388	116538	-	151	20	4	9	16	35	22	49	19	25	7	44	5	26	6	29
FBtr0100307	2L	120531	120681	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078157	2L	120531	120681	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0100310	2L	120531	120681	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078158	2L	120642	120792	-	151	24	12	18	13	20	14	20	14	13	8	67	4	10	5	42
FBtr0078156	2L	121654	121804	-	151	34	25	29	61	54	24	46	31	15	12	81	8	24	4	52
FBtr0100379	2L	129145	129295	-	151	6	9	12	48	30	26	42	28	22	14	91	12	30	1	67
FBtr0078153	2L	130691	130841	-	151	13	21	15	40	36	14	48	33	21	11	54	7	27	3	52
FBtr0300568	2L	132027	132177	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078114	2L	132027	132177	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0346127	2L	139488	139638	-	151	37	42	26	41	45	15	45	30	26	15	63	7	29	11	56
FBtr0302194	2L	140892	141042	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0302195	2L	140892	141042	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330644	2L	142472	142622	-	151	24	26	17	33	33	26	49	32	26	26	71	9	32	4	56
FBtr0300987	2L	142991	143141	-	151	8	15	9	31	33	10	49	28	22	13	59	7	24	3	42
FBtr0330643	2L	153200	153350	-	151	28	16	9	29	38	13	34	40	36	10	62	7	20	3	65
FBtr0078147	2L	155205	155355	-	151	13	11	9	22	14	14	44	27	26	11	48	7	31	8	38
FBtr0340650	2L	155979	156129	+	151	12	8	9	16	17	11	33	19	12	5	34	3	20	3	24
FBtr0078119	2L	156099	156249	+	151	24	9	11	9	33	9	36	20	8	10	30	4	14	3	35
FBtr0330652	2L	158982	159132	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332336	2L	158982	159132	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078121	2L	158982	159132	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330653	2L	182770	182920	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332337	2L	182770	182920	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078124	2L	203729	203879	+	151	11	10	13	23	28	19	37	33	13	21	48	8	23	0	44
FBtr0308246	2L	206697	206847	-	151	6	5	3	19	13	8	48	38	15	8	33	10	17	8	35
FBtr0332338	2L	207129	207279	+	151	2	2	0	11	3	4	19	9	7	7	12	2	12	0	12
FBtr0078146	2L	207197	207347	-	151	1	0	0	2	0	0	1	0	12	5	8	3	5	0	8
FBtr0332339	2L	207356	207506	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078125	2L	207356	207506	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078145	2L	221862	222012	-	151	10	14	6	34	38	26	66	26	23	8	100	8	40	9	85
FBtr0078126	2L	232437	232587	+	151	10	7	4	22	21	20	44	34	23	16	54	4	20	4	43
FBtr0308253	2L	250723	250873	-	151	40	22	17	31	26	28	51	26	30	12	56	4	41	5	47
FBtr0336990	2L	252273	252423	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078143	2L	252273	252423	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0336989	2L	254650	254800	-	151	20	20	18	20	43	25	40	34	16	13	62	6	13	1	58
FBtr0308252	2L	267405	267555	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078142	2L	267405	267555	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078127	2L	269038	269188	+	151	16	7	8	14	25	11	49	27	15	10	29	4	20	1	31
