Enhancer_ID	Gene_geneID	Distance	PROseq_Classification	pair_score	UNIPROTname	geneFunc	geneName	geneFuncFullText
Region230	FBgn0000097	3929	Time Up	4.25728565705706	Q01842	Ets DNA-binding protein pokkuri	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
Region634	FBgn0261800	3223	Time Up	3.04724843970773	P11046	Laminin subunit beta-1	LanB1	<ul><li>Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components (By similarity). Required for Ndg localization to the basement membrane (PubMed:30260959).</ul>
Region1251	FBgn0015609	9062	Toll10b Up	25.995369831017	O15943	Neural-cadherin	CadN	<ul><li>Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. May associate with arm neural isoform and participate in the transmission of developmental information.</ul>
Region1251	FBgn0015609	9062	Toll10b Up	25.9532582661226	O15943	Neural-cadherin	CadN	<ul><li>Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. May associate with arm neural isoform and participate in the transmission of developmental information.</ul>
Region1266	FBgn0032671	5335	Gd7 Down	2.4832647944729	Q9VJ97	2-oxoglutarate and iron-dependent oxygenase JMJD4 homolog		<ul><li></ul>
Region1266	FBgn0032671	5335	Gd7 Down	2.4614870598779	Q9VJ97	2-oxoglutarate and iron-dependent oxygenase JMJD4 homolog		<ul><li></ul>
Region1267	FBgn0032671	4407	Gd7 Down	1.94095257990093	Q9VJ97	2-oxoglutarate and iron-dependent oxygenase JMJD4 homolog		<ul><li></ul>
Region1341	FBgn0010300	7150	Toll9 Up	3.54016527934865	Q8MQJ9	Brain tumor protein	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1342	FBgn0010300	6130	Toll9 Up	2.63884041896188	Q8MQJ9	Brain tumor protein	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1379	FBgn0005672	2451	Time Up	1.52385531875397	Q01083	Protein spitz	spi	<ul><li>Ligand for the EGF receptor (Gurken). Involved in a number of unrelated developmental choices, for example, dorsal-ventral axis formation, glial migration, sensory organ determination, and muscle development. It is required for photoreceptor determination.</ul>
Region1600	FBgn0003866	7114	Time Up	3.08495399015399	P22265	Protein teashirt	tsh	<ul><li>Homeotic protein that acts downstream of Arm in the Wg cascade during embryogenesis to determine segment identity throughout the entire trunk. Acts cooperatively with other trunk homeotic proteins to repress head homeotic genes and therefore repress head segmental identity. Necessary, in combination with Scr, for the formation of the prothoracic segment. Promotes eye development in the dorsal region of the eye disk and suppresses eye development in the ventral region in combination with Wg-signaling and several early dorso-ventral eye patterning genes. Required for proper development of proximal leg segments. Has differential functions along the dorso-ventral axs of the antennal and leg disks. May play a role in wing hinge development. Possible involvement in chromatin structure for modulation of transcription. Binds DNA and can act as both a transcriptional repressor and activator. Positively regulates its own expression as well as that of Dll. Negatively regulates the expression of mod. Required for Wg-mediated transcriptional repression of Ubx in the midgut. Also represses transcription of lab in the midgut and is necessary for the proper formation of anterior and central midgut structures. Tiptop (tio) and teashirt (tsh) have, on the whole, common activities. Tio and tsh repress each other's expression and tsh has a crucial role for trunk patterning that is in part masked by ectopic expression of tiptop. Both genes share a common activity required for the activation of Ser and svb and the maintenance of en and wg.</ul>
