Geneid	Chr	Start	End	Strand	Length	factor	direction	PC1	PC2	PC3	distance	Gd7	Time	Toll10b	Toll9
Region53	chr2L	224	6008	.	5785	Toll10b	Up	0.368646397613975	-0.433556226363466	0.336411057718069	0.66109270730154	-0.308736240267261	0.24789454633797	0.597126956332909	-0.43385789324468
Region54	chr2L	18442	18705	.	264	Gd7	Down	0.910430245827855	-1.54279964734316	-0.360988359824917	1.8274098008628	-1.72511190911402	0.484293977945286	1.67207559027441	-0.0511954680070521
Region55	chr2L	27035	27519	.	485	Time	Down	-1.91443212729247	0.280597605825696	-0.284079753807738	1.95562948764027	0.86032550055616	-1.78117433716247	-1.03577674417018	0.313384739990491
Region56	chr2L	28009	29052	.	1044	Toll10b	Down	-2.05461323755707	1.61452057412344	-1.0446624725035	2.8141485251617	1.53804743694947	-1.58105520089969	-2.44249803771083	1.40254886269862
Region57	chr2L	35512	35929	.	418	Toll9	Down	-0.915484908803884	0.247698605524203	1.94889678997355	2.16740995554499	1.55780339908227	-0.809757076767706	-0.196172590507928	-1.8267869108779
Region58	chr2L	66674	67518	.	845	Toll9	Down	0.177289815906153	0.0191165288298027	0.711261937468027	0.733273935299292	0.302872248350237	0.180741673139023	0.187141533147139	-0.67635672726166
Region59	chr2L	89189	89518	.	330	Gd7	Up	-2.74874286252274	1.60564206013092	2.60475822497399	4.11320302928276	3.67575930047451	-2.23163556097492	-1.99467320362527	-2.12655184312009
Region60	chr2L	90106	90445	.	340	Toll9	Down	-1.10719434721804	-3.16117063391074	2.62365736834492	4.25469823673569	-0.591933456491584	-1.86082502159591	2.94526188974754	-3.398689530589
Region61	chr2L	91221	91973	.	753	Time	Down	-2.82604993889534	-0.160672188779957	2.23070847260614	3.60394701669357	2.18453016286647	-2.75947601298476	-0.498056020847672	-2.24385150430051
Region62	chr2L	102167	102646	.	480	Gd7	Up	-0.523722469269349	0.304710952872121	0.973253708894213	1.14645399885654	0.942114259699651	-0.422524928378467	-0.287012664350962	-0.864735381395128
Region63	chr2L	107736	108386	.	651	Toll9	Down	0.0397148681705462	-0.14408523136418	0.804315565045448	0.818083952186725	0.284054228257287	0.00665811598685353	0.300481103570865	-0.812500874412355
Region64	chr2L	114532	114855	.	324	Time	Down	-1.25058476432766	-0.123088014085521	0.201323448222165	1.272652365253	0.527642375265752	-1.23930464852848	-0.324832101150792	-0.250363669244856
Region65	chr2L	155063	155938	.	876	Toll9	Down	-0.183688733971655	0.00581333988902823	0.272008345479875	0.328274101810474	0.218885438678766	-0.174418710313908	-0.0225984577331243	-0.263759529954458
Region66	chr2L	158885	159311	.	427	Time	Up	0.117977196394488	0.132904619243229	-0.0350193096825877	0.181131468099654	0.0336016816731847	0.147766252381841	-0.0821854861833412	0.071736701510089
Region67	chr2L	160417	162272	.	1856	Time	Up	1.4041352004787	0.35675160058542	0.702611600843988	1.61013366755191	0.0450043965187909	1.45304962876167	0.345982999587343	-0.554128696324961
Region68	chr2L	165473	165923	.	451	Toll9	Up	0.374214831923271	0.802967182261921	-1.36879039123012	1.63045397707047	-0.245525164268715	0.558172259193286	-0.848191215122038	1.54128053305905
Region69	chr2L	166163	167088	.	926	Toll10b	Down	-0.00579933881853564	1.08490989053388	-0.111381091127976	1.09062773225782	0.764451349116768	0.270560777130543	-1.00524831172894	0.399501608405526
Region70	chr2L	207184	207645	.	462	Time	Down	-0.543877283768326	-0.0414917205646968	0.270617531672965	0.60889893342278	0.331699152308149	-0.534754669301716	-0.116875412718881	-0.281894925596141
Region71	chr2L	220420	220886	.	467	Time	Up	0.30022817393737	0.327029651722327	0.249423745849867	0.509212681033351	0.249319727551949	0.375297466496526	-0.133770110007881	-0.146413822375313
Region72	chr2L	221620	224740	.	3121	Time	Down	-0.293225999044255	-0.293521022953341	0.264267149457168	0.491907718696601	0.0344353372824208	-0.356764174959612	0.205128436768359	-0.339018564781966
Region73	chr2L	224978	225429	.	452	Time	Down	-1.22340875365777	-0.331356671410655	0.683435648814822	1.44000364870571	0.6045167104262	-1.2631638766481	-0.0331492268626857	-0.770170587113319
Region74	chr2L	246472	247148	.	677	Toll9	Up	0.0386069094318912	0.27547820482593	-0.28097293525179	0.395378963949785	0.0489330074187657	0.105871917934322	-0.288734706490256	0.345486050315619
Region75	chr2L	247430	247810	.	381	Time	Down	-0.597778481404358	-0.227486153712854	-0.344030454200631	0.726254787508255	-0.0990664251557414	-0.638178142353797	-0.0875448399775412	0.25877241107621
