# Program:featureCounts v2.0.0; Command:"featureCounts" "-s" "2" "-t" "gbc" "-O" "-g" "transcript_id" "-a" "references/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "counts.gbc.txt" "bam_dmel/PRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/PRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/qPRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/qPRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_dmel/PRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/PRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/qPRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/qPRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam
FBtr0347010	211000022280328	7486	9027	-	1542	0	0	0	0
FBtr0078171	2L	9939	18070	-	8132	428	1009	776	778
FBtr0330655	2L	9939	20876	-	10938	1080	2446	1114	1070
FBtr0113008	2L	21923	24655	-	2733	61	60	3	1
FBtr0309229	2L	25502	58768	-	33267	747	1011	128	148
FBtr0309226	2L	25502	64904	-	39403	930	1204	165	166
FBtr0306539	2L	66982	71290	+	4309	658	1017	94	118
FBtr0306536	2L	67543	70981	+	3439	66	128	77	69
FBtr0306537	2L	67543	71290	+	3748	71	130	77	79
FBtr0306540	2L	72257	76111	+	3855	143	217	41	69
FBtr0078101	2L	72887	76111	+	3225	61	99	2	21
FBtr0331680	2L	73985	76111	+	2127	34	50	2	15
FBtr0301733	2L	74629	76111	+	1483	19	33	1	6
FBtr0306541	2L	76848	77683	+	836	19	22	1	2
FBtr0290323	2L	82521	86887	-	4367	136	252	310	305
FBtr0330637	2L	83084	86887	-	3804	126	239	296	286
FBtr0078103	2L	95239	101986	+	6748	183	304	177	184
FBtr0330636	2L	102880	104042	+	1163	32	81	50	27
FBtr0301452	2L	104062	106232	-	2171	54	94	32	15
FBtr0089437	2L	107403	114332	+	6930	1228	2203	383	310
FBtr0089429	2L	108261	114332	+	6072	270	492	323	216
FBtr0308091	2L	108261	111237	+	2977	175	317	215	145
