geneID	Chr	ATAC_factor	ATAC_direction
Region54	chr2L	Gd7	Down
Region54	chr2L	Gd7	Down
Region55	chr2L	Time	Down
Region55	chr2L	Time	Down
Region56	chr2L	Toll10b	Down
Region58	chr2L	Toll9	Down
Region61	chr2L	Time	Down
Region62	chr2L	Gd7	Up
Region63	chr2L	Toll9	Down
Region64	chr2L	Time	Down
Region70	chr2L	Time	Down
Region71	chr2L	Time	Up
Region71	chr2L	Time	Up
Region72	chr2L	Time	Down
Region72	chr2L	Time	Down
Region73	chr2L	Time	Down
Region74	chr2L	Toll9	Up
Region74	chr2L	Toll9	Up
Region75	chr2L	Time	Down
Region76	chr2L	Toll9	Down
Region77	chr2L	Toll10b	Down
Region78	chr2L	Toll9	Down
Region79	chr2L	Toll10b	Down
Region80	chr2L	Time	Down
Region81	chr2L	Time	Down
Region82	chr2L	Time	Down
Region84	chr2L	Time	Up
Region84	chr2L	Time	Up
Region85	chr2L	Toll9	Down
Region86	chr2L	Time	Up
Region95	chr2L	Time	Up
Region96	chr2L	Time	Up
Region97	chr2L	Time	Up
Region98	chr2L	Toll10b	Down
Region99	chr2L	Toll10b	Down
Region100	chr2L	Time	Up
Region100	chr2L	Time	Up
Region112	chr2L	Gd7	Up
Region117	chr2L	Toll9	Down
Region118	chr2L	Toll9	Down
Region118	chr2L	Toll9	Down
Region120	chr2L	Toll9	Down
Region121	chr2L	Toll9	Down
Region122	chr2L	Time	Up
Region134	chr2L	Toll9	Up
Region135	chr2L	Toll10b	Up
Region136	chr2L	Toll9	Down
Region137	chr2L	Toll10b	Down
Region138	chr2L	Gd7	Down
Region141	chr2L	Toll10b	Down
Region142	chr2L	Time	Up
Region143	chr2L	Time	Up
Region149	chr2L	Toll10b	Down
Region149	chr2L	Toll10b	Down
Region150	chr2L	Gd7	Up
Region150	chr2L	Gd7	Up
Region151	chr2L	Toll9	Up
Region151	chr2L	Toll9	Up
Region153	chr2L	Toll9	Down
Region154	chr2L	Time	Down
Region156	chr2L	Toll10b	Up
Region158	chr2L	Toll10b	Down
Region159	chr2L	Time	Up
Region160	chr2L	Time	Up
Region161	chr2L	Toll9	Down
Region162	chr2L	Toll10b	Down
Region166	chr2L	Toll9	Up
Region167	chr2L	Toll10b	Down
Region168	chr2L	Toll9	Up
Region168	chr2L	Toll9	Up
Region169	chr2L	Toll9	Up
Region170	chr2L	Gd7	Down
Region171	chr2L	Toll9	Up
Region171	chr2L	Toll9	Up
Region177	chr2L	Toll10b	Up
Region181	chr2L	Gd7	Down
Region186	chr2L	Time	Down
Region186	chr2L	Time	Down
Region189	chr2L	Time	Up
Region189	chr2L	Time	Up
Region190	chr2L	Time	Up
Region195	chr2L	Toll9	Down
Region196	chr2L	Gd7	Up
Region197	chr2L	Time	Up
Region198	chr2L	Time	Up
Region200	chr2L	Gd7	Up
Region201	chr2L	Time	Up
Region203	chr2L	Time	Up
Region203	chr2L	Time	Up
Region203	chr2L	Time	Up
Region205	chr2L	Toll10b	Up
Region208	chr2L	Time	Up
Region209	chr2L	Toll10b	Down
Region216	chr2L	Time	Up
Region217	chr2L	Time	Up
Region218	chr2L	Time	Up
Region221	chr2L	Time	Up
Region222	chr2L	Time	Up
Region225	chr2L	Time	Up
Region226	chr2L	Toll9	Up
Region227	chr2L	Time	Up
Region228	chr2L	Time	Up
Region228	chr2L	Time	Up
Region229	chr2L	Time	Up
Region229	chr2L	Time	Up
Region229	chr2L	Time	Up
Region229	chr2L	Time	Up
Region229	chr2L	Time	Up
Region229	chr2L	Time	Up
Region229	chr2L	Time	Up
Region229	chr2L	Time	Up
Region230	chr2L	Time	Up
Region230	chr2L	Time	Up
Region230	chr2L	Time	Up
Region230	chr2L	Time	Up
Region230	chr2L	Time	Up
Region230	chr2L	Time	Up
Region231	chr2L	Toll9	Up
Region232	chr2L	Toll10b	Down
Region232	chr2L	Toll10b	Down
Region233	chr2L	Time	Up
Region234	chr2L	Time	Up
Region235	chr2L	Time	Up
Region240	chr2L	Time	Up
Region241	chr2L	Toll10b	Up
Region243	chr2L	Time	Up
Region244	chr2L	Time	Up
Region245	chr2L	Time	Up
Region247	chr2L	Time	Up
Region248	chr2L	Toll9	Up
Region252	chr2L	Toll10b	Down
Region253	chr2L	Time	Down
Region253	chr2L	Time	Down
Region254	chr2L	Gd7	Up
Region255	chr2L	Time	Up
Region255	chr2L	Time	Up
Region256	chr2L	Toll9	Up
Region257	chr2L	Toll9	Up
Region258	chr2L	Toll9	Up
Region259	chr2L	Time	Down
Region260	chr2L	Time	Down
Region261	chr2L	Gd7	Down
