EnhancerID	Chr	ATAC_Start	ATAC_End	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	EnhancerDistance	PROseq_Classification	ATACseq_Classification
Region61	chr2L	91221	91973	FBgn0031216	chr2L	94852	101915	2878	Toll9 Down	Time Down
Region149	chr2L	1066045	1067117	FBgn0003310	chr2L	1052041	1062146	3898	Time Up	Toll10b Down
Region177	chr2L	1461859	1462731	FBgn0031344	chr2L	1500917	1502628	38185	Time Down	Toll10b Up
Region195	chr2L	1679113	1679464	FBgn0011570	chr2L	1705112	1706224	25647	Toll10b Up	Toll9 Down
Region196	chr2L	1679686	1680314	FBgn0011570	chr2L	1705112	1706224	24797	Toll10b Up	Gd7 Up
Region208	chr2L	1884348	1885462	FBgn0031374	chr2L	1910072	1942962	24609	Time Up	Time Up
Region209	chr2L	1886347	1887109	FBgn0031374	chr2L	1910072	1942962	22962	Time Up	Toll10b Down
Region229	chr2L	2162298	2164218	FBgn0000097	chr2L	2158168	2160491	1806	Time Up	Time Up
Region230	chr2L	2164421	2165493	FBgn0000097	chr2L	2158168	2160491	3929	Time Up	Time Up
Region231	chr2L	2172213	2172892	FBgn0000097	chr2L	2158168	2160491	11721	Time Up	Toll9 Up
Region232	chr2L	2175334	2175820	FBgn0031395	chr2L	2190426	2192263	14605	Time Down	Toll10b Down
Region233	chr2L	2178060	2178950	FBgn0031395	chr2L	2190426	2192263	11475	Time Down	Time Up
Region234	chr2L	2181426	2182501	FBgn0031395	chr2L	2190426	2192263	7924	Time Down	Time Up
Region235	chr2L	2182760	2183435	FBgn0031395	chr2L	2190426	2192263	6990	Time Down	Time Up
Region254	chr2L	2460885	2462662	FBgn0000490	chr2L	2455071	2458557	2327	Gd7 Up	Gd7 Up
Region323	chr2L	3476356	3476963	FBgn0261560	chr2L	3478616	3479390	1652	Gd7 Up	Time Up
Region381	chr2L	4221161	4222104	FBgn0031590	chr2L	4224887	4226888	2782	Gd7 Up	Toll10b Down
Region382	chr2L	4222421	4222982	FBgn0031590	chr2L	4224887	4226888	1904	Gd7 Up	Time Up
Region385	chr2L	4281217	4283806	FBgn0010473	chr2L	4295225	4321061	11418	Gd7 Up	Time Down
Region419	chr2L	4820232	4822674	FBgn0031631	chr2L	4815945	4818166	2065	Time Down	Toll9 Up
Region420	chr2L	4823272	4823506	FBgn0031632	chr2L	4825610	4827569	2103	Time Down	Time Down
Region426	chr2L	4889347	4889920	FBgn0031643	chr2L	4883647	4885506	3840	Time Up	Time Down
Region582	chr2L	7009658	7010881	FBgn0263027	chr2L	7013496	7014642	2614	Time Down	Toll10b Down
Region645	chr2L	7993911	7994651	FBgn0031969	chr2L	7987880	7991480	2430	Time Up	Gd7 Down
Region703	chr2L	8809571	8810598	FBgn0029123	chr2L	8826494	8828776	15895	Toll9 Up	Toll9 Up
